V1,V2,authors
0.01755727247192442,-0.0030840870823221735,A Ahumada
0.04901832378320711,-0.00942886041654506,A Bonds
-0.004509680769976251,-0.0158307194181055,A Brown
-0.009709924429997694,-0.02143828002401819,A Cate
-0.04269069983702427,0.016344254701920063,A Chatziastros
-0.013489627844025886,-0.017130395159498806,A Chaudhuri
-0.0037340618217409213,-0.026706736474834677,A Colcombe
8.588244673896672e-4,-0.019701198664764243,A Dawson
4.0065534930293746e-4,-0.023704643238527657,A Dickinson
0.00391343285411187,0.014999603065317944,A Dobbins
-0.02111574883894398,0.0048056979528758766,A Doorn
-0.10697668180927418,0.049968333706363145,A Duchon
-0.018780675709325553,-0.020809632583977892,A Dunn
-0.006378876204288291,-0.02138023293257451,A Facoetti
0.006372220066881761,-0.018459362681034697,A Feher
-0.024081506624496075,-0.00849689089726245,A Fitzgibbon
-6.732567873656332e-4,0.025800831034835797,A Fuzz
0.00574415073341357,-0.010043145292182745,A Galmonte
-0.019984445603908132,-4.007251560530871e-4,A Garcia
-0.00778005709844285,-0.023572226336514616,A Gilchrist
-0.024081506624496075,-0.008496890897262452,A Glennerster
0.01769273105327013,-0.004192437517547183,A Gorea
0.023520593715777423,0.05600131671497811,A Harner
8.266870934576012e-4,-0.01491009192753858,A Harris
-0.006286653836245239,-0.02377387739312428,A Herbert
0.011542127156891364,-0.003744635015456922,A Holcombe
0.0026459694794367483,-0.012289045577866198,A Jacobs
0.008251955622247634,-0.012636337020972058,A James
0.01231010054892381,0.026306463644088007,A Johnston
0.0013444670587655452,0.015233644326945421,A Kappers
0.027894348213512162,-0.008875395684618273,A Kayser
0.0011557034246370626,-0.014190828136808558,A Khan
0.06402799352395999,0.05619664980378206,A Kohn
-0.012370785670274321,-0.015205628926563656,A Koning
-0.06527021362967218,0.037541631757479266,A Kopinska
-0.0037340618217409087,-0.026706736474834722,A Kramer
-0.008380479798630087,-0.036968089151694666,A Kristjansson
0.05000983871163108,-0.004551280185819115,A Krukowski
-0.004439749756511535,-0.03086488929792063,A Leber
-0.005152613913800008,0.00574691318574317,A Li
-0.0020098179660878288,0.00436472746402532,A Lindner
-4.698362880699443e-4,-0.02153977092553106,A Lleras
0.0063722200668817584,-0.018459362681034715,A Lukacs
-0.0029270948971230845,-0.017325853876705738,A Mack
-0.01090057175571757,-0.007087905277756247,A Mapp
0.027542937666324645,-0.018463473660309666,A Murthy
0.014429510001837396,0.0027161975737858093,A Nelson
0.01606647847816269,0.022530104228070634,A Norcia
-0.015826436291359394,-0.006616592976819018,A O'Connor
-0.009314536817615014,-0.013998285372818694,A O'Toole
-0.0195428123648505,-0.045269583014524196,A Oliva
-0.023745772330690196,0.021511081963906494,A Oomes
0.07437195788046347,0.03007232079944633,A Parker
0.004402246994712373,-0.011187881540131454,A Parraga
6.065812737274399e-4,-0.01629564986660926,A Parton
-0.0611886578120733,0.02424528585742826,A Pelah
0.012770057038397434,-1.1896608363674022e-4,A Popple
-3.14187030705511e-4,-0.022149551491655265,A Porterfield
-0.009542127905444103,-0.017539916726157682,A Reeves
0.012043946893156878,0.01932426742704186,A Rezec
-0.007235353915078696,-0.02054009146333557,A Rodriguez
0.03232914781984688,6.974102302038539e-4,A Roe
0.007241017751767268,-0.023079356158584925,A Rossi
-0.02059070082721523,0.018501330214210368,A Saidpour
-0.005991344299191257,-0.0345415909467767,A Seiffert
0.009421518261573439,-0.011717522905922768,A Sekuler
-8.842160407344672e-4,-0.01383075816544029,A Shimpi
0.01442951000183739,0.00271619757378581,A Skoczenski
-0.014146071155948202,-0.007975769112750018,A Slater
-0.06118865781207327,0.024245285857428273,A Thurrell
-0.022615273174062308,-0.002586609058984576,A Tokuda
-0.006913201674343367,-0.025248741271993124,A Torralba
-0.011308751140596481,-0.04293279214863731,A Treisman
-0.010860851363343098,-0.018044002530206635,A Turina
0.05880234616668525,0.05167423111994076,A Vecchio
0.01105878471306607,0.021721745271592485,A Wyatt
0.00523819844135965,0.02401736242141553,A Yagi
-4.055375609783613e-4,0.028187111138412095,A Yonas
0.012525874814623647,0.011189386267455612,B Anderson
-0.00942948043448962,-0.01935825802346458,B Angelone
-0.0046020268928905084,-0.0013996677541184344,B Backus
-0.006728613801124846,-0.0020563578455850004,B Bacon
-0.03348883093442797,0.022627656569226266,B Baumberger
0.006798373972863579,-0.016202231876711153,B Beutter
0.0013900189770390426,-0.012535510174620283,B Bly
-0.008724631437778872,-0.011085390848275275,B Bridgeman
-0.026356264402526634,-0.01613551074050069,B Corrie
0.07437195788046347,0.030072320799446328,B Cumming
-0.0649880114109748,0.04377951404196667,B Dyre
-0.13564502932524614,0.07232247435436084,B Fajen
0.04020006896030098,0.04495178591940939,B Gaddy
-0.003852322289492027,-0.025067392014569142,B Gavett
-0.0017704597008715967,-0.019856363415610406,B Gelder
-0.004440722844267844,0.01945651346115621,B Gillam
-0.015887964404115447,-0.016211008411109853,B Hartung
0.004343545706476374,-0.019478348672015196,B Khang
-6.733562494275507e-4,0.01951932198915695,B Knappmeyer
-0.02410573637520121,6.63106372957178e-4,B Kreher
0.05412443174089147,-0.005078474334333198,B Lau
-0.0025561971197147195,-0.01877538913832577,B Lotto
0.009042521627564654,4.593325423164641e-4,B Pinna
0.03232914781984691,6.974102302038586e-4,B Ramsden
-0.09386212465595206,0.053060568128979975,B Riecke
0.0013900189770390465,-0.012535510174620278,B Rokers
-0.0075505355472505024,-0.023411535987793348,B Rossion
9.874639939430117e-4,-0.01815451073847971,B Sabel
-0.007933339723982247,-0.01019703745051088,B Scholl
