"","new_publication","prior_publication","topic_similarity"
"1",0,1,0
"2",0,0,1.39684065946667
"3",0,0,1.37364562105495
"4",0,0,1.43153368057772
"5",0,0,1.49025278646088
"6",0,0,1.42474961187484
"7",0,0,1.43144428626111
"8",0,0,1.42663777259634
"9",0,0,1.4535604720856
"10",0,0,1.41047716893508
"11",0,0,1.49138154588432
"12",0,0,1.45306453852019
"13",0,0,1.48760195451279
"14",0,0,1.42902091479801
"15",0,0,1.49259876592003
"16",0,0,1.50337529167639
"17",0,0,1.36257254761773
"18",0,0,1.46113741082981
"19",0,0,1.43320641110071
"20",0,0,1.47533036625799
"21",0,0,1.47584173637444
"22",0,0,1.27468770677913
"23",0,0,1.31792740066612
"24",0,0,1.36355405655373
"25",0,0,1.48446010204216
"26",0,1,0.865037510504082
"27",0,0,1.37291237177277
"28",0,0,1.52483606830621
"29",0,0,1.13739931121401
"30",0,0,1.4660041236662
"31",0,0,1.44477137409591
"32",0,0,1.4533021014865
"33",0,0,1.46382933424389
"34",0,0,1.43639804146494
"35",0,0,1.47900947901598
"36",0,0,1.4253151773135
"37",0,0,1.35404766401289
"38",0,0,1.47584173637444
"39",0,0,1.43633251964298
"40",0,0,1.48917488263992
"41",0,0,1.48290340193109
"42",0,0,1.49788295754996
"43",0,0,1.47533036625799
"44",0,0,1.4253151773135
"45",0,0,1.48169222225849
"46",0,0,1.24692480904409
"47",0,0,1.41740907181413
"48",0,0,1.36982462348292
"49",0,0,1.47809089862801
"50",0,0,1.49788295754996
"51",0,0,1.25216258212871
"52",0,0,1.39112477145852
"53",0,0,1.43225668052069
"54",0,0,1.48623098712275
"55",0,0,1.39611500695438
"56",0,0,1.48917488263992
"57",0,0,1.46097603918978
"58",0,0,1.4966350727393
"59",0,0,1.43633251964298
"60",0,1,0.510656790510666
"61",0,0,1.47184841095451
"62",0,0,1.47858433241966
"63",0,0,1.39936919040548
"64",0,0,1.54472309283958
"65",0,0,1.48041515331169
"66",0,0,1.51807049404199
"67",0,0,1.49348509920663
"68",0,0,1.52385369810143
"69",0,0,1.49368602111103
"70",0,0,1.30368195400859
"71",0,0,1.51393842997885
"72",0,0,1.39936919040548
"73",0,0,1.48041515331169
"74",0,0,1.51033515711214
"75",0,0,1.45182483449157
"76",0,0,1.28671854082704
"77",0,0,1.46586108803045
"78",0,0,1.47575453355582
"79",0,0,1.47527471419345
"80",0,0,1.5004498938024
"81",0,0,1.46811431123418
"82",0,0,1.49528468942995
"83",0,0,1.51325286900095
"84",0,0,1.49132128143647
"85",0,0,1.43539917574078
"86",0,0,1.4547209688955
"87",0,0,1.49570146011175
"88",0,0,1.43549066604972
"89",0,0,1.47787771758485
"90",0,0,1.5147347649065
"91",0,0,1.40787210524415
"92",0,0,1.50261542070272
"93",0,0,1.46638693564371
"94",0,0,1.50853791042395
"95",0,0,1.33064558385074
"96",0,0,1.31964545767017
"97",0,0,1.4553817456676
"98",0,0,1.49758670116242
"99",0,0,1.40156848141078
"100",0,0,1.12974102280624
"101",0,0,1.29087254413674
"102",0,0,1.51807049404199
"103",0,0,0.934217425336
"104",0,0,1.44424606692803
"105",0,0,1.47356418041673
"106",0,0,1.51216909643149
"107",0,0,1.49132128143647
"108",0,0,1.47950621958332
"109",0,0,1.49348509920663
"110",0,0,1.20272257675927
"111",0,0,1.25122555488786
"112",0,0,1.36173616343929
"113",0,0,1.47184841095451
"114",0,0,1.3274291654833
"115",0,0,1.31964545767017
"116",0,0,1.44424606692803
"117",0,0,1.41093090540983
"118",0,0,1.25122555488786
"119",0,0,1.51216909643149
"120",0,0,1.48098359184094
"121",0,0,1.48039861334253
"122",0,0,1.49348509920663
"123",0,0,1.47359574386582
"124",0,0,1.40787210524415
"125",0,0,0.934217425336
"126",0,0,1.54195214665332
"127",0,0,1.49589346353491
"128",0,0,1.42997782647946
"129",0,0,1.35907983810797
"130",0,0,1.3421044423353
"131",0,0,1.52385369810143
"132",0,0,1.47707204673366
"133",0,0,1.4850611998461
"134",0,0,1.48903337866209
"135",0,0,1.48200994368379
"136",0,0,1.33657982947782
"137",0,0,1.51325286900095
"138",0,0,1.49677134565605
"139",0,0,1.46586108803045
"140",0,0,1.44424606692803
"141",0,0,1.45132399190271
"142",0,0,1.45132399190271
"143",0,0,1.49925147414682
"144",0,0,1.52385369810143
"145",0,0,1.49577563697127
"146",0,0,1.46638693564371
"147",0,0,1.47359574386582
"148",0,0,1.4493522225663
"149",0,0,1.49677134565605
"150",0,0,1.45919889476657
"151",0,0,1.47199195252311
"152",0,0,1.4850611998461
"153",0,0,1.49741663699856
"154",0,0,1.47885296114237
"155",0,0,1.50434664176194
"156",0,0,1.51103359482173
"157",0,0,1.4416336000379
"158",0,0,1.47983503245258
"159",0,0,1.49576316251258
"160",0,0,1.5014795137102
"161",0,0,1.53849564603745
"162",0,0,1.48829630617171
"163",0,0,1.37461763024781
"164",0,0,1.49385104748934
"165",0,0,1.44424606692803
"166",0,0,1.46772960396617
"167",0,0,1.50853791042395
"168",0,0,1.4973151076945
"169",0,0,1.34692004018408
"170",0,0,1.52090008270187
"171",0,0,1.48866582064701
"172",0,0,1.25122555488786
"173",0,0,1.49706835615066
"174",0,0,1.20272257675927
"175",0,0,1.31964545767017
"176",0,0,1.41486694047978
"177",0,0,1.51508670303968
"178",0,0,1.47857268508223
"179",0,0,1.47499557141181
"180",0,0,1.47775046731214
"181",0,0,1.41015837561847
"182",0,0,1.4721342492687
"183",0,0,1.4375535666727
"184",0,0,1.47787771758485
"185",0,0,1.47426540838369
"186",0,0,0.919168941921402
"187",0,0,1.49741663699856
"188",0,0,1.41428178534319
"189",0,0,1.47959487218267
"190",0,0,1.51841824607269
"191",0,0,1.50507773584784
"192",0,0,1.30368195400859
"193",0,0,1.51976694666195
"194",0,0,1.49348509920663
"195",0,0,1.44772680854818
"196",0,0,1.25228243246825
"197",0,0,1.50334716084933
"198",0,0,1.36173616343929
"199",0,0,1.41428178534319
"200",0,0,1.46772960396617
"201",0,0,1.47282808946661
"202",0,0,1.53376372310179
"203",0,0,1.51033515711214
"204",0,0,1.35723489363251
"205",0,0,1.4973151076945
"206",0,0,1.49506061435946
"207",0,0,1.31964545767017
"208",0,0,1.53849564603745
"209",0,0,1.50998468157766
"210",0,0,1.4493522225663
"211",0,0,1.50334716084933
"212",0,0,1.53162291614419
"213",0,0,1.50012692993377
"214",0,0,1.48041515331169
"215",0,0,1.5014795137102
"216",0,0,1.49728706429141
"217",0,0,1.55002117244706
"218",0,0,1.46811431123418
"219",0,0,1.49677134565605
"220",0,0,1.49042160152957
"221",0,0,1.50082159602784
