"","id","label","measure","CM"
"1445",1445,"N Liu",3,"degree"
"1446",1446,"K Zhou",3,"degree"
"1447",1447,"A Roe",5,"degree"
"1448",1448,"E Tapia",1,"degree"
"1449",1449,"S Holloway",2,"degree"
"1450",1450,"D Holtmann-Rice",2,"degree"
"1451",1451,"M Ishii",2,"degree"
"1452",1452,"A Hoover",1,"degree"
"1453",1453,"L Harris",3,"degree"
"1454",1454,"K Kooij",3,"degree"
"1455",1455,"R Beers",3,"degree"
"1456",1456,"J Smeets",3,"degree"
"1457",1457,"J Holmin",4,"degree"
"1458",1458,"A Beers",4,"degree"
"1459",1459,"K Watanabe",2,"degree"
"1460",1460,"S Kita",2,"degree"
"1461",1461,"L Iordanescu",3,"degree"
"1462",1462,"J Ritchie",1,"degree"
"1463",1463,"V Ramachandran",1,"degree"
"1464",1464,"D Peterzell",2,"degree"
"1465",1465,"B Barton",2,"degree"
"1466",1466,"A Brewer",2,"degree"
"1467",1467,"J Kawahara",3,"degree"
"1468",1468,"H Sato",1,"degree"
"1469",1469,"J New",2,"degree"
"1470",1470,"H Liao",1,"degree"
"1471",1471,"A White",1,"degree"
"1472",1472,"C Oriet",2,"degree"
"1473",1473,"J Li",1,"degree"
"1474",1474,"J Guy",4,"degree"
"1475",1475,"C Habak",5,"degree"
"1476",1476,"L Mottron",4,"degree"
"1477",1477,"K Koldewyn",3,"degree"
"1478",1478,"S Weigelt",3,"degree"
"1479",1479,"M Saenz",3,"degree"
"1480",1480,"K Kelly",3,"degree"
"1481",1481,"B Gallie",3,"degree"
"1482",1482,"Z Hussain",3,"degree"
"1483",1483,"B Webb",3,"degree"
"1484",1484,"B Barrett",3,"degree"
"1485",1485,"A Simmers",2,"degree"
"1486",1486,"B Thompson",2,"degree"
"1487",1487,"S Jeon",2,"degree"
"1488",1488,"G Purushothaman",2,"degree"
"1489",1489,"K Li",2,"degree"
"1490",1490,"V Casagrande",2,"degree"
"1491",1491,"C Casanova",2,"degree"
"1492",1492,"R Rajimehr",2,"degree"
"1493",1493,"C Connor",2,"degree"
"1494",1494,"A Pasupathy",2,"degree"
"1495",1495,"M Morgan",2,"degree"
"1496",1496,"B Dillenburger",2,"degree"
"1497",1497,"K Haak",5,"degree"
"1498",1498,"F Cornelissen",5,"degree"
"1499",1499,"M Schira",2,"degree"
"1500",1500,"L Lin",2,"degree"
"1501",1501,"M Hawken",2,"degree"
"1502",1,"S Wu",0.000666666666666667,"close"
"1503",2,"L Wang",0.00116296288830362,"close"
"1504",3,"S Most",0.00116238881750961,"close"
"1505",4,"R Sawaki",0.00116179011719364,"close"
"1506",5,"J Raymond",0.00116122978879553,"close"
"1507",6,"S Luck",0.00116124417248966,"close"
"1508",7,"R Pedersini",0.000666222518321119,"close"
"1509",8,"E Palmer",0.000666222518321119,"close"
"1510",9,"C Stothart",0.000667556148147621,"close"
"1511",10,"W Boot",0.000667556742323097,"close"
"1512",11,"G Humphreys",0.00116180811422278,"close"
"1513",12,"J Sui",0.00116122978879553,"close"
"1514",13,"J Lee",0.00116014664253562,"close"
"1515",14,"S Shomstein",0.00115956996961154,"close"
"1516",15,"S Uddenberg",0.00116186390855666,"close"
"1517",16,"W Shim",0.00116244286593314,"close"
"1518",17,"T Lee",0.000670687812708193,"close"
"1519",18,"T Sanocki",0.00066711140760507,"close"
"1520",19,"N Sulman",0.000667111110913449,"close"
"1521",20,"S Goldinger",0.000666666666666667,"close"
"1522",21,"B Kennedy",0.00116181171369551,"close"
"1523",22,"J Hoffman",0.00116181261356718,"close"
"1524",23,"J Hyun",0.000666222518321119,"close"
"1525",24,"T Wright",0.000667556148147621,"close"
"1526",25,"N Busch",0.000666222518321119,"close"
"1527",26,"P Dux",0.000666222518321119,"close"
"1528",27,"V Proietti",0.000666222518321119,"close"
"1529",28,"D Plaut",0.000674748656125593,"close"
"1530",29,"M Behrmann",0.000674753816070207,"close"
"1531",30,"A Heering",0.00066844800633154,"close"
"1532",31,"D Maurer",0.000668449197860963,"close"
"1533",32,"M Mangini",0.000668447410568421,"close"
"1534",33,"B Balas",0.00066844860209572,"close"
"1535",34,"S Schweinberger",0.000666666666666667,"close"
"1536",35,"L Short",0.000666666666666667,"close"
"1537",36,"C Mondloch",0.000666666666666667,"close"
