"","from","to"
"1","J Wann","R Wilkie"
"2","A Beall","J Loomis"
"3","J Saunders","J Saunders"
"4","M Hayhoe","J Jovancevic"
"5","B Sullivan","J Jovancevic"
"6","B Sullivan","M Hayhoe"
"7","J Higgins","R Epstein"
"8","M Paradiso","M Paradiso"
"9","S Kastner","S Chong"
"10","A Treisman","S Chong"
"11","A Treisman","S Kastner"
"12","V Ramachandran","E Hubbard"
"13","B Dosher","Z Lu"
"14","M Carandini","M Carandini"
"15","S Dakin","S Dumoulin"
"16","R Hess","S Dumoulin"
"17","R Hess","S Dakin"
"18","M Goldberg","J Bisley"
"19","N Logothetis","N Logothetis"
"20","H Brown","J Samonds"
"21","A Bonds","J Samonds"
"22","A Bonds","H Brown"
"23","D Vishwanath","A Girshick"
"24","M Banks","A Girshick"
"25","M Banks","D Vishwanath"
"26","Z He","T Ooi"
"27","S Creem-Regehr","P Willemsen"
"28","W Thompson","P Willemsen"
"29","W Thompson","S Creem-Regehr"
"30","Z He","J Wu"
"31","T Ooi","J Wu"
"33","M Mon-Williams","G Bingham"
"34","H Ono","H Ono"
"35","J Driver","C Ruff"
"36","J Wolfe","J Wolfe"
"37","L Feigenson","B Scholl"
"38","C Oriet","J Enns"
"39","R VanRullen","R VanRullen"
"40","P Cavanagh","G Alvarez"
"41","D Ellemberg","T Lewis"
"42","D Maurer","T Lewis"
"43","D Maurer","D Ellemberg"
"44","F Lepore","T Lewis"
"45","F Lepore","D Ellemberg"
"46","F Lepore","D Maurer"
"50","J Wattam-Bell","J Atkinson"
"51","O Braddick","J Atkinson"
"52","O Braddick","J Wattam-Bell"
"53","D Birtles","J Atkinson"
"54","D Birtles","J Wattam-Bell"
"55","D Birtles","O Braddick"
"56","D Cowie","J Atkinson"
"57","D Cowie","J Wattam-Bell"
"58","D Cowie","O Braddick"
"59","D Cowie","D Birtles"
"60","R Almeida","M Grünau"
"61","R Gurnsey","M Grünau"
"62","R Gurnsey","R Almeida"
"63","K Dobkins","I Fine"
"64","G Kovács","I Kovács"
"65","H Wilson","S Rainville"
"69","H Lu","Z Liu"
"70","R Goutcher","M Landy"
"71","J Trommershauser","M Landy"
"72","J Trommershauser","R Goutcher"
"73","L Maloney","M Landy"
"74","L Maloney","R Goutcher"
"75","L Maloney","J Trommershauser"
"76","P Mamassian","M Landy"
"77","P Mamassian","R Goutcher"
"78","P Mamassian","J Trommershauser"
"79","P Mamassian","L Maloney"
"80","D Purves","D Purves"
"81","K Grill-Spector","K Grill-Spector"
"82","S Martinez-Conde","P Tse"
"83","S Macknik","P Tse"
"84","S Macknik","S Martinez-Conde"
"88","H Goltz","D Whitney"
"89","M Goodale","D Whitney"
"90","M Goodale","H Goltz"
"91","J Driver","J Haynes"
"92","G Rees","J Haynes"
"93","G Rees","J Driver"
"94","F Tong","F Tong"
"95","S Shimojo","D Wu"
"96","W Geisler","W Geisler"
"97","S Klein","D Levi"
"98","P Bennett","C Taylor"
"99","A Sekuler","C Taylor"
"100","A Sekuler","P Bennett"
"101","A Ahumada","A Watson"
"102","D MacLeod","D MacLeod"
"103","A Hsu","G Sperling"
"104","S Shevell","S Hong"
"105","A Brown","D Lindsey"
"106","P Kay","J Hardy"
"107","J Werner","J Hardy"
"108","J Werner","P Kay"
"109","D Brainard","J Hillis"
"110","A Werner","A Werner"
"111","D Tadin","C Paffen"
"112","S Pas","C Paffen"
"113","S Pas","D Tadin"
"114","M Smagt","C Paffen"
"115","M Smagt","D Tadin"
"116","M Smagt","S Pas"
"117","J Lappin","C Paffen"
"118","J Lappin","D Tadin"
"119","J Lappin","S Pas"
"120","J Lappin","M Smagt"
"121","F Verstraten","C Paffen"
"122","F Verstraten","D Tadin"
"123","F Verstraten","S Pas"
"124","F Verstraten","M Smagt"
"125","F Verstraten","J Lappin"
"126","R Blake","K Watanabe"
"127","C Koch","N Tsuchiya"
"128","M Grabowecky","S Suzuki"
"129","F Tong","M Meng"
"130","D Sagi","U Polat"
"131","C Baker","Y Song"
"132","S Ling","M Carrasco"
"133","S Fuller","M Carrasco"
"134","S Fuller","S Ling"
"135","K Knoblauch","K Knoblauch"
"136","L Gilroy","S Guttman"
"137","R Blake","S Guttman"
"138","R Blake","L Gilroy"
"139","F Verstraten","R Kanai"
"140","M Fallah","K Sundberg"
"141","J Reynolds","K Sundberg"
"142","J Reynolds","M Fallah"
"143","C Schor","C Cantor"
"144","J Enns","B Bridgeman"
"145","B Breitmeyer","H Ogmen"
"146","L Thaler","J Todd"
"147","J Koenderink","J Todd"
"148","J Koenderink","L Thaler"
"149","A Kappers","J Todd"
"150","A Kappers","L Thaler"
"151","A Kappers","J Koenderink"
"154","C Caudek","F Domini"
"155","J Koenderink","B Khang"
"156","A Kappers","B Khang"
"158","R Vogels","I Biederman"
"159","S Treue","J Martinez-Trujillo"
"160","J Tsotsos","J Martinez-Trujillo"
"161","J Tsotsos","S Treue"
"162","R Wezel","B Krekelberg"
"163","T Albright","B Krekelberg"
"164","T Albright","R Wezel"
"165","P Thompson","P Thompson"
"166","E Mingolla","E Mingolla"
"167","I Oruc","B Backus"
"168","V Walsh","G Campana"
"169","C Casco","G Campana"
"170","C Casco","V Walsh"
"171","I Gauthier","T James"
"172","L Wald","C Baker"
"173","N Kanwisher","C Baker"
"174","N Kanwisher","L Wald"
"175","I Biederman","H Beeck"
"176","R Vogels","H Beeck"
"179","L Likova","C Tyler"
"180","A Wade","C Tyler"
"181","A Wade","L Likova"
"182","S He","F Fang"
"183","M Young","O Lazareva"
"184","E Wasserman","O Lazareva"
"185","E Wasserman","M Young"
"186","D Sheinberg","J Peissig"
"187","S Hochstein","S Hochstein"
"188","J Todd","J Christensen"
"189","C Baker","J Liu"
"190","M Mangini","J Liu"
"191","M Mangini","C Baker"
"192","L Wald","J Liu"
"194","L Wald","M Mangini"
"195","N Kanwisher","J Liu"
"197","N Kanwisher","M Mangini"
"199","I Biederman","K Hayworth"
"200","K Johnston","K Johnston"
"201","M Greenlee","M Greenlee"
"202","R Andersen","R Hayashi"
"203","S Shimojo","R Hayashi"
"204","S Shimojo","R Andersen"
"205","S Shimojo","C Simion"
"206","T Maeda","J Watanabe"
"207","S Tachi","J Watanabe"
"208","S Tachi","T Maeda"
"209","S Nishida","J Watanabe"
"210","S Nishida","T Maeda"
"211","S Nishida","S Tachi"
"212","A Wade","A Norcia"
"213","M Pettet","A Norcia"
"214","M Pettet","A Wade"
"215","I Mareschal","S Dakin"
"216","P Bex","S Dakin"
"217","P Bex","I Mareschal"
"221","R Blake","D Tadin"
"222","R Blake","C Paffen"
"223","R Blake","F Verstraten"
"227","J Lappin","R Blake"
"229","C Benton","C Benton"
"230","A Huk","A Huk"
"231","J Cant","M Goodale"
"232","D Munoz","M Goodale"
"233","D Munoz","J Cant"
"234","C Erkelens","C Erkelens"
"235","K Gegenfurtner","D Braun"
"236","J Pelz","J Pelz"
"237","J Badler","S Watamaniuk"
"238","S Heinen","S Watamaniuk"
"239","S Heinen","J Badler"
"240","R Shapley","R Shapley"
"241","E Adelson","R Fleming"
"242","H Buelthoff","R Fleming"
"243","H Buelthoff","E Adelson"
"244","M Bloj","C Ripamonti"
"245","D Brainard","C Ripamonti"
"246","D Brainard","M Bloj"
"247","L Maloney","H Boyaci"
"248","A Doorn","S Pont"
"249","J Koenderink","S Pont"
"250","J Koenderink","A Doorn"
"251","Y Li","E Adelson"
"252","L Sharan","E Adelson"
"253","L Sharan","Y Li"
"254","G Orban","R Vogels"
"255","T Sanocki","T Sanocki"
"256","P Martini","V Maljkovic"
"257","H Farid","V Maljkovic"
"258","H Farid","P Martini"
"259","J Henderson","J Brockmole"
"260","J Braun","J Braun"
"261","A Treisman","K Evans"
"262","D Kerzel","K Gegenfurtner"
"263","S Thorpe","K Gegenfurtner"
"264","S Thorpe","D Kerzel"
"265","K Grill-Spector","G Golarai"
"266","I Fine","V Ciaramitaro"
"267","G Boynton","V Ciaramitaro"
"268","G Boynton","I Fine"
"269","N Kanwisher","G Yovel"
"270","R Caldara","C Schiltz"
"271","B Sorger","C Schiltz"
"272","B Sorger","R Caldara"
"273","R Goebel","C Schiltz"
"274","R Goebel","R Caldara"
"275","R Goebel","B Sorger"
"276","E Mayer","C Schiltz"
"277","E Mayer","R Caldara"
"278","E Mayer","B Sorger"
"279","E Mayer","R Goebel"
"280","B Rossion","C Schiltz"
"281","B Rossion","R Caldara"
"282","B Rossion","B Sorger"
"283","B Rossion","R Goebel"
"284","B Rossion","E Mayer"
"285","K Valyear","T Ganel"
"286","M Goodale","T Ganel"
"287","M Goodale","K Valyear"
"288","F Wilkinson","G Loffler"
"289","H Wilson","G Loffler"
"290","H Wilson","F Wilkinson"
"291","A Johnston","D Arnold"
"292","S Nishida","D Arnold"
"293","S Nishida","A Johnston"
"294","C Zetzsche","S Wuerger"
"295","F Newell","F Newell"
"296","J Burge","S Gepshtein"
"297","M Banks","S Gepshtein"
"298","M Banks","J Burge"
"299","M Ernst","S Gepshtein"
"300","M Ernst","J Burge"
"301","M Ernst","M Banks"
"303","M Banks","P MacNeilage"
"304","H Buelthoff","P MacNeilage"
"305","H Buelthoff","M Banks"
"306","J Saunders","D Knill"
"307","P Schrater","P Schrater"
"308","S Gepshtein","J Trommershauser"
"310","L Maloney","S Gepshtein"
"312","M Landy","S Gepshtein"
"314","M Banks","J Trommershauser"
"316","M Banks","L Maloney"
"317","M Banks","M Landy"
"318","P Schrater","E Schlicht"
"319","R Breveglieri","P Fattori"
"320","C Galletti","P Fattori"
"321","C Galletti","R Breveglieri"
"322","J Saiki","J Saiki"
"323","W Zhang","S Luck"
"324","W Ma","P Wilken"
"325","Y Jiang","I Olson"
"326","M Hayhoe","J Droll"
"327","J Triesch","J Droll"
"328","J Triesch","M Hayhoe"
"329","B Sullivan","J Droll"
"331","B Sullivan","J Triesch"
"332","A Gorea","A Gorea"
"333","M Goodale","M Goodale"
"334","J Smeets","A Brouwer"
"335","E Brenner","A Brouwer"
"336","E Brenner","J Smeets"
"337","N Mennie","M Hayhoe"
"339","B Sullivan","N Mennie"
"340","T Sugar","M McBeath"
"341","Z Wang","M McBeath"
"342","Z Wang","T Sugar"
"343","Q Zaidi","A Li"
"344","F Kingdom","F Kingdom"
"345","A Gilchrist","A Gilchrist"
"346","P Sinha","B Balas"
"350","I Kuriki","S Nishida"
"351","I Kuriki","J Watanabe"
"352","I Kuriki","S Tachi"
"353","B Vlaskamp","A Berg"
"354","I Hooge","A Berg"
"355","I Hooge","B Vlaskamp"
"356","D Yi","G Woodman"
"357","M Chun","G Woodman"
"358","M Chun","D Yi"
"359","J Schall","G Woodman"
"360","J Schall","D Yi"
"361","J Schall","M Chun"
"362","A Caspi","M Eckstein"
"363","B Beutter","M Eckstein"
"364","B Beutter","A Caspi"
"365","B Pham","M Eckstein"
"366","B Pham","A Caspi"
"367","B Pham","B Beutter"
"368","D Burr","S Baldassi"
"369","A Ma-Wyatt","P Verghese"
"370","M Beck","M Peterson"
"371","B Cumming","B Cumming"
"372","A Parker","H Bridge"
"373","B Cumming","H Bridge"
"374","B Cumming","A Parker"
"375","B Rogers","B Rogers"
"376","B Liu","E Berends"
"377","C Schor","E Berends"
"378","C Schor","B Liu"
"380","B Gillam","H Sedgwick"
"381","R Shah","H Sedgwick"
"382","R Shah","B Gillam"
"383","R Rosenholtz","R Rosenholtz"
"385","A Hollingworth","A Hollingworth"
"386","R Rensink","R Rensink"
"387","M Peterson","R Rauschenberger"
"388","R Rensink","A Lleras"
"389","J Enns","A Lleras"
"390","J Enns","R Rensink"
"391","A Pouget","A Pouget"
"392","J Victor","J Victor"
"393","M Livingstone","R Tootell"
"395","F Tong","Y Kamitani"
"397","Y Jiang","Y Jiang"
"398","B Scholl","J Fiser"
"399","R Aslin","J Fiser"
"400","R Aslin","B Scholl"
"401","P Sinha","Y Ostrovsky"
"402","L Vaina","L Vaina"
"403","A Buckthought","A Buckthought"
"404","M Peterson","J Burge"
"405","S Palmer","J Burge"
"406","S Palmer","M Peterson"
"407","J Read","B Cumming"
"408","K Brooks","P Grove"
"409","B Anderson","P Grove"
"410","B Anderson","K Brooks"
"411","B Gillam","P Grove"
"412","B Gillam","K Brooks"
"413","B Gillam","B Anderson"
"414","Y Miyawaki","Y Miyawaki"
"415","R Heydt","F Qiu"
"416","T Vilis","T Vilis"
"417","P Roelfsema","P Roelfsema"
"418","J Brooks","S Palmer"
"419","B Scholl","S Mitroff"
"420","M Nawrot","M Nawrot"
"421","J Mendola","J Mendola"
"422","A Sahraie","A Sahraie"
"423","S Engel","S Bouvier"
"424","C Taylor","L Betts"
"425","P Bennett","L Betts"
"427","A Sekuler","L Betts"
"430","S Cropper","S Cropper"
"431","E FitzGibbon","B Sheliga"
"432","F Miles","B Sheliga"
"433","F Miles","E FitzGibbon"
"434","C Anderson","I Fine"
"436","G Boynton","C Anderson"
"438","K Dobkins","C Anderson"
"439","K Dobkins","G Boynton"
"440","E Hubbard","L Williams"
"441","V Ramachandran","L Williams"
"443","S Anstis","S Anstis"
"444","M Behrmann","A Cate"
"445","C Wallraven","M Giese"
"446","D Leopold","M Giese"
"447","D Leopold","C Wallraven"
"448","G Yovel","B Duchaine"
"449","K Nakayama","B Duchaine"
"450","K Nakayama","G Yovel"
"451","F Tong","T McKeeff"
"452","P Sinha","P Sinha"
"453","N Troje","N Troje"
"454","M Shiffrar","A Jacobs"
"455","S Prasad","F Loula"
"456","M Shiffrar","F Loula"
"457","M Shiffrar","S Prasad"
"458","M McBeath","M McBeath"
"459","M Giese","A Casile"
"460","M Morgan","J Solomon"
"461","I Kagan","M Gur"
"462","M Snodderly","M Gur"
"463","M Snodderly","I Kagan"
"467","J Peirce","S Solomon"
"468","B Lee","H Sun"
