"","from","to"
"1","D Knill","J Saunders"
"2","A Saidpour","G Andersen"
"3","G Bingham","J Todd"
"4","L Fox","F Durgin"
"5","K May","T Ooi"
"6","Z He","T Ooi"
"7","Z He","K May"
"8","A Fitzgibbon","A Glennerster"
"9","D Simons","S Mitroff"
"10","D Levin","M Beck"
"11","S Luck","E Vogel"
"12","D Levin","D Levin"
"13","D Levin","B Angelone"
"15","A Mack","A Mack"
"16","I Murakami","I Murakami"
"17","R Nijhawan","K Watanabe"
"18","S Shimojo","K Watanabe"
"19","S Shimojo","R Nijhawan"
"20","T Sejnowski","D Eagleman"
"21","L Ungerleider","R Desimone"
"22","C Cassanello","C Cassanello"
"23","J Bisley","J Droll"
"24","T Pasternak","J Droll"
"25","T Pasternak","J Bisley"
"26","P Cavanagh","P Cavanagh"
"27","C Wu","C Anderson"
"28","K Dobkins","C Anderson"
"29","K Dobkins","C Wu"
"30","M Chun","R Blake"
"31","S Johnson","S Johnson"
"32","K Nakayama","S Mednick"
"33","H Lu","Z Liu"
"34","M Eckstein","C Abbey"
"35","S Shimozaki","C Abbey"
"36","S Shimozaki","M Eckstein"
"37","T Watanabe","S Koyama"
"38","J Schall","X Xu"
"39","V Casagrande","X Xu"
"40","V Casagrande","J Schall"
"41","H Spekreijse","P Roelfsema"
"42","H Spekreijse","V Lamme"
"43","G Boynton","G Boynton"
"44","J Touryan","J Touryan"
"45","W Bair","M Smith"
"46","J Movshon","M Smith"
"47","J Movshon","W Bair"
"48","S Yen","S Yen"
"49","N Rubin","N Rubin"
"50","I Biederman","E Vessel"
"51","K Lee","E Vessel"
"52","K Lee","I Biederman"
"53","A Doorn","J Koenderink"
"54","A Kappers","J Koenderink"
"55","A Kappers","A Doorn"
"56","J Todd","J Koenderink"
"57","J Todd","A Doorn"
"58","J Todd","A Kappers"
"59","J Todd","J Todd"
"60","M Braunstein","C Sauer"
"61","G Andersen","C Sauer"
"62","G Andersen","M Braunstein"
"63","Z Bian","C Sauer"
"64","Z Bian","M Braunstein"
"65","Z Bian","G Andersen"
"66","A Torralba","P Sinha"
"67","E Adelson","R Fleming"
"68","A Gilchrist","A Gilchrist"
"70","P Schyns","F Gosselin"
"71","R Lier","R Lier"
"72","D Purves","D Purves"
"73","M Fahle","M Herzog"
"74","S Grossberg","S Grossberg"
"75","P Bennett","R Murray"
"76","A Sekuler","R Murray"
"77","A Sekuler","P Bennett"
"78","Y Kamitani","S Shimojo"
"79","A Treisman","S Chong"
"80","T Watanabe","T Watanabe"
"81","M Grabowecky","S Suzuki"
"82","D MacLeod","D MacLeod"
"83","D Lindsey","A Brown"
"85","D Tolhurst","T Troscianko"
"86","D Brainard","D Brainard"
"87","D MacLeod","I Fine"
"88","D Tolhurst","D Tolhurst"
"89","T Palmeri","R Blake"
"90","R Marois","R Blake"
"91","R Marois","T Palmeri"
"92","E Hubbard","V Ramachandran"
"93","D Poggel","D Poggel"
"94","C Moore","A Lleras"
"95","Y Yeshurun","Y Yeshurun"
"96","M Boucart","M Boucart"
"97","Z Chen","Z Chen"
"98","F Loula","M Carrasco"
"99","S Klein","D Levi"
"100","M Carrasco","M Carrasco"
"101","M Carrasco","E Cameron"
"102","M Carrasco","Y Yeshurun"
"103","P Cavanagh","D Giaschi"
"104","D Bavelier","K Schneider"
"105","D Sheinberg","P Tse"
"106","N Logothetis","P Tse"
"107","N Logothetis","D Sheinberg"
"111","G Rees","N Tsuchiya"
"112","J Braun","N Tsuchiya"
"113","J Braun","G Rees"
"114","C Koch","N Tsuchiya"
"115","C Koch","G Rees"
"116","C Koch","J Braun"
"117","Z Vidnyanszky","W Sohn"
"118","E Blaser","W Sohn"
"119","E Blaser","Z Vidnyanszky"
"120","T Papathomas","W Sohn"
"121","T Papathomas","Z Vidnyanszky"
"122","T Papathomas","E Blaser"
"123","D Alais","D Alais"
"124","Q Zaidi","Q Zaidi"
"125","J Faubert","M Grunau"
"126","K Dobkins","K Dobkins"
"127","A Reeves","A Reeves"
"128","D Hoffman","D Hoffman"
"129","M Mangini","M Nederhouser"
"130","E Wasserman","M Young"
"132","H Farid","M Bravo"
"133","S Panis","J Wagemans"
"134","H Beeck","J Wagemans"
"135","H Beeck","S Panis"
"136","M Graf","M Graf"
"137","R Vogels","J Wagemans"
"139","S Luck","G Woodman"
"140","D Simons","S Franconeri"
"141","S Yantis","R Rauschenberger"
"142","V Maljkovic","V Maljkovic"
"143","A Kramer","J McCarley"
"144","H Egeth","A Leber"
"145","I Thornton","T Horowitz"
"146","A Treisman","A Seiffert"
"147","R Remington","C Folk"
"148","U Leonards","C Michel"
"149","L Kontsevich","L Kontsevich"
"150","K Nakayama","A Kristjansson"
"151","S Shimojo","B Sheth"
"152","K Uchikawa","K Yokoi"
"153","N Donnelly","N Donnelly"
"154","E Davis","E Davis"
"155","S Shomstein","S Shomstein"
"156","P Verghese","S Baldassi"
"157","A Oliva","S Butcher"
"158","J Wolfe","S Butcher"
"159","J Wolfe","A Oliva"
"160","P Sinha","Y Ostrovsky"
"162","T Sanocki","T Sanocki"
"163","Y Xu","Y Xu"
"164","R Rensink","R Rensink"
"165","R Cai","R Cai"
"167","J Barton","P Cavanagh"
"168","S Engel","F Tong"
"169","C Koch","G Kreiman"
"170","R Gray","R Gray"
