"","from","to"
"1","L Cacciamani","P Scalf"
"2","M Barense","P Scalf"
"3","M Barense","L Cacciamani"
"4","M Peterson","P Scalf"
"5","M Peterson","L Cacciamani"
"6","M Peterson","M Barense"
"7","R Cusack","B Stojanoski"
"8","Y Chen","C Hung"
"9","P Cavanagh","F Perdreau"
"10","K Zhou","Y Huang"
"11","Y Ma","Y Huang"
"12","Y Ma","K Zhou"
"13","L Chen","Y Huang"
"14","L Chen","K Zhou"
"15","L Chen","Y Ma"
"16","M Peterson","D Chan"
"17","M Barense","D Chan"
"19","J Pratt","D Chan"
"20","J Pratt","M Peterson"
"21","J Pratt","M Barense"
"22","A Rich","A Rich"
"23","J Pearson","J Pearson"
"24","K Gegenfurtner","T Hansen"
"25","K Gegenfurtner","K Gegenfurtner"
"26","D Cao","X Zhuang"
"27","R Eskew","T Shepard"
"28","P Zhang","S He"
"29","F Fang","Y Zhang"
"30","Y Sun","Y Zhang"
"31","Y Sun","F Fang"
"32","A Werner","A Werner"
"33","M Webster","M Webster"
"34","K Uchikawa","K Fukuda"
"35","C Wright","P Sun"
"36","C Chubb","P Sun"
"37","C Chubb","C Wright"
"38","G Sperling","P Sun"
"39","G Sperling","C Wright"
"40","G Sperling","C Chubb"
"41","Q Zaidi","Y Wang"
"42","M Nardini","C Ripamonti"
"43","S Nascimento","J Linhares"
"44","H Lu","M Chen"
"45","A Roe","M Chen"
"46","A Roe","H Lu"
"47","G Purushothaman","Y Jiang"
"48","V Casagrande","Y Jiang"
"49","V Casagrande","G Purushothaman"
"50","J Patel","K Li"
"51","G Purushothaman","K Li"
"52","G Purushothaman","J Patel"
"53","V Casagrande","K Li"
"54","V Casagrande","J Patel"
"56","T Menneer","L Blaha"
"57","M Wenger","L Blaha"
"58","M Wenger","T Menneer"
"59","J Bittner","L Blaha"
"60","J Bittner","T Menneer"
"61","J Bittner","M Wenger"
"62","G Rees","J Brooks"
"63","B Dosher","Z Lu"
"64","G Cottrell","G Cottrell"
"65","S Gaal","J Fahrenfort"
"66","S Scholte","J Fahrenfort"
"67","S Scholte","S Gaal"
"68","V Lamme","J Fahrenfort"
"69","V Lamme","S Gaal"
"70","V Lamme","S Scholte"
"71","A Martinez","A Flevaris"
"72","S Hillyard","A Flevaris"
"73","S Hillyard","A Martinez"
"74","S Khaligh-Razavi","L Henriksson"
"75","N Kriegeskorte","L Henriksson"
"76","N Kriegeskorte","S Khaligh-Razavi"
"77","L Chang","D Kim"
"78","J Náñez","D Kim"
"79","J Náñez","L Chang"
"80","Y Sasaki","D Kim"
"81","Y Sasaki","L Chang"
"82","Y Sasaki","J Náñez"
"83","T Watanabe","D Kim"
"84","T Watanabe","L Chang"
"85","T Watanabe","J Náñez"
"86","T Watanabe","Y Sasaki"
"87","R Heydt","R Heydt"
"88","T Serre","T Serre"
"89","D Kersten","C Qiu"
"90","C Olman","C Qiu"
"91","C Olman","D Kersten"
"92","Y Xu","R Wang"
"93","L Maloney","H Zhang"
"94","R Rosenholtz","K Ehinger"
"95","D Melcher","J Corbett"
"96","E Vul","E Vul"
"97","D Walther","H Choo"
"98","A Hillstrom","A Hillstrom"
"99","B Wyble","M Potter"
"100","L Fei-Fei","M Greene"
"101","M Poletti","M Boi"
"102","J Victor","M Boi"
"103","J Victor","M Poletti"
"104","M Rucci","M Boi"
"105","M Rucci","M Poletti"
"106","M Rucci","J Victor"
"107","T Foulsham","T Foulsham"
"108","R Ringer","A Larson"
"109","J Hutson","A Larson"
"110","J Hutson","R Ringer"
"111","J Peterson","A Larson"
"112","J Peterson","R Ringer"
"113","J Peterson","J Hutson"
"114","L Loschky","A Larson"
"115","L Loschky","R Ringer"
"116","L Loschky","J Hutson"
"117","L Loschky","J Peterson"
"118","M Peelen","J Munneke"
"119","L Cormack","A Bovik"
"120","D Walther","D Walther"
"121","Z Yang","Z Yang"
"122","A Bovik","A Bovik"
"123","Z Wang","S Li"
"124","H Yang","S Li"
"125","H Yang","Z Wang"
"126","X Bai","S Li"
"127","X Bai","Z Wang"
"128","X Bai","H Yang"
"129","H Sun","S Li"
"130","H Sun","Z Wang"
"131","H Sun","H Yang"
"132","H Sun","X Bai"
"133","B Scholl","A Albrecht"
"134","S Ghebreab","I Groen"
"135","V Lamme","I Groen"
"136","V Lamme","S Ghebreab"
"137","H Scholte","I Groen"
"138","H Scholte","S Ghebreab"
"139","H Scholte","V Lamme"
