"","from","to"
"1","I Arend","K Shapiro"
"2","S Johnston","K Shapiro"
"3","S Johnston","I Arend"
"4","S Chong","S Joo"
"5","K Arnell","M MacLean"
"6","K Arnell","K Arnell"
"7","J Kawahara","J Kawahara"
"8","V Lollo","L Jefferies"
"9","N Kanwisher","E Vul"
"10","R Marois","P Dux"
"11","P Dux","I Harris"
"12","F Chua","F Chua"
"13","B Giesbrecht","J Sy"
"14","B Giesbrecht","J Elliott"
"15","M Doran","J Hoffman"
"16","S Most","J Hoffman"
"17","S Most","M Doran"
"18","J Corbett","C Oriet"
"19","J Chiao","H Choo"
"20","J Enns","L Trick"
"21","O Braddick","B Harvey"
"22","D Birtles","J Wattam-Bell"
"23","W Li","J Wattam-Bell"
"24","W Li","D Birtles"
"25","O Braddick","J Wattam-Bell"
"26","O Braddick","D Birtles"
"27","O Braddick","W Li"
"28","J Atkinson","J Wattam-Bell"
"29","J Atkinson","D Birtles"
"30","J Atkinson","W Li"
"31","J Atkinson","O Braddick"
"32","J Faubert","R Allard"
"33","G Sperling","D Liu"
"34","A Johnston","A Rider"
"35","P McOwan","A Rider"
"36","P McOwan","A Johnston"
"37","R Hess","R Hess"
"38","G Andersen","M Braunstein"
"39","I Murakami","H Takemura"
"40","S Rainville","A Clarke"
"41","S Nishida","S Nishida"
"42","R Gilmore","R Gilmore"
"43","B Dyre","B Dyre"
"44","L Cormack","B Rokers"
"45","A Huk","B Rokers"
"46","A Huk","L Cormack"
"47","N Grzywacz","K Lee"
"48","M Banks","D Hoffman"
"49","A Yuille","A Lee"
"50","H Lu","A Lee"
"51","H Lu","A Yuille"
"52","D Braun","J Billino"
"53","F Bremmer","J Billino"
"54","F Bremmer","D Braun"
"55","K Gegenfurtner","J Billino"
"56","K Gegenfurtner","D Braun"
"57","K Gegenfurtner","F Bremmer"
"58","F Tong","J Swisher"
"59","M Lescroart","J Kim"
"60","K Hayworth","J Kim"
"61","K Hayworth","M Lescroart"
"62","I Biederman","J Kim"
"63","I Biederman","M Lescroart"
"64","I Biederman","K Hayworth"
"68","J Raymond","J O'Brien"
"69","J Haynes","Y Chen"
"70","C Baker","M Williams"
"71","H Beeck","M Williams"
"72","H Beeck","C Baker"
"73","N Kanwisher","M Williams"
"74","N Kanwisher","C Baker"
"75","N Kanwisher","H Beeck"
"76","J Schultz","Q Vuong"
"77","G Aguirre","G Aguirre"
"78","D Zhang","D Zhang"
"79","D Heeger","J Freeman"
"80","G Kreiman","T Serre"
"81","T Poggio","T Serre"
"82","T Poggio","G Kreiman"
"83","J Wagemans","H Beeck"
"84","N Davidenko","D Remus"
"85","Y Hu","D Remus"
"86","Y Hu","N Davidenko"
"87","K Grill-Spector","D Remus"
"88","K Grill-Spector","N Davidenko"
"89","K Grill-Spector","Y Hu"
"90","X Yue","P Bao"
"91","B Tjan","P Bao"
"92","B Tjan","X Yue"
"93","D Crawford","X Yan"
"94","D Knill","B Hu"
"95","G Desmarais","E Roy"
"96","M Harvey","S Rossit"
"97","A Blangero","C Striemer"
"98","L Pisella","C Striemer"
"99","L Pisella","A Blangero"
"100","J Danckert","C Striemer"
"101","J Danckert","A Blangero"
"102","J Danckert","L Pisella"
"103","J Culham","L Brown"
"104","G Kroliczak","L Brown"
"105","G Kroliczak","J Culham"
"106","M Goodale","L Brown"
"107","M Goodale","J Culham"
"108","M Goodale","G Kroliczak"
"109","A Casile","M Giese"
"110","O Kwon","O Kwon"
"111","L Tremblay","L Tremblay"
"112","T Collins","T Collins"
"113","D Levin","D Levin"
"114","M Heath","G Binsted"
"115","D Henriques","D Henriques"
"116","G Binsted","G Buckingham"
"117","R Eskew","R Eskew"
"118","B Wandell","K Amano"
"119","S Dumoulin","K Amano"
"120","S Dumoulin","B Wandell"
"121","H Ashida","I Kuriki"
"122","I Murakami","I Kuriki"
"123","I Murakami","H Ashida"
"124","A Smith","A Smith"
"125","Y Jiang","W Shim"
"126","N Kanwisher","W Shim"
"127","N Kanwisher","Y Jiang"
"128","B Gelder","R Goebel"
"129","D Linden","D Linden"
"130","W Geisler","W Geisler"
"131","P Sinha","Y Ostrovsky"
"132","T Brady","A Oliva"
"133","R Hess","K May"
"134","D Leopold","D Leopold"
"135","P Mamassian","L Maloney"
"136","B Backus","B Backus"
"137","Y Li","R Fleming"
"138","E Adelson","R Fleming"
"139","E Adelson","Y Li"
"140","J Burge","A Girshick"
"141","G Erlikhman","A Girshick"
"142","G Erlikhman","J Burge"
"143","M Banks","A Girshick"
"144","M Banks","J Burge"
"145","M Banks","G Erlikhman"
"146","D Knill","D Knill"
"147","J Christensen","J Todd"
"148","R Held","J Burge"
"150","M Banks","R Held"
"151","G Aguirre","M Berryhill"
"152","I Olson","M Berryhill"
"153","I Olson","G Aguirre"
"154","K Grill-Spector","R Sayres"
"158","H Hogendoorn","T Carlson"
"159","F Verstraten","T Carlson"
"160","F Verstraten","H Hogendoorn"
"161","K Devaney","R Rajimehr"
"162","R Tootell","R Rajimehr"
"163","R Tootell","K Devaney"
"164","J Sharma","S Gorlin"
"165","M Sur","S Gorlin"
"166","M Sur","J Sharma"
"167","P Sinha","S Gorlin"
"168","P Sinha","J Sharma"
"169","P Sinha","M Sur"
"170","I Gauthier","Y Wong"
"171","C Baker","N Kriegeskorte"
"172","P Mamassian","P Mamassian"
"173","W Gerbino","C Fantoni"
"174","B Farell","B Farell"
"175","K Stroyan","K Stroyan"
"176","A Chopin","J Harris"
"177","G Andersen","R Ni"
"178","M Ishii","M Ishii"
"179","H Lu","G Chen"
"180","A Roe","G Chen"
"181","A Roe","H Lu"
"182","L Muckli","L Muckli"
"183","Y Miyawaki","H Shigemasu"
"184","Y Kamitani","H Shigemasu"
"185","Y Kamitani","Y Miyawaki"
"186","M Kitazaki","H Shigemasu"
"187","M Kitazaki","Y Miyawaki"
"188","M Kitazaki","Y Kamitani"
"189","K MacKenzie","D Giaschi"
"190","L Wilcox","D Giaschi"
"191","L Wilcox","K MacKenzie"
"192","F Durgin","F Durgin"
"193","S Heinen","A Khan"
"194","R McPeek","A Khan"
"195","R McPeek","S Heinen"
"196","J Franchak","K Adolph"
"197","M Smith","K Adolph"
"198","M Smith","J Franchak"
"199","E Mingolla","E Mingolla"
"200","R Krauzlis","Z Hafed"
"201","M Peterson","J Wong"
"202","W Geisler","J Najemnik"
"203","C Myers","C Myers"
"204","N Mennie","N Mennie"
"205","E Castet","A Montagnini"
"206","L Cormack","A Bovik"
"207","M Hayhoe","M Hayhoe"
"208","T Busey","D Wyatte"
"209","B Sullivan","J Jovancevic"
"210","M Hayhoe","J Jovancevic"
"211","M Hayhoe","B Sullivan"
"212","E Niebur","E Niebur"
"213","X Li","G Logan"
"214","Q Vuong","Q Vuong"
"215","S Stigchel","M Dodd"
"216","A Hollingworth","M Dodd"
"217","A Hollingworth","S Stigchel"
"218","A Kingstone","M Dodd"
"219","A Kingstone","S Stigchel"
"220","A Kingstone","A Hollingworth"
"221","D Kerzel","S Born"
"222","S Stigchel","S Stigchel"
"223","K Valois","T Takeuchi"
"224","S Gori","E Giora"
"225","K Sakurai","P Grove"
"226","T Sato","T Sato"
"228","K Singh","S Rushton"
"229","G Orban","G Orban"
"230","S Kim","Z Pizlo"
"231","R Hayashi","R Hayashi"
"232","P Tse","G Caplovitz"
"233","S Gori","A Yazdanbakhsh"
"234","T Agostini","S Gori"
"235","R Cai","R Cai"
"236","W Prinzmetal","W Prinzmetal"
"237","S Suzuki","M Grabowecky"
"238","D Whitney","A Puri"
"239","J Pratt","N Al-Aidroos"
"240","C Moore","J Palmer"
"241","S Fuller","Y Park"
"242","M Carrasco","Y Park"
"243","M Carrasco","S Fuller"
"244","N Matthews","N Matthews"
"245","L Jefferies","S Ghorashi"
"246","V Lollo","S Ghorashi"
"249","S Bentin","A Flevaris"
"250","L Robertson","A Flevaris"
"251","L Robertson","S Bentin"
"252","T Liu","J Abrams"
"253","M Carrasco","J Abrams"
"254","M Carrasco","T Liu"
"255","S Chong","K Shin"
"256","S Shimozaki","S Shimozaki"
"257","L Jefferies","A Roggeveen"
"258","A Sekuler","A Roggeveen"
"259","A Sekuler","L Jefferies"
"260","P Bennett","A Roggeveen"
"261","P Bennett","L Jefferies"
"262","P Bennett","A Sekuler"
"263","L Hsu","H Lee"
"264","P Bennett","M Nagai"
"265","A Yagi","M Nagai"
"266","A Yagi","P Bennett"
"267","M Rutherford","M Nagai"
"268","M Rutherford","P Bennett"
"269","M Rutherford","A Yagi"
"270","A Sekuler","M Nagai"
"272","A Sekuler","A Yagi"
"273","A Sekuler","M Rutherford"
"274","E McKone","T Susilo"
"275","M Edwards","T Susilo"
"276","M Edwards","E McKone"
"277","V Goffaux","V Goffaux"
"278","S He","Y Jiang"
"279","D Fiset","V Willenbockel"
"280","A Chauvin","V Willenbockel"
"281","A Chauvin","D Fiset"
"282","C Blais","V Willenbockel"
"283","C Blais","D Fiset"
"284","C Blais","A Chauvin"
"285","M Arguin","V Willenbockel"
"286","M Arguin","D Fiset"
"287","M Arguin","A Chauvin"
"288","M Arguin","C Blais"
"289","J Tanaka","V Willenbockel"
"290","J Tanaka","D Fiset"
"291","J Tanaka","A Chauvin"
"292","J Tanaka","C Blais"
"293","J Tanaka","M Arguin"
"294","D Bub","V Willenbockel"
"295","D Bub","D Fiset"
"296","D Bub","A Chauvin"
"297","D Bub","C Blais"
"298","D Bub","M Arguin"
"299","D Bub","J Tanaka"
"300","F Gosselin","V Willenbockel"
"301","F Gosselin","D Fiset"
"302","F Gosselin","A Chauvin"
"303","F Gosselin","C Blais"
"304","F Gosselin","M Arguin"
"305","F Gosselin","J Tanaka"
"306","F Gosselin","D Bub"
"307","D MacLeod","P Pallett"
"308","F Haist","K Lee"
"309","B Rossion","T Busigny"
"310","B Rossion","B Rossion"
"311","M Daar","H Wilson"
"312","F Wilkinson","H Wilson"
"313","F Wilkinson","M Daar"
"314","F Jiang","V Natu"
"315","S Keshvari","V Natu"
"316","S Keshvari","F Jiang"
"317","A O'Toole","V Natu"
"318","A O'Toole","F Jiang"
"319","A O'Toole","S Keshvari"
"320","D Maurer","D Maurer"
"321","H Neumann","H Neumann"
"322","T Andrews","J Davies-Thompson"
"323","G Yovel","E McKone"
"324","C Chen","C Chen"
"325","G Rhodes","G Rhodes"
"326","D Whitney","S Teng"
"327","Y Tanaka","Y Tanaka"
"328","J Cant","S Arnott"
"329","G Dutton","S Arnott"
"330","G Dutton","J Cant"
"331","M Goodale","S Arnott"
