"","from","to"
"1","H Hughes","M Berryhill"
"2","N Mennie","D Braun"
"3","K Gegenfurtner","D Braun"
"4","K Gegenfurtner","N Mennie"
"5","S Lomber","S Lomber"
"6","M Spering","A Montagnini"
"7","G Masson","A Montagnini"
"8","G Masson","M Spering"
"9","S Shioiri","K Matsumiya"
"10","P Sinha","R Russell"
"11","F Newell","I Bülthoff"
"12","P Phillips","A O'Toole"
"13","F Jiang","A O'Toole"
"14","F Jiang","P Phillips"
"15","H Abdi","A O'Toole"
"16","H Abdi","P Phillips"
"17","H Abdi","F Jiang"
"19","S Kanazawa","E Nakato"
"20","M Yamaguchi","E Nakato"
"21","M Yamaguchi","S Kanazawa"
"22","Y Osada","Y Osada"
"23","T Sato","Y Tani"
"24","F Verstraten","I Hooge"
"25","D Sheinberg","D Sheinberg"
"26","H Wilson","F Poirier"
"27","E Spelke","E Spelke"
"28","H Orbach","G Kennedy"
"29","G Loffler","G Kennedy"
"30","G Loffler","H Orbach"
"31","M Singh","J Feldman"
"32","G Sperling","L Lin"
"33","A Hollingworth","A Hollingworth"
"34","C Gonzalez","T Ganel"
"35","K Valyear","T Ganel"
"36","K Valyear","C Gonzalez"
"37","J Culham","T Ganel"
"38","J Culham","C Gonzalez"
"39","J Culham","K Valyear"
"40","M Goodale","T Ganel"
"41","M Goodale","C Gonzalez"
"42","M Goodale","K Valyear"
"43","M Goodale","J Culham"
"44","Y Jiang","R Sussman"
"45","J Spencer","J Johnson"
"46","L Jakobson","P Pearson"
"47","S Harrison","J Todd"
"48","R Marois","J Todd"
"49","R Marois","S Harrison"
"50","E Vogel","A McCollough"
"51","H Bowman","B Wyble"
"52","E Vogel","E Vogel"
"53","T Makovski","Y Shen"
"54","Y Jiang","Y Shen"
"55","Y Jiang","T Makovski"
"56","G Alvarez","T Carlson"
"57","E Blaser","E Blaser"
"58","I Olson","I Olson"
"59","S Vecera","H Lee"
"60","S Jeong","J Ahn"
"61","M Kim","J Ahn"
"62","M Kim","S Jeong"
"63","M Beck","B Angelone"
"64","U Polat","Y Bonneh"
"65","M Tsodyks","Y Bonneh"
"66","M Tsodyks","U Polat"
"67","G Wallis","O Carter"
"68","R Blake","S Chong"
"69","F Tong","M Meng"
"70","R Blake","M Kang"
"71","A Buckthought","J Kim"
"72","H Wilson","J Kim"
"73","H Wilson","A Buckthought"
"74","S Abe","E Kimura"
"75","K Goryo","E Kimura"
"76","K Goryo","S Abe"
"77","C Paffen","T Knapen"
"78","R Kanai","T Knapen"
"79","R Kanai","C Paffen"
"80","R Ee","T Knapen"
"81","R Ee","C Paffen"
"82","R Ee","R Kanai"
"83","G Rees","P Sterzer"
"84","R Wezel","R Ee"
"85","S Mitroff","S Mitroff"
"86","P Schrater","C Kallie"
"87","K Mullen","K Mullen"
"88","M Ambinder","D Simons"
"89","X Wan","D Simons"
"90","X Wan","M Ambinder"
"91","E Caddigan","D Simons"
"92","E Caddigan","M Ambinder"
"93","E Caddigan","X Wan"
"94","C Moore","C Moore"
"95","G Wallis","G Wallis"
"96","C Chubb","C Chubb"
"98","N Grzywacz","N Grzywacz"
"100","M Harrison","B Anderson"
"101","D Sheinberg","B Anderson"
"102","D Sheinberg","M Harrison"
"103","Z Zhou","X Chen"
"104","M Bernard","X Chen"
"105","M Bernard","Z Zhou"
"106","A Bonds","X Chen"
"107","A Bonds","Z Zhou"
"108","A Bonds","M Bernard"
"109","V Casagrande","X Chen"
"110","V Casagrande","Z Zhou"
"111","V Casagrande","M Bernard"
"112","V Casagrande","A Bonds"
"119","D Arnold","K Amano"
"120","A Johnston","K Amano"
"121","A Johnston","D Arnold"
"122","T Takeda","K Amano"
"123","T Takeda","D Arnold"
"124","T Takeda","A Johnston"
"125","J Ferwerda","J Ferwerda"
"126","H Strasburger","H Strasburger"
"127","W Gerbino","W Gerbino"
"128","L McLin","L McLin"
"129","T Sugar","M McBeath"
"130","T Freeman","T Freeman"
"132","K Gegenfurtner","M Spering"
"133","E FitzGibbon","B Sheliga"
"134","F Miles","B Sheliga"
"135","F Miles","E FitzGibbon"
"136","F Bremmer","B Krekelberg"
"137","D Burr","M Morrone"
"138","K Nakayama","A Harris"
"139","J Sadr","J Tanaka"
"140","G Rousselet","M Fabre-Thorpe"
"141","S Thorpe","M Fabre-Thorpe"
"142","S Thorpe","G Rousselet"
"143","M Gobbini","J Haxby"
"145","G Avidan","C Thomas"
"146","M Behrmann","C Thomas"
"147","M Behrmann","G Avidan"
"148","M Singh","J Fulvio"
"149","L Maloney","J Fulvio"
"150","L Maloney","M Singh"
"151","Y Li","L Sharan"
"152","E Adelson","L Sharan"
"153","E Adelson","Y Li"
"154","W Freeman","E Adelson"
"156","Y Li","W Freeman"
"157","W Geisler","W Geisler"
"158","M Rucci","M Rucci"
"159","M Zirnsak","F Hamker"
"160","M Lappe","F Hamker"
"161","M Lappe","M Zirnsak"
"162","C Taylor","P Bennett"
"163","A Sekuler","P Bennett"
"164","A Sekuler","C Taylor"
"165","D Bressler","D Whitney"
"166","M Gur","M Snodderly"
"167","T Pasternak","T Pasternak"
"168","R Andersen","B Lee"
"169","C Tallon-Baudry","J Lorenceau"
"170","H Ashida","A Smith"
"171","Z Liu","B Thompson"
"175","M Eckstein","C Abbey"
"176","Y Morgenstern","J Elder"
"177","M Landy","I Oruc"
"178","C Tyler","S Klein"
"179","A Stockman","A Stockman"
"180","T Albright","T Albright"
"181","B Breitmeyer","H Ogmen"
"182","D Alais","J Cass"
"183","I Motoyoshi","I Motoyoshi"
"184","K Kim","M Kim"
"185","B Won","M Kim"
"186","B Won","K Kim"
"187","M Kim","S Han"
"188","M Kim","H Kim"
"189","M Kim","J Kim"
"190","M Chun","J Kim"
"191","M Chun","M Kim"
"192","S Yeh","S Yeh"
"193","K Sobel","K Sobel"
