"","from","to"
"1","D Niehorster","L Li"
"2","W Warren","L Li"
"3","W Warren","D Niehorster"
"4","M Lappe","L Li"
"5","M Lappe","D Niehorster"
"6","M Lappe","W Warren"
"7","M Ernst","M Ernst"
"8","S Barton","J Matthis"
"9","B Fajen","J Matthis"
"10","B Fajen","S Barton"
"11","W Warren","W Warren"
"12","M Hayhoe","M Tong"
"13","M Pashkam","K Nakayama"
"14","P Hsieh","P Hsieh"
"15","C Summerfield","V Wyart"
"16","J","H Supèr"
"17","N Turk-Browne","J Zhao"
"18","J Zhao","Y Luo"
"19","H Müller","M Conci"
"20","C Pack","L Liu"
"21","M Morrone","M Morrone"
"22","A Norcia","A Norcia"
"23","R Nijhawan","R Nijhawan"
"24","W Ma","W Ma"
"25","H Neumann","H Neumann"
"26","J Faubert","R Allard"
"27","M Rolfs","A White"
"28","M Carrasco","A White"
"29","M Carrasco","M Rolfs"
"30","G Alvarez","V Störmer"
"31","M Chun","E Ward"
"32","S Hillyard","S Andersen"
"33","A Clarke","A Clarke"
"34","I Thornton","A Kristjansson"
"35","S Shomstein","G Malcolm"
"36","J Flombaum","F Yang"
"37","A Puri","K Sobel"
"38","J Cheeseman","J Norman"
"39","O Adkins","J Norman"
"40","O Adkins","J Cheeseman"
"41","C Rogers","J Norman"
"42","C Rogers","J Cheeseman"
"43","C Rogers","O Adkins"
"44","J Flombaum","M Schurgin"
"45","N Gronau","N Gronau"
"46","G Woodman","A Maxcey"
"47","P Cavanagh","F Perdreau"
"48","N Tang","M Shen"
"49","R Shui","M Shen"
"50","R Shui","N Tang"
"51","S Chen","M Shen"
"52","S Chen","N Tang"
"53","S Chen","R Shui"
"54","Z Gao","M Shen"
"55","Z Gao","N Tang"
"56","Z Gao","R Shui"
"57","Z Gao","S Chen"
"58","J Snow","M Berryhill"
"59","C Williams","C Williams"
"60","J Raymond","R Sawaki"
"61","Z Wang","B Wang"
"62","J Johnson","A Lamsweerde"
"63","K Adam","I Mance"
"64","K Fukuda","I Mance"
"65","K Fukuda","K Adam"
"66","E Vogel","I Mance"
"67","E Vogel","K Adam"
"68","E Vogel","K Fukuda"
"75","Y Jiang","Y Jiang"
"76","O Cha","K Eo"
"77","Y Jung","K Eo"
"78","Y Jung","O Cha"
"79","S Chong","K Eo"
"80","S Chong","O Cha"
"81","S Chong","Y Jung"
"82","J Wagemans","N Kogo"
"83","B Rossion","N Kogo"
"84","B Rossion","J Wagemans"
"85","P Scalf","L Cacciamani"
"86","M Peterson","L Cacciamani"
"87","M Peterson","P Scalf"
"88","D Pantazis","R Cichy"
"89","S Thompson-Schill","S Solomon"
"90","D Schwarzkopf","M Sereno"
"91","M Peterson","J Sanguinetti"
"92","S Kelly","A Blangero"
"93","B Sheth","B Sheth"
"94","M McBeath","S Holloway"
"95","R VanRullen","R VanRullen"
"96","D Saint-Amour","D Saint-Amour"
"97","S Kastner","B Keane"
"98","D Paterno","B Keane"
"99","D Paterno","S Kastner"
"100","G Erlikhman","B Keane"
"101","G Erlikhman","S Kastner"
"102","G Erlikhman","D Paterno"
"103","S Silverstein","B Keane"
"104","S Silverstein","S Kastner"
"105","S Silverstein","D Paterno"
"106","S Silverstein","G Erlikhman"
"107","B Dosher","Z Lu"
"108","A Stocker","X Wei"
"109","T Serre","T Serre"
"110","V Froyen","N Kogo"
"111","B Anderson","J Danckert"
"112","G Caplovitz","G Erlikhman"
"113","P Kellman","G Erlikhman"
"114","P Kellman","G Caplovitz"
"115","J Feldman","V Froyen"
"116","M Singh","V Froyen"
"117","M Singh","J Feldman"
"118","J Bell","E Gheorghiu"
"119","F Kingdom","E Gheorghiu"
"120","F Kingdom","J Bell"
"127","A Martinez","M Pitts"
"128","S Hillyard","M Pitts"
"129","S Hillyard","A Martinez"
