"","from","to"
"1","E Niebur","E Niebur"
"2","F Hamker","F Hamker"
"3","A Torralba","A Oliva"
"4","M Castelhano","A Oliva"
"5","M Castelhano","A Torralba"
"6","J Henderson","A Oliva"
"7","J Henderson","A Torralba"
"8","J Henderson","M Castelhano"
"9","P Schyns","P Sowden"
"10","P Martini","V Maljkovic"
"11","I Biederman","E Vessel"
"12","M Cohen","E Vessel"
"13","M Cohen","I Biederman"
"14","B Dosher","Z Lu"
"15","C Tyler","L Kontsevich"
"16","P Bennett","C Taylor"
"17","A Sekuler","C Taylor"
"18","A Sekuler","P Bennett"
"19","D Levi","S Klein"
"20","B Liu","B Liu"
"21","P Sinha","B Balas"
"22","P Dassonville","B Bridgeman"
"23","G Legge","B Stankiewicz"
"24","D Proffitt","J Witt"
"25","P Willemsen","S Creem-Regehr"
"26","W Thompson","S Creem-Regehr"
"27","W Thompson","P Willemsen"
"28","M Braunstein","R Ni"
"29","G Andersen","R Ni"
"30","G Andersen","M Braunstein"
"34","J Loomis","W Thompson"
"35","J Loomis","P Willemsen"
"36","J Loomis","S Creem-Regehr"
"37","A Beall","W Thompson"
"38","A Beall","P Willemsen"
"39","A Beall","S Creem-Regehr"
"40","A Beall","J Loomis"
"41","M Carandini","M Carandini"
"42","J Victor","J Victor"
"43","I Kagan","M Gur"
"44","M Snodderly","M Gur"
"45","M Snodderly","I Kagan"
"46","G DeAngelis","C Anderson"
"47","H Spekreijse","H Supèr"
"48","V Lamme","H Supèr"
"49","V Lamme","H Spekreijse"
"50","S Solomon","J Peirce"
"51","J Forte","J Peirce"
"52","J Forte","S Solomon"
"53","J Krauskopf","J Peirce"
"54","J Krauskopf","S Solomon"
"55","J Krauskopf","J Forte"
"56","P Lennie","J Peirce"
"57","P Lennie","S Solomon"
"58","P Lennie","J Forte"
"59","P Lennie","J Krauskopf"
"60","P Cavanagh","G Alvarez"
"61","K Nakayama","Y Xu"
"62","M Hayhoe","J Droll"
"63","J Triesch","J Droll"
"64","J Triesch","M Hayhoe"
"65","B Sullivan","J Droll"
"66","B Sullivan","M Hayhoe"
"67","B Sullivan","J Triesch"
"68","J Henderson","D Gajewski"
"69","J Henderson","C Williams"
"70","M Ernst","M Banks"
"71","M Ernst","M Ernst"
"72","G Rees","L Shams"
"73","S Shimojo","L Shams"
"74","S Shimojo","G Rees"
"75","S Shimojo","W Fujisaki"
"76","S Nishida","W Fujisaki"
"77","S Nishida","S Shimojo"
"78","D Somers","D Somers"
"79","J Campos","H Sun"
"80","G Chan","H Sun"
"81","G Chan","J Campos"
"82","D Zhang","H Sun"
"83","D Zhang","J Campos"
"84","D Zhang","G Chan"
"85","A Lee","H Sun"
"86","A Lee","J Campos"
"87","A Lee","G Chan"
"88","A Lee","D Zhang"
"89","G Stoner","M Fallah"
"90","J Reynolds","M Fallah"
"91","J Reynolds","G Stoner"
"92","L Chelazzi","L Chelazzi"
"93","E Vogel","S Luck"
"94","G Woodman","S Luck"
"95","G Woodman","E Vogel"
"96","J Hyun","S Luck"
"97","J Hyun","E Vogel"
"98","J Hyun","G Woodman"
"99","P Smith","D Burr"
"100","C Morrone","D Burr"
"101","C Morrone","P Smith"
"102","S Baldassi","D Burr"
"103","S Baldassi","P Smith"
"104","S Baldassi","C Morrone"
"105","M Greenlee","M Greenlee"
"106","J Malik","J Malik"
"107","D Dong","D Dong"
"109","C Zetzsche","C Zetzsche"
"110","D Kersten","C Olman"
"111","E Adelson","E Adelson"
"112","R Jacobs","R Aslin"
"113","P Battaglia","R Aslin"
"114","P Battaglia","R Jacobs"
"115","K Sobel","R Blake"
"116","R Blake","S Lee"
"117","D Heeger","S Lee"
"118","D Heeger","R Blake"
"119","H Wilson","H Wilson"
"120","Y Zhou","Y Zhou"
"121","M Grabowecky","Y Kim"
"122","S Suzuki","Y Kim"
"123","S Suzuki","M Grabowecky"
"124","S Chien","S Chien"
"125","I Zemach","M Rudd"
"126","A Wade","F Cornelissen"
"127","R Dougherty","F Cornelissen"
"128","R Dougherty","A Wade"
"129","B Wandell","F Cornelissen"
"130","B Wandell","A Wade"
"131","B Wandell","R Dougherty"
"132","J Winawer","B Anderson"
"133","D Kersten","D Kersten"
"134","C Chubb","M Landy"
"135","J Read","B Cumming"
"136","I Fujita","S Tanabe"
"137","B Farell","S McKee"
"138","P Verghese","S McKee"
"139","P Verghese","B Farell"
"140","A Parker","A Foulkes"
"141","A Glennerster","Y Petrov"
"142","M Banks","S Watt"
"144","J Perry","W Geisler"
"145","J Najemnik","W Geisler"
"146","J Najemnik","J Perry"
