"","from","to"
"1","J Winawer","K Kay"
"2","A Wade","D Baker"
"3","A Haun","B Hansen"
"4","A Johnson","B Hansen"
"5","A Johnson","A Haun"
"6","D Ellemberg","B Hansen"
"7","D Ellemberg","A Haun"
"8","D Ellemberg","A Johnson"
"9","Y Kim","C Hou"
"10","P Verghese","C Hou"
"11","P Verghese","Y Kim"
"12","M Bach","D Peterzell"
"13","W Geisler","Y Chen"
"14","E Seidemann","Y Chen"
"15","E Seidemann","W Geisler"
"16","S Palmisano","R Allison"
"17","S Patel","A Thomas"
"18","R Gilmore","A Thomas"
"19","R Gilmore","S Patel"
"20","B Fajen","O Layton"
"21","G Andersen","G Andersen"
"22","T Kawabe","K Maruya"
"23","S Nishida","K Maruya"
"24","S Nishida","T Kawabe"
"25","L Li","D Niehorster"
"26","M Lappe","M Lappe"
"27","D Niehorster","S Rushton"
"28","L Li","S Rushton"
"31","M Valsecchi","J Chen"
"32","K Gegenfurtner","J Chen"
"33","K Gegenfurtner","M Valsecchi"
"34","C Aitkin","E Kowler"
"35","E Santos","E Kowler"
"36","E Santos","C Aitkin"
"37","R Shah","E Kowler"
"38","R Shah","C Aitkin"
"39","R Shah","E Santos"
"40","L Perrinet","L Madelain"
"41","A Montagnini","L Madelain"
"42","A Montagnini","L Perrinet"
"43","E Potapchuk","S Watamaniuk"
"44","S Heinen","S Watamaniuk"
"45","S Heinen","E Potapchuk"
"46","I Motoyoshi","R Nakayama"
"47","T Sato","R Nakayama"
"48","T Sato","I Motoyoshi"
"49","A Schütz","D Braun"
"50","K Gegenfurtner","D Braun"
"51","K Gegenfurtner","A Schütz"
"55","D Badcock","D Badcock"
"56","R Fleming","F Schmidt"
"57","A Sekuler","M Slugocki"
"58","P Bennett","M Slugocki"
"59","P Bennett","A Sekuler"
"60","F Verstraten","C Paffen"
"61","H Hogendoorn","C Paffen"
"62","H Hogendoorn","F Verstraten"
"64","S Dakin","S Dakin"
"65","J Zhao","R Yu"
"66","G Schmidtmann","A Baldwin"
"67","F Kingdom","A Baldwin"
"68","F Kingdom","G Schmidtmann"
"69","R Hess","A Baldwin"
"70","R Hess","G Schmidtmann"
"71","R Hess","F Kingdom"
"72","D Burr","J Bell"
"74","G Erlikhman","G Caplovitz"
"75","B Scholl","Y Chen"
"76","B Klein","F Durgin"
"77","J Steeves","S Rafique"
"78","D Sagi","Y Bonneh"
"79","M Peelen","D Kaiser"
"80","S He","S Cho"
"81","M Silver","E Piazza"
"82","M Bao","M Bao"
"83","D Beck","X Hu"
"84","M Meng","J Goold"
"85","M Lee","S Kim"
"86","C Kim","S Kim"
"87","C Kim","M Lee"
"88","J Martinez-Trujillo","J Martinez-Trujillo"
"89","J Martinez-Trujillo","A Sachs"
"90","Z Lu","Y Zhao"
"91","B Dosher","Y Zhao"
"92","B Dosher","Z Lu"
"93","A Leber","B Won"
"94","T Sprague","M Smith"
"95","J Serences","M Smith"
"96","J Serences","T Sprague"
"97","S Courtney","S Courtney"
"98","S Emrich","H Lockhart"
"99","B Shinn-Cunningham","A Noyce"
"100","D Somers","A Noyce"
"101","D Somers","B Shinn-Cunningham"
"102","L Wang","A Martin"
"103","S Jeong","A Martin"
"104","S Jeong","L Wang"
"105","R Knight","A Martin"
"106","R Knight","L Wang"
"107","R Knight","S Jeong"
"108","S Kastner","A Martin"
"109","S Kastner","L Wang"
"110","S Kastner","S Jeong"
"111","S Kastner","R Knight"
"112","J Pratt","J Rajsic"
"113","J Kawahara","J Kawahara"
"114","M Eimer","A Grubert"
"115","L Ronconi","A Facoetti"
"116","S Gori","A Facoetti"
"117","S Gori","L Ronconi"
"118","J Raymond","J Raymond"
"119","A Sachs","S Tremblay"
"120","J Martinez-Trujillo","S Tremblay"
"122","J Golomb","A Shafer-Skelton"
"123","C Gaspar","W Chen"
"124","B Olk","B Olk"
"125","E Roy","E Roy"
"126","J Elliott","T Bullock"
"127","J Serences","T Bullock"
"128","J Serences","J Elliott"
"129","B Giesbrecht","T Bullock"
"130","B Giesbrecht","J Elliott"
"131","B Giesbrecht","J Serences"
"132","J Snow","J Snow"
"133","I Thornton","A Chetverikov"
"134","Y Tsal","R Max"
"135","D Chan","E Taylor"
"136","P Bennett","E Taylor"
"137","P Bennett","D Chan"
"138","J Pratt","E Taylor"
"139","J Pratt","D Chan"
"140","J Pratt","P Bennett"
"141","G Erickson","J Peterson"
"142","A Johnson","J Peterson"
"143","A Johnson","G Erickson"
"144","L Loschky","J Peterson"
"145","L Loschky","G Erickson"
"146","L Loschky","A Johnson"
"147","E Self","E Self"
"148","J Lee","T Emmanouil"
"149","S Lourenco","S Lourenco"
"150","H Sedgwick","H Sedgwick"
"151","M Banks","M Banks"
"152","A Reeves","A Reeves"
"153","F Durgin","A Robinson"
"154","A Fitzgibbon","A Glennerster"
"155","J Norman","O Adkins"
"156","H Norman","O Adkins"
"157","H Norman","J Norman"
"158","C Rogers","O Adkins"
"159","C Rogers","J Norman"
"160","C Rogers","H Norman"
"161","J Read","J Read"
"162","A Huk","K Bonnen"
"163","L Cormack","K Bonnen"
"164","L Cormack","A Huk"
"165","D Kersten","C Olman"
"166","J Philbeck","D Gajewski"
