"","from","to"
"1","L Madelain","L Madelain"
"2","T Smith","T Smith"
"3","A Schütz","A Schütz"
"4","K Fiehler","K Fiehler"
"5","H Deubel","N Hanning"
"6","J Mitchell","M Rolfs"
"7","K Gegenfurtner","D Braun"
"8","J Forte","J Forte"
"9","M Rucci","J Victor"
"10","J Badler","S Watamaniuk"
"11","S Heinen","S Watamaniuk"
"12","S Heinen","J Badler"
"13","T Collins","T Collins"
"14","J Crawford","J Crawford"
"15","X Yan","A Sajad"
"16","H Wang","A Sajad"
"17","H Wang","X Yan"
"18","J Crawford","A Sajad"
"19","J Crawford","X Yan"
"20","J Crawford","H Wang"
"21","R Engbert","R Engbert"
"22","A Blangero","M Harwood"
"23","M Eimer","A Grubert"
"24","A Hess","J Lewis"
"25","C Bohil","J Lewis"
"26","C Bohil","A Hess"
"27","A Kramer","J Lewis"
"28","A Kramer","A Hess"
"29","A Kramer","C Bohil"
"30","M Neider","J Lewis"
"31","M Neider","A Hess"
"32","M Neider","C Bohil"
"33","M Neider","A Kramer"
"34","J Wolfe","C Wu"
"35","J Flombaum","J Flombaum"
"36","J Faubert","D Tullo"
"37","A Bertone","D Tullo"
"38","A Bertone","J Faubert"
"39","A Khan","E Roudaia"
"40","J Faubert","E Roudaia"
"41","J Faubert","A Khan"
"42","D Sheinberg","D Sheinberg"
"43","L Loschky","R Ringer"
"44","O Kwon","O Kwon"
"45","M Carrasco","R Denison"
"46","Y Yeshurun","M Herzog"
"47","S Ling","S Ling"
"48","A Nobre","N Shalev"
"49","C Olivers","A Loon"
"50","S Yuval-Greenberg","R Denison"
"52","M Carrasco","S Yuval-Greenberg"
"53","D Kravitz","M Kramer"
"54","S Mitroff","M Kramer"
"55","S Mitroff","D Kravitz"
"56","W Warren","W Warren"
"57","W Warren","G Dachner"
"61","H Lu","H Lu"
"62","A Glennerster","A Muryy"
"63","C Rothkopf","H Zhao"
"64","G Swan","L Zhang"
"65","G Swan","G Swan"
"66","J Chen","Z Zhu"
"67","M Landy","Z Zhu"
"68","M Landy","J Chen"
"69","L Li","Z Zhu"
"70","L Li","J Chen"
"71","L Li","M Landy"
"72","J Fan","J Fan"
"73","M Landy","P Mamassian"
"74","J Jehee","S Ling"
"75","J Bang","D Rahnev"
"76","E Santandrea","G Mancuso"
"77","G Plomp","G Mancuso"
"78","G Plomp","E Santandrea"
"79","L Chelazzi","G Mancuso"
"80","L Chelazzi","E Santandrea"
"81","L Chelazzi","G Plomp"
"82","E Brenner","J Smeets"
"83","T Dekker","J Smeets"
"84","T Dekker","E Brenner"
"85","J Serences","S Itthipuripat"
"86","E Merriam","D Heeger"
"87","R Heydt","R Heydt"
"88","F Phillips","F Schmidt"
"89","R Fleming","F Schmidt"
"90","R Fleming","F Phillips"
"91","C Firestone","C Firestone"
"92","P Marlow","B Anderson"
"93","J Lee","K Eo"
"94","Y Kim","K Eo"
"95","Y Kim","J Lee"
"96","A Clarke","A Clarke"
"97","J Matthis","K Muller"
"98","K Bonnen","K Muller"
"99","K Bonnen","J Matthis"
"100","L Cormack","K Muller"
"101","L Cormack","J Matthis"
"102","L Cormack","K Bonnen"
"103","M Hayhoe","K Muller"
"104","M Hayhoe","J Matthis"
"105","M Hayhoe","K Bonnen"
"106","M Hayhoe","L Cormack"
"107","G Caplovitz","K Killebrew"
"108","P Sun","G Sperling"
"109","M Ernst","C Parise"
"110","A Norcia","P Kohler"
"111","J Perrone","J Perrone"
"112","O Collignon","M Rezk"
"113","B Rokers","J Fulvio"
"114","C Yu","L Liu"
"115","B Dosher","Y Zhao"
"116","Z Lu","Y Zhao"
"117","Z Lu","B Dosher"
"118","L Welch","N Matthews"
"119","P Bennett","A Sekuler"
"120","A Seitz","A Seitz"
"121","A Rosenberg","A Rosenberg"
"122","E Mettler","P Kellman"
"123","M Melnick","A Barbot"
"124","M Cavanaugh","A Barbot"
"125","M Cavanaugh","M Melnick"
"126","A Das","A Barbot"
"127","A Das","M Melnick"
"128","A Das","M Cavanaugh"
"129","E Merriam","A Barbot"
"130","E Merriam","M Melnick"
"131","E Merriam","M Cavanaugh"
"132","E Merriam","A Das"
"133","D Heeger","A Barbot"
"134","D Heeger","M Melnick"
"135","D Heeger","M Cavanaugh"
"136","D Heeger","A Das"
"138","K Huxlin","A Barbot"
"139","K Huxlin","M Melnick"
"140","K Huxlin","M Cavanaugh"
"141","K Huxlin","A Das"
"142","K Huxlin","E Merriam"
"143","K Huxlin","D Heeger"
"144","M Ward","E Silson"
"145","C Baker","E Silson"
"146","C Baker","M Ward"
"147","A Ghuman","E Silson"
"148","A Ghuman","M Ward"
"149","A Ghuman","C Baker"
"150","D Pitcher","D Pitcher"
"151","L Strother","M Harrison"
"152","L Strother","Z Zhou"
"153","B Rossion","B Rossion"
"154","C Or","J Liu"
"155","B Rossion","J Liu"
"156","B Rossion","C Or"
"157","N Kanwisher","D Pantazis"
"158","V Goffaux","V Goffaux"
"159","B Conway","D Osher"
"161","I Bülthoff","M Zhao"
"162","M Esterman","J Arizpe"
"163","J DeGutis","J Arizpe"
"164","J DeGutis","M Esterman"
"165","S Scherf","S Scherf"
"166","B Chen","G Shyi"
"167","T Huang","G Shyi"
"168","T Huang","B Chen"
"169","Y Lee","G Shyi"
"170","Y Lee","B Chen"
"171","Y Lee","T Huang"
"172","J Cant","T Roberts"
"173","A Nestor","T Roberts"
"174","A Nestor","J Cant"
"175","G Yovel","G Yovel"
"176","K Grill-Spector","N Davidenko"
"177","K Weiner","N Davidenko"
"178","K Weiner","K Grill-Spector"
"179","B Rossion","X Yan"
"180","M Hill","E Noyes"
"181","C Parde","E Noyes"
"182","C Parde","M Hill"
"183","C Castillo","E Noyes"
"184","C Castillo","M Hill"
"185","C Castillo","C Parde"
"186","A O'Toole","E Noyes"
"187","A O'Toole","M Hill"
"188","A O'Toole","C Parde"
"189","A O'Toole","C Castillo"
"190","F Soto","F Soto"
"191","M Gobbini","M Gobbini"
"192","J Bartlett","J Bartlett"
"193","J Lao","M Ramon"
"194","R Caldara","M Ramon"
"195","R Caldara","J Lao"
"196","I Oruc","M Chen"
"197","S Shevell","K Knoblauch"
"198","J Barton","J Barton"
"199","S Schweinberger","J Kaufmann"
"200","W Li","Z Li"
"201","P Quinn","Z Li"
"202","P Quinn","W Li"
"203","O Pascalis","Z Li"
"204","O Pascalis","W Li"
"205","O Pascalis","P Quinn"
"206","M Plouffe-Demers","C Blais"
"207","Y Zhang","C Blais"
"208","Y Zhang","M Plouffe-Demers"
"209","D Sun","C Blais"
"210","D Sun","M Plouffe-Demers"
"211","D Sun","Y Zhang"
"212","D Fiset","C Blais"
"213","D Fiset","M Plouffe-Demers"
"214","D Fiset","Y Zhang"
"215","D Fiset","D Sun"
"218","A Martinez","R Srinivasan"
"220","S Cormier","M Plouffe-Demers"
"221","S Cormier","D Fiset"
"224","D Sun","S Cormier"
"227","C Blais","S Cormier"
"235","C Qian","J Brascamp"
"236","D Huber","D Huber"
"237","V Gardelle","P Mamassian"
"238","J New","J New"
"239","H Müller","M Conci"
"240","S Chen","M Conci"
"241","S Chen","H Müller"
"242","A Mack","M Erol"
"243","J Clarke","M Erol"
"244","J Clarke","A Mack"
"245","A Mack","A Mack"
"246","N Lavie","N Lavie"
"247","W Boot","N Roque"
"248","K Clark","K Clark"
"250","R Caldara","M Plouffe-Demers"
"251","R Caldara","D Fiset"
"254","C Blais","R Caldara"
"255","L Shalev","L Shalev"
"256","J Jacob","J Jacob"
"257","K Arnell","K Arnell"
"258","M Garner","T Menneer"
"259","N Donnelly","T Menneer"
"260","N Donnelly","M Garner"
"261","J Wang","J Wang"
"262","Y Luo","J Zhao"
"263","Y Lin","S Shimojo"
"264","Y Sun","R Sekuler"
"265","J Fiser","J Fiser"
"266","K Yokosawa","K Yokosawa"
"267","S Prime","S Prime"
"268","D Alais","D Alais"
"270","C Kim","C Kim"
"271","S Suzuki","H Meyerhoff"
"272","L Garrido","N Kriegeskorte"
"273","E Barenholtz","E Barenholtz"
"274","M McBeath","M McBeath"
"276","N Davidenko","N Davidenko"
"277","A Nobre","S Boettcher"
"278","A Harel","A Harel"
"279","T Sweeny","T Sweeny"
"280","T Emmanouil","T Emmanouil"
"281","M Barnett","J Gomez"
"282","K Grill-Spector","J Gomez"
"283","K Grill-Spector","M Barnett"
"284","R Cichy","R Cichy"
"285","J Fischer","S Courtney"
"286","R Cichy","D Kaiser"
"287","Y Murai","M Manassi"
"288","D Whitney","M Manassi"
"289","D Whitney","Y Murai"
"290","H Beeck","H Beeck"
"291","H Beeck","J Ritchie"
"292","K Federmeier","K Federmeier"
"293","Y Yotsumoto","Y Yotsumoto"
"294","F Baumgartner","L Wang"
"295","M Hanke","L Wang"
"296","M Hanke","F Baumgartner"
"297","S Pollmann","L Wang"
"298","S Pollmann","F Baumgartner"
"299","S Pollmann","M Hanke"
"300","Y Xu","R Wang"
"301","S Arun","S Arun"
"302","A Lee","S Ling"
"303","A Nestor","S Ling"
"304","A Nestor","A Lee"
"305","Z Lu","T Shepard"
"306","D Yu","T Shepard"
"307","D Yu","Z Lu"
"309","K James","K James"
"316","J Palmer","A White"
"317","G Boynton","A White"
"318","G Boynton","J Palmer"
