"","from","to"
"1","M Sereno","H Neville"
"2","S Hillyard","H Neville"
"3","S Hillyard","M Sereno"
"4","M Mataric","M Mataric"
"5","S Giszter","S Giszter"
"7","A Moore","A Moore"
"8","S Thrun","S Thrun"
"9","G Lakoff","G Fauconnier"
"10","R Langacker","G Fauconnier"
"11","R Langacker","G Lakoff"
"12","D Ackley","J Batali"
"13","B Burns","B Burns"
"14","K Dunbar","L Baker"
"15","R Vollmeyer","B Burns"
"16","D Klahr","C Schunn"
"17","J Beskin","D Wolf"
"18","J McAuley","J McAuley"
"19","M Jones","M Jones"
"20","B Baird","B Baird"
"21","R Port","R Port"
"22","E Saltzman","E Saltzman"
"23","K Eberhard","M Spivey-Knowlton"
"24","J McClelland","J McClelland"
"25","P Lennie","P Lennie"
"26","R Jacobs","R Jacobs"
"27","D Massaro","D Massaro"
"28","G Dell","G Dell"
"29","J Tooby","D Cummins"
"30","C Allen","D Cummins"
"31","C Allen","J Tooby"
"32","J Tooby","J Tooby"
"33","D Cummins","D Cummins"
"34","C Allen","C Allen"
"35","P Suppes","J Epelboim"
"36","J McGowan","E Kowler"
"37","D Bahcall","E Kowler"
"38","D Bahcall","J McGowan"
"39","D Melcher","E Kowler"
"40","D Melcher","J McGowan"
"41","D Melcher","D Bahcall"
"42","C Araujo","E Kowler"
"43","C Araujo","J McGowan"
"44","C Araujo","D Bahcall"
"45","C Araujo","D Melcher"
"46","R Rao","G Zelinsky"
"47","M Hayhoe","G Zelinsky"
"48","M Hayhoe","R Rao"
"49","D Ballard","G Zelinsky"
"50","D Ballard","R Rao"
"51","D Ballard","M Hayhoe"
"53","T Shultz","K Plunkett"
"54","D Mareschal","D Mareschal"
"55","T Shultz","T Shultz"
"56","C Ling","C Ling"
"57","M Giunti","M Giunti"
"58","M Byrne","T Griffith"
"59","R Hadley","R Hadley"
"60","R Stainton","A Brook"
"61","G Strube","H Paredes-Frigolett"
"62","A Ram","K Moorman"
"63","W Kintsch","D McNamara"
"64","M Britt","P Foltz"
"65","C Perfetti","P Foltz"
"66","C Perfetti","M Britt"
"67","C Verspoor","C Verspoor"
"68","T Sejnowski","I Ginzburg"
