"","from","to"
"1","N Chater","M Abu-Bakar"
"2","J Bailenson.","W Ahn"
"3","B Gordon","W Ahn"
"4","B Gordon","J Bailenson."
"5","M Bucciarelli","B Bara"
"6","P Johnson-Laird","B Bara"
"7","P Johnson-Laird","M Bucciarelli"
"8","V Lombardo","B Bara"
"9","V Lombardo","M Bucciarelli"
"10","V Lombardo","P Johnson-Laird"
"11","S Helmreich","J Barnden"
"12","E Iverson","J Barnden"
"13","E Iverson","S Helmreich"
"14","G Stein","J Barnden"
"15","G Stein","S Helmreich"
"16","G Stein","E Iverson"
"17","J Batali","J Batali"
"18","S Kedar","B Bell"
"19","R Bareiss","B Bell"
"20","R Bareiss","S Kedar"
"21","P Pirolli","K Bielaczyc"
"22","A Brown","K Bielaczyc"
"23","A Brown","P Pirolli"
"24","E Bates","A Blackwell"
"25","B Ross","S Blessing"
"26","B Franks","N Braisby"
"27","J Hampton","N Braisby"
"28","J Hampton","B Franks"
"29","C Chinn","W Brewer"
"30","A Brook","A Brook"
"31","J Bullinaria","J Bullinaria"
"32","T Shultz","D Buckingham"
"34","K Lund","C Burgess"
"35","M Tanenhaus","C Burgess"
"36","M Hoffman","C Burgess"
"37","M Hoffman","M Tanenhaus"
"38","K Holyoak","B Burns"
"39","M Burstein","M Burstein"
"40","H Johnson","J Bush"
"41","C Seifert","J Bush"
"42","C Seifert","H Johnson"
"43","M Byrne","M Byrne"
"44","A Tasso","R Byrne"
"45","A Cabrera","A Cabrera"
"46","N Chater","P Shillcock"
"47","J Levy","P Shillcock"
"48","J Levy","N Chater"
"49","R Alterman","T Carpenter"
"50","M Brent","T Cartwright"
"51","M Stone","J Cassell"
"52","B Prevost","J Cassell"
"53","B Prevost","M Stone"
"54","B Achorn","J Cassell"
"55","B Achorn","M Stone"
"56","B Achorn","B Prevost"
"57","M Steedman","J Cassell"
"58","M Steedman","M Stone"
"59","M Steedman","B Prevost"
"60","M Steedman","B Achorn"
"61","N Badler","J Cassell"
"62","N Badler","M Stone"
"63","N Badler","B Prevost"
"64","N Badler","B Achorn"
"65","N Badler","M Steedman"
"66","C Pelachaud","J Cassell"
"67","C Pelachaud","M Stone"
"68","C Pelachaud","B Prevost"
"69","C Pelachaud","B Achorn"
"70","C Pelachaud","M Steedman"
"71","C Pelachaud","N Badler"
"72","R Catrambone","R Catrambone"
"73","S Shapiro","H Chalupsky"
"74","P Cheng","P Cheng"
"75","C Chinn","C Chinn"
"76","J Gutwill","M Chiu"
"77","T Clausner","T Clausner"
"78","R Bareiss","C Cleary"
"79","J Clement","J Clement"
"80","P Sternon","A Content"
"81","J Anderson","A Corbett"
"82","V Carver","A Corbett"
"83","V Carver","J Anderson"
"84","S Brancolini","A Corbett"
"85","S Brancolini","J Anderson"
"86","S Brancolini","V Carver"
"87","N Flor","S Coulson"
"88","M Cox","M Cox"
"89","A Ram","M Cox"
"90","K Stenning","R Cox"
"91","J Oberlander","R Cox"
"92","J Oberlander","K Stenning"
"93","S Dennis","S Dennis"
"94","K Tookey","S Derry"
"95","Y Sohn","S Doane"
"96","D Adams","S Doane"
"97","D Adams","Y Sohn"
"98","D McNamara","S Doane"
"99","D McNamara","Y Sohn"
"100","D McNamara","D Adams"
"101","F Pelletier","R Elio"
"102","J Greeno","R Engle"
"103","E Kowler","J Collewijn"
"104","C Erkelens","J Collewijn"
"105","C Erkelens","E Kowler"
"106","M Edwards","J Collewijn"
"107","M Edwards","E Kowler"
"108","M Edwards","C Erkelens"
"109","Z Pizlo","J Collewijn"
"110","Z Pizlo","E Kowler"
"111","Z Pizlo","C Erkelens"
"112","Z Pizlo","M Edwards"
"113","R Steinman","J Collewijn"
"114","R Steinman","E Kowler"
"115","R Steinman","C Erkelens"
"116","R Steinman","M Edwards"
"117","R Steinman","Z Pizlo"
"118","K Schlossberg","J Faries"
"119","R Ferguson","R Ferguson"
"120","E Ferstl","E Ferstl"
"121","E FerstI","E FerstI"
"122","N Chater","S Finch"
"123","M Fischer","M Fischer"
"124","R Ferguson","K Forbus"
"125","D Gentner","K Forbus"
"126","D Gentner","R Ferguson"
"127","K Plunkett","N Forrester"
"128","D Leake","S Fox"
"129","S Grossberg","G Francis"
"130","R French","R French"
"131","W Marslen-Wilson","G Gaskell"
"132","K Holyoak","M Gattis"
"133","B Bowdle","D Gentner"
"134","J Loomis","E Gibson"
"135","W Richards","S Gilbert"
"136","W Daelemans","S Gillis"
"137","G Durieux","S Gillis"
"138","G Durieux","W Daelemans"
"139","J Glasgow","J Glasgow"
