"","id","label"
"1",1,"L Barsalou"
"2",2,"A Glenberg"
"3",3,"B MacWhinney"
"4",4,"N Newton"
"5",5,"A Brook"
"6",6,"J Kolodner"
"7",7,"P Thagard"
"8",8,"M Ranney"
"9",9,"S Nuallain"
"10",10,"X Chen"
"11",11,"P Barker"
"12",12,"H Andersen"
"13",13,"N Nersessian"
"14",14,"T Nickles"
"15",15,"C Frederiksen"
"16",16,"J Donin"
"17",17,"S Lajoie"
"18",18,"T Koschmann"
"19",19,"R Hadley"
"20",20,"J Elman"
"21",21,"G Marcus"
"22",22,"R Hall"
"23",23,"C Goodwin"
"24",24,"R Stevens"
"25",25,"S Star"
"26",26,"G Hatfield"
"27",27,"B Keeley"
"28",28,"W Hirstein"
"29",29,"C Kalish"
"30",30,"W Ahn"
"31",31,"M Pazzani"
"32",32,"D Cummins"
"33",33,"D Kaufman"
"34",34,"S Ohlsson"
"35",35,"B Reiser"
"36",36,"L Shapiro"
"37",37,"J McKendree"
"38",38,"J Gee"
"39",39,"K Stenning"
"40",40,"J Voss"
"41",41,"C Schunn"
"42",42,"S Epstein"
"43",43,"E Aaron"
"44",44,"M Spivey"
"45",45,"J Adrian"
"46",46,"M Perez-Abolo"
"47",47,"A Pineiro"
"48",48,"A Espinet"
"49",49,"B Nosek"
"50",50,"E Alberdi"
"51",51,"R Logie"
"52",52,"M Alibali"
"53",53,"N McNeil"
"54",54,"M Perrott"
"55",55,"E Altmann"
"56",56,"W Gray"
"57",57,"K Anderson"
"58",58,"J Milostan"
"59",59,"G Cottrell"
"60",60,"E Andonova"
"61",61,"A Archambault"
"62",62,"P Schyns"
"63",63,"C Audet"
"64",64,"C Burgess"
"65",65,"R Azevedo"
"66",66,"D Bailey"
"67",67,"N Chang"
"68",68,"J Feldman"
"69",69,"S Narayanan"
"70",70,"T Bailey"
"71",71,"U Hahn"
"72",72,"E Pothos"
"73",73,"K Balakrishnan"
"74",74,"R Bhatt"
"75",75,"V Honavar"
"76",76,"E Bard"
"77",77,"R Lickley"
"78",78,"J Barnden"
"79",79,"E Batchelder"
"80",80,"H Bateman"
"81",81,"S Goldman"
"82",82,"J Newbrough"
"83",83,"J Bransford"
"84",84,"M Becker"
"85",85,"S Beller"
"86",86,"H Spada"
"87",87,"B Best"
"88",88,"L Reder"
"89",89,"M Bickhard"
"90",90,"D Billman"
"91",91,"M Krych"
"92",92,"F Bosco"
"93",93,"M Tirassa"
"94",94,"M Boyer"
"95",95,"A Destrebecqz"
"96",96,"A Cleeremans"
"97",97,"S Bringsjord"
"98",98,"R Noel"
"99",99,"E Bringsjord"
"100",100,"C Brouard"
"101",101,"B Bouchon-Meunier"
"102",102,"C Tijus"
"103",103,"P Conley"
"104",104,"B Burns"
"105",105,"R Vollmeyer"
"106",106,"A Cabrera"
"107",107,"S Caillies"
"108",108,"G Denhiere"
"109",109,"W Kintsch"
"110",110,"R Campbell"
"111",111,"R Catrambone"
"112",112,"C Chambers"
"113",113,"M Tanenhaus"
"114",114,"K Eberhard"
"115",115,"G Carlson"
"116",116,"H Filip"
"117",117,"D Gildea"
"118",118,"P Cheng"
"119",119,"D Clouse"
"120",120,"E Colunga"
"121",121,"M Gasser"
"122",122,"R Cooper"
"123",123,"M Cornuejols"
"124",124,"J Rossi"
"125",125,"K Coventry"
"126",126,"M Prat-Sala"
"127",127,"H Dahl"
"128",128,"V Teller"
"129",129,"M Dailey"
"130",130,"T Busey"
"131",131,"S Darrington"
"132",132,"T Lingstadt"
"133",133,"M Ramscar"
"134",134,"M Davis"
"135",135,"P Foltz"
"136",136,"A Demetriou"
"137",137,"S Dennis"
"138",138,"M Humphreys"
"139",139,"S Deutsch"
"140",140,"L DuRussel"
"141",141,"S Derry"
"142",142,"R Elio"
"143",143,"R Engle"
"144",144,"M Erickson"
"145",145,"Z Estes"
"146",146,"S Glucksberg"
"147",147,"A Feeney"
"148",148,"S Handley"
"149",149,"M Feist"
"150",150,"D Gentner"
"151",151,"L Firoiu"
"152",152,"T Oates"
"153",153,"P Cohen"
"154",154,"M Freed"
"155",155,"R Remington"
"156",156,"R Freedman"
"157",157,"Y Zhou"
"158",158,"M Glass"
"159",159,"J Kim"
"160",160,"M Evens"
"161",161,"R French"
"162",162,"D Mareschal"
"163",163,"L Frey"
"164",164,"D Fisher"
"165",165,"G Geminiani"
"166",166,"M Bucciarelli"
"167",167,"F Giunchiglia"
"168",168,"P Bouquet"
"169",169,"F Gobet"
"170",170,"N Goldblum"
"171",171,"D Goldstein"
"172",172,"D Golumbia"
"173",173,"D Gordon"
"174",174,"D Subramanian"
"175",175,"M Haught"
"176",176,"R Kobayashi"
"177",177,"S Marshall"
"178",178,"P Gordon"
"179",179,"R Hendrick"
"180",180,"F Grasso"
"181",181,"J Greeno"
"182",182,"G Benke"
"183",183,"C Lachapelle"
"184",184,"M Wiebe"
"185",185,"T Griffith"
"186",186,"J Murdock"
"187",187,"G Haddock"
"188",188,"J Priest"
"189",189,"K Harbison"
"190",190,"J Silva"
"191",191,"D Arnold"
"192",192,"V Cardei"
"193",193,"N Chater"
"194",194,"R Nakisa"
"195",195,"M Holmes"
"196",196,"D Kemp"
"197",197,"L Palmer"
"198",198,"S Hartley"
"199",199,"T Prescott"
"200",200,"R Nicolson"
"201",201,"N Heffernan"
"202",202,"K Koedinger"
"203",203,"G Houghton"
"204",204,"M Zorzi"
"205",205,"P Howard-Jones"
"206",206,"D Huber"
"207",207,"R Hunt"
"208",208,"R Aslin"
"209",209,"W Iba"
"210",210,"M Gervasio"
"211",211,"P Langley"
"212",212,"S Sage"
"213",213,"D Ingram"
"214",214,"C Pye"
"215",215,"M Jefferies"
"216",216,"W Yeap"
"217",217,"T Johnson"
"218",218,"H Wang"
"219",219,"J Zhang"
"220",220,"G Jones"
"221",221,"M Martin"
"222",222,"F Ritter"
"223",223,"P Juola"
"224",224,"K Plunkett"
"225",225,"M Klenner"
"226",226,"T Hanneforth"
"227",227,"M Knauff"
"228",228,"R Rauh"
"229",229,"C Schlieder"
"230",230,"G Strube"
"231",231,"D Koehler"
"232",232,"E Kurz"
"233",233,"A Laakso"
"234",234,"Y Lallement"
"235",235,"B John"
"236",236,"C Ling"
"237",237,"K Livesay"
"238",238,"J Loewenstein"
"239",239,"V Lombardo"
"240",240,"L Lesmo"
"241",241,"L Ferraris"
"242",242,"C Seidenari"
"243",243,"J Loose"
"244",244,"T Loucas"
"245",245,"W Marslen-Wilson"
"246",246,"B Love"
"247",247,"D Medin"
"248",248,"J Magnuson"
"249",249,"D Bensinger"
"250",250,"M Hayhoe"
"251",251,"D Ballard"
"252",252,"D Dahan"
"253",253,"P Allopenna"
"254",254,"B Mak"
"255",255,"A Vera"
"256",256,"A Masnick"
"257",257,"S Barnett"
"258",258,"S Thompson"
"259",259,"B Koslowski"
"260",260,"R McConachy"
"261",261,"K Korb"
"262",262,"I Zukerman"
"263",263,"S McDonald"
"264",264,"W Lowe"
"265",265,"K McRae"
"266",266,"G Cree"
"267",267,"C McNorgan"
"268",268,"S McRoy"
"269",269,"S Ali"
"270",270,"S Haller"
"271",271,"D Mickey"
"272",272,"R Ross"
"273",273,"J Stoll"
"274",274,"C Chiang"
"275",275,"H Sindberg"
"276",276,"D Dunlop"
"277",277,"G Miles"
"278",278,"S Payne"
"279",279,"T Baguley"
"280",280,"T Mintz"
"281",281,"L Gleitman"
"282",282,"M Mitchell"
"283",283,"P Monaghan"
"284",284,"J Montoya"
"285",285,"S Read"
"286",286,"A Morris"
"287",287,"C Harris"
"288",288,"L Moxey"
"289",289,"A Sanford"
"290",290,"M Simina"
"291",291,"J Davies"
"292",292,"G Shippey"
"293",293,"D Jurafsky"
"294",294,"A Newberger"
"295",295,"J Gelfand"
"296",296,"A Nhouyvanisvong"
"297",297,"I Katz"
"298",298,"A Nicholson"
"299",299,"L Zukerman"
"300",300,"C Oliver"
"301",301,"A Halpern"
"302",302,"C Ohnesorge"
"303",303,"C Bierman"
"304",304,"M Olsen"
"305",305,"A Weinberg"
"306",306,"J Lilly"
"307",307,"J Drury"
"308",308,"Y Oshima-Takane"
"309",309,"M Takane"
"310",310,"Y Takane"
"311",311,"C Padgett"
"312",312,"L Pasto"
"313",313,"P Mercier"
"314",314,"D Pautler"
"315",315,"A Quilici"
"316",316,"D Penner"
"317",317,"M Peters"
"318",318,"R Ploetzner"
"319",319,"C Kneser"
"320",320,"H Pain"
"321",321,"J Lee"
"322",322,"B Randall"
"323",323,"T Rapus"
"324",324,"I Blanchette"
"325",325,"L Baker"
"326",326,"M Dama"
"327",327,"K Dunbar"
"328",328,"M Redford"
"329",329,"C Chen"
"330",330,"R Miikkulainen"
"331",331,"T Regier"
"332",332,"B Rehder"
"333",333,"R Hastie"
"334",334,"A Robins"
"335",335,"P Rudling"
"336",336,"K Saito"
"337",337,"D Rumelhart"
"338",338,"K Shigemasu"
"339",339,"W Sakas"
"340",340,"J Fodor"
"341",341,"D Salvucci"
"342",342,"J Anderson"
"343",343,"S Schnall"
"344",344,"M Gattis"
"345",345,"D Schwartz"
"346",346,"T Seymour"
"347",347,"C Seifert"
"348",348,"R Shillcock"
"349",349,"A Shimojima"
"350",350,"H Koiso"
"351",351,"M Swerts"
"352",352,"Y Katagiri"
"353",353,"T Shultz"
"354",354,"M Lepper"
"355",355,"M Shum"
"356",356,"J Bailenson"
"357",357,"S Hwang"
"358",358,"L Piland"
"359",359,"D Uttal"
"360",360,"C Sifonis"
"361",361,"T Ward"
"362",362,"A Ram"
"363",363,"M Gorman"
"364",364,"S Sirois"
"365",365,"R Sison"
"366",366,"M Numao"
"367",367,"M Shimura"
"368",368,"P Slezak"
"369",369,"V Sloutsky"
"370",370,"A Rader"
"371",371,"B Morris"
"372",372,"S Smith"
"373",373,"D Tindell"
"374",374,"J Sougne"
"375",375,"M John"
"376",376,"S Staab"
"377",377,"R Stevenson"
"378",378,"B Geddes"
"379",379,"J Sumner"
"380",380,"B Travis"
"381",381,"A Stewart"
"382",382,"M Pickering"
"383",383,"R Sun"
"384",384,"E Merrill"
"385",385,"T Peterson"
"386",386,"M Suwa"
"387",387,"J Gero"
"388",388,"T Purcell"
"389",389,"Y Tada"
"390",390,"E Weber"
"391",391,"J Thibaut"
"392",392,"F Lemaire"
"393",393,"J Quadri"
"394",394,"M Thomas"
"395",395,"S Trickett"
"396",396,"J Trafton"
"397",397,"P Raymond"
"398",398,"K Ueda"
"399",399,"S Nagano"
"400",400,"F Vallee-Tourangeau"
"401",401,"M New"
"402",402,"K VanLehn"
"403",403,"S Siler"
"404",404,"C Murray"
"405",405,"W Bagget"
"406",406,"F Rheinberg"
"407",407,"S Vosniadou"
"408",408,"C Dimitrakopoulou"
"409",409,"M Champesme"
"410",410,"D Kayser"
"411",411,"M Waldmann"
"412",412,"L Martignon"
"413",413,"J Wallace"
"414",414,"K Bluff"
"415",415,"D Washburn"
"416",416,"R Wong"
"417",417,"G Westermann"
"418",418,"K Wiemer-Hastings"
"419",419,"A Graesser"
"420",420,"P Wiemer-Hastings"
"421",421,"S Wortham"
"422",422,"M Wu"
"423",423,"K Yamamoto"
"424",424,"F Keil"
"425",425,"Y Yang"
"426",426,"P Johnson-Laird"
"427",427,"P Yule"
"428",428,"J Fox"
"429",429,"M Zamani"
"430",430,"J Richard"
"431",431,"D Heath"
"432",432,"C Allen"
"433",433,"P Amrhein"
"434",434,"L Fulcher"
"435",435,"M Palmer"
"436",436,"W Miller"
"437",437,"J Andrews"
"438",438,"K Livingston"
"439",439,"D Shabalala"
"440",440,"S Anthony"
"441",441,"N Austin"
"442",442,"A Bachmann"
"443",443,"D Barr"
"444",444,"J Blatter"
"445",445,"A Breuleux"
"446",446,"J Bock"
"447",447,"C Clilton"
"448",448,"L Boroditsky"
"449",449,"J Boyland"
"450",450,"H Branigan"
"451",451,"M Carbonaro"
"452",452,"T Carolan"
"453",453,"D Evans"
"454",454,"R Chong"
"455",455,"J Chuah"
"456",456,"N Cowan"
"457",457,"M Cowart"
"458",458,"M Crockett"
"459",459,"R McArthur"
"460",460,"P Bruza"
"461",461,"R Desai"
"462",462,"F Dick"
"463",463,"E Bates"
"464",464,"E Freedman"
"465",465,"C Abeare"
"466",466,"R Kender"
"467",467,"R Vernagus"
"468",468,"T Wrobel"
"469",469,"J Frenster"
"470",470,"V Gunn"
"471",471,"P Gontijo"
"472",472,"M Kelly"
"473",473,"F Gosselin"
"474",474,"S Graham"
"475",475,"S Gulgoz"
"476",476,"O Yedekcioglu"
"477",477,"J Hambrick"
"478",478,"K Hiraki"
"479",479,"A Sashima"
"480",480,"S Phillips"
"481",481,"E Hoenkamp"
"482",482,"T Hubbard"
"483",483,"D Janetzko"
"484",484,"R Kachelski"
"485",485,"V Kempe"
"486",486,"P Brooks"
"487",487,"J Kruschke"
"488",488,"N Blair"
"489",489,"M Johansen"
"490",490,"T Kubose"
"491",491,"K Holyoak"
"492",492,"J Hummel"
"493",493,"K Kurtz"
"494",494,"K Larson"
"495",495,"P Gough"
"496",496,"J Legros"
"497",497,"B Pudelko"
"498",498,"W Levy"
"499",499,"B Luka"
"500",500,"L Macedo"
"501",501,"A Cardoso"
"502",502,"A Majid"
"503",503,"A Malter"
"504",504,"C Manning"
"505",505,"M Matessa"
"506",506,"D McNamara"
"507",507,"P Meyerson"
"508",508,"J Mikhail"
"509",509,"C Sorrentino"
"510",510,"E Spelke"
"511",511,"C Morrison"
"512",512,"C Lee"
"513",513,"J Newkirk"
"514",514,"P Johnson"
"515",515,"L Peters"
"516",516,"D Messer"
"517",517,"P Smith"
"518",518,"N Davey"
"519",519,"C Prince"
"520",520,"J Proffitt"
"521",521,"L Liu"
"522",522,"J Richardson"
"523",523,"A Howes"
"524",524,"D Robertson"
"525",525,"P Rodriguez"
"526",526,"S Sand"
"527",527,"A Moxey"
"528",528,"E Dawydiak"
"529",529,"F Schilder"
"530",530,"N Shingaki"
"531",531,"H Nojima"
"532",532,"D Silverman"
"533",533,"M Swiderek"
"534",534,"H Tappe"
"535",535,"C Habel"
"536",536,"P Therouanne"
"537",537,"T Rosenblum"
"538",538,"R Tweney"
"539",539,"S Duncan"
"540",540,"M Ippolito"
"541",541,"Y Tzeng"
"542",542,"P Broek"
"543",543,"M Young"
"544",544,"M Upal"
"545",545,"I Urdapilleta"
"546",546,"J Bernard"
"547",547,"H Rijn"
"548",548,"K Wagner"
"549",549,"R West"
"550",550,"C Woodson"
"551",551,"F Xu"
