"","from","to"
"1","D Touretzky","D Touretzky"
"2","Y Miyata","Y Miyata"
"3","J Elman","J Elman"
"4","M Seidenberg","P Hetherington"
"5","T Gelder","T Gelder"
"6","E Hutchins","C Selfert"
"7","J Busemeyer","I Myung"
"8","F Tsung","G Cottreli"
"9","R Mathews","B Druhan"
"10","B Dorr","B Dorr"
"11","M Gasser","M Gasser"
"12","M Brent","M Brent"
"13","L Birnbaum","L Birnbaum"
"14","W Clancey","W Clancey"
"15","R Hadley","R Hadley"
"16","L Acker","A Souther"
"17","J Lester","A Souther"
"18","J Lester","L Acker"
"19","B Porter","A Souther"
"20","B Porter","L Acker"
"21","B Porter","J Lester"
"22","D Gentner","R Goldstone"
"23","D Medin","R Goldstone"
"24","D Medin","D Gentner"
"25","L Branting","L Branting"
"26","M Redmond","M Redmond"
"27","J Kolodner","J Kolodner"
"28","C Owens","C Owens"
"29","S Lytinen","C Moon"
"30","K Piunkett","V Marchman"
"32","G Dell","R Peterson"
"33","P O'Seaghdha","R Peterson"
"34","P O'Seaghdha","G Dell"
"35","S Weber","S Weber"
"36","J Lundell","J Miyamoto"
"37","S Tu","J Miyamoto"
"38","S Tu","J Lundell"
"39","G Harman","G Harman"
"40","P Zelazo","T Shultz"
"41","D Engelberg","T Shultz"
"42","D Engelberg","P Zelazo"
"43","P Cohen","C Loiselle"
"44","M Almeida","M Almeida"
"45","D Behrend","D Behrend"
"46","D Forster","D Forster"
"47","P Nielsen","P Nielsen"
"48","J Larkin","S Casner"
"49","D Navinchandra","K Sycara"
"50","C Chan","C Chan"
"51","E Ephrati","S Kraus"
"52","D Lehmann","S Kraus"
"53","D Lehmann","E Ephrati"
"54","J Metcalfe","J Metcalfe"
"55","D Medin","W Ahn"
"56","M Hee","M Gluck"
"57","G Bower","M Gluck"
"58","G Bower","M Hee"
"59","D Meyer","K Koh"
"60","D Gentner","K Forbus"
"61","C Palmer","C Palmer"
"62","K Sanders","K Sanders"
"63","W Rapaport","R Srihari"
"64","L Levin","H Tomabechi"
"65","P Smolensky","O Brousse"
"66","S Letovsky","P Anandan"
"67","E Mjolsness","P Anandan"
"68","E Mjolsness","S Letovsky"
"69","L Shastri","V Ajjanagadde"
"70","S Vosniadou","S Vosniadou"
"71","L Resnick","N Nersessian"
"72","R Lindsay","R Lindsay"
"73","K Dunbar","K Dunbar"
"74","K VanLehn","K VanLehn"
"75","J Anderson","K Koedinger"
"76","K Bielaczyc","P Pirolli"
"77","W Kintsch","S Doane"
"78","P Polson","S Doane"
"79","P Polson","W Kintsch"
"80","N Sharkey","A Sharkey"
"81","C Martin","C Martin"
"82","T Bever","D Townsend"
"83","D Leake","D Leake"
"84","I Zukerman","I Zukerman"
"85","A Newell","T Polk"
"86","R Lewis","T Polk"
"87","R Lewis","A Newell"
"91","A Newell","D Ruiz"
"92","D McNulty","D Aha"
"93","D Mazmanian","A Baker"
"94","G Denhiere","S Baudet"
"95","W Bechtel","W Bechtel"
"96","T Breen","T Breen"
"97","G Brown","G Brown"
"98","Y Chauvin","Y Chauvin"
"99","K Dahlgren","K Dahlgren"
"100","J Dinsmore","J Dinsmore"
"101","R Feifer","R Feifer"
"102","D Frisch","D Frisch"
"103","D Hemphill","A Graesser"
"104","L Brainerd","A Graesser"
"105","L Brainerd","D Hemphill"
"106","L Gugerty","L Gugerty"
"107","J Elman","C Harris"
"108","J Hodges","J Hodges"
"109","E Hoenkamp","E Hoenkamp"
"110","S Levine","H Horstmann"
"111","K McCoy","E Hovy"
"112","S Jackson","S Jackson"
"113","B Katz","B Katz"
"114","K Faisal","S Kwasny"
"115","J Hodges","T Lange"
"116","M Fuenmayor","T Lange"
"117","M Fuenmayor","J Hodges"
"118","L Belyaev","T Lange"
"119","L Belyaev","J Hodges"
"120","L Belyaev","M Fuenmayor"
"121","M Dyer","T Lange"
"122","M Flowers","G Lee"
"123","M Dyer","G Lee"
"124","M Dyer","M Flowers"
"125","N Miyake","J Levin"
"126","M Waugh","J Levin"
"127","M Waugh","N Miyake"
"128","P Cheng","Y Lien"
"129","S Hale","S Lima"
"130","J Myerson","S Lima"
"131","J Myerson","S Hale"
"132","E Johnson","B Malt"
"133","K Hammond","M Marks"
"134","T Converse","M Marks"
"135","T Converse","K Hammond"
"136","M Masson","M Masson"
"137","D Hofstadter","M Mitchell"
"138","S Hirtle","P Munro"
"139","D Newman","D Newman"
"140","S Morris","P O'Rorke"
"141","D Schulenburg","P O'Rorke"
"142","D Schulenburg","S Morris"
"143","H Parunak","H Parunak"
"144","J Roach","R Pascale"
"145","D Schulenburg","M Pazzani"
"146","S Anderson","R Port"
"147","J Reeves","J Reeves"
"148","F Fallside","T Robinson"
"149","R Beiew","D Rose"
"150","L Guentert","R Schweickert"
"151","L Hersberger","R Schweickert"
"152","L Hersberger","L Guentert"
"153","N Sharkey","N Sharkey"
"154","Y Takashima","H Shimazu"
"155","J Shrager","J Shrager"
"156","D Fisher","J Silber"
"157","K Forbus","G Skorstad"
"158","J Spohrer","J Spohrer"
"159","A Slolcke","A Slolcke"
"160","R Sun","R Sun"
"161","Z Pylyshyn","L Trick"
"162","R Cullingford","E Turner"
"163","R Turner","R Turner"
"164","T Shultz","J Vybihal"
"165","N Ward","N Ward"
"166","S Wermter","S Wermter"
"167","B White","B White"
"168","E Wisniewski","E Wisniewski"
"169","B Horster","D Wu"
