"","from","to"
"1","N Dahlback","N Dahlback"
"2","D Rumelhart","R Golden"
"3","C McMahen","A Graesser"
"4","B Johnson","A Graesser"
"5","B Johnson","C McMahen"
"6","R Kreuz","R Roberts"
"7","M John","M John"
"8","J Gennari","K Hiraki"
"9","Y Yamamoto","K Hiraki"
"10","Y Yamamoto","J Gennari"
"11","Y Anzai","K Hiraki"
"12","Y Anzai","J Gennari"
"13","Y Anzai","Y Yamamoto"
"14","T loerger","T loerger"
"15","J Tsotsos","N Lobo"
"16","J Glasgow","D Papadias"
"17","P Slezak","P Slezak"
"18","G Brown","R Loosemore"
"19","F Watson","R Loosemore"
"20","F Watson","G Brown"
"21","R Dale","J Oberlander"
"22","T Shallice","D Plaut"
"23","M Sereno","M Sereno"
"24","S Small","S Small"
"25","M Brand","M Brand"
"26","K Hammond","T Converse"
"27","B Krulwich","B Krulwich"
"28","P Maes","P Maes"
"29","A Patalano","C Seifert"
"30","J Greer","S Bhuiyan"
"31","G McCalla","S Bhuiyan"
"32","G McCalla","J Greer"
"33","A Collins","M Burstein"
"34","M Freed","M Freed"
"35","R Jones","K VanLehn"
"36","M Chi","K VanLehn"
"37","M Chi","R Jones"
"38","A Goer","A Goer"
"39","C Seifert","K Hammond"
"40","E Jones","E Jones"
"41","A Kass","A Kass"
"42","C Owens","C Owens"
"43","R French","R French"
"44","J Shrager","D Jordan"
"45","J McClelland","L Nystrom"
"46","T Regier","T Regier"
"47","G Murphy","P Schyns"
"48","W Ahn","W Ahn"
"49","R Siegler","N Brown"
"50","A Cleeremans","M Kushner"
"51","A Reber","M Kushner"
"52","A Reber","A Cleeremans"
"53","J Greeno","J Moore"
"54","J Anderson","J Anderson"
"55","P Tidwell","B Britton"
"56","J Holbrook","K Eiselt"
"57","U Fischer","U Fischer"
"58","S Lytinen","P Hastings"
"59","R Lindsay","P Hastings"
"60","R Lindsay","S Lytinen"
"61","L Stowe","L Stowe"
"62","R Goldstone","R Goldstone"
"63","P Elia","M Hadzikadic"
"64","T Ledgeway","M Keane"
"65","S Duff","M Keane"
"66","S Duff","T Ledgeway"
"67","J Kruschke","J Kruschke"
"68","D Gentner","A Markman"
"69","S Omohundro","S Ahmad"
"70","J Feldman","J Feldman"
"71","J Theios","R Kachelski"
"72","G Provan","R Rensink"
"73","R Ward","R Ward"
"74","G Cottrell","B Bartell"
"75","J Elman","B Bartell"
"76","J Elman","G Cottrell"
"77","K Plunkett","G Cottrell"
"78","D Touretzky","P Gupta"
"79","J Levy","R Shillcock"
"80","N Chater","R Shillcock"
"81","N Chater","J Levy"
"82","W Wong","W Wong"
"83","R Catrambone","R Catrambone"
"85","J Allen","P Langley"
"86","S Ohisson","S Ohisson"
"87","J Anderson","Q Wu"
"88","S Kraus","M Harris"
"89","J Wilkenfeld","M Harris"
"90","J Wilkenfeld","S Kraus"
"91","E Blake","M Harris"
"92","E Blake","S Kraus"
"93","E Blake","J Wilkenfeld"
"94","M Salmon","L Resnick"
"95","C Zeitz","L Resnick"
"96","C Zeitz","M Salmon"
"97","M Callanan","J Shrager"
"98","C Lewis","K Sycara"
"99","I Zukerman","I Zukerman"
"100","C Palmer","E Large"
"101","J Pollack","E Large"
"102","J Pollack","C Palmer"
"103","L Shastri","D Mani"
"104","M Mozer","C McMillan"
"105","P Smolensky","C McMillan"
"106","P Smolensky","M Mozer"
"107","J Slack","J Slack"
"108","R Sun","R Sun"
"109","J Elman","J Elman"
"110","D Jurafsky","D Jurafsky"
"111","R Kazman","R Kazman"
"112","R Lewis","J Lehman"
"113","A Newell","J Lehman"
"114","A Newell","R Lewis"
"115","H Tomabechi","H Tomabechi"
"116","C Schut","B Bredeweg"
"117","N Nersessian","N Nersessian"
"118","T Gelder","R Port"
"119","M Singh","M Singh"
"120","T Gelder","T Gelder"
"121","K Forbus","D Gentner"
"122","K Hammond","T McDougal"
"123","C Seifert","T McDougal"
"125","M Redmond","M Redmond"
"126","G Weber","G Weber"
"127","K Holyoak","C Wharton"
"128","P Downing","C Wharton"
"129","P Downing","K Holyoak"
"130","T Lange","C Wharton"
"131","T Lange","K Holyoak"
"132","T Lange","P Downing"
"133","T Wickens","C Wharton"
"134","T Wickens","K Holyoak"
"135","T Wickens","P Downing"
"136","T Wickens","T Lange"
"137","W Schneider","P Gupta"
"138","M Masson","M Masson"
"139","W Schneider","J Shedden"
"140","M Wiesmeyer","M Wiesmeyer"
"141","B Adelson","B Adelson"
"142","J Greer","M Mark"
"143","W Ferguson","R Schank"
"144","L Birnbaum","R Schank"
"145","L Birnbaum","W Ferguson"
"146","J Barger","R Schank"
"147","J Barger","W Ferguson"
"148","J Barger","L Birnbaum"
"149","M Greising","R Schank"
"150","M Greising","W Ferguson"
"151","M Greising","L Birnbaum"
"152","M Greising","J Barger"
"153","R Chang","J Seu"
"154","J Li","J Seu"
"155","J Li","R Chang"
"156","M Evens","J Seu"
"157","M Evens","R Chang"
"158","M Evens","J Li"
"159","J Michael","J Seu"
"160","J Michael","R Chang"
"161","J Michael","J Li"
"162","J Michael","M Evens"
"163","A Rovick","J Seu"
"164","A Rovick","R Chang"
"165","A Rovick","J Li"
"166","A Rovick","M Evens"
"167","A Rovick","J Michael"
"168","Y Chauvin","Y Chauvin"
"169","V Patel","J Leprohon"
"170","S Slade","S Slade"
"171","D Savoie","E Amsel"
"172","G Deak","E Amsel"
"173","G Deak","D Savoie"
"174","M Clark","E Amsel"
"175","M Clark","D Savoie"
"176","M Clark","G Deak"
"177","M Lienert","G Bradshaw"
"178","D Norman","J Grudin"
"179","A Zytkow","J Zytkow"
"180","V Patel","J Arocha"
"181","M Mascolo","S Hirtle"
"182","W Schmidt","T Shultz"
"183","J Aaronson","J Aaronson"
"184","R Allen","R Allen"
"185","T Carpenter","R Alterman"
"186","D Connine","D Connine"
"187","R Barr","L Caplan"
"188","G Ganis","N Chater"
"189","P Rosenbloom","B Cho"
"190","C Dolan","B Cho"
"191","C Dolan","P Rosenbloom"
"192","J Corriveau","J Corriveau"
"193","D McNamara","S Doane"
"194","W Kintsch","S Doane"
