"","from","to"
"1","F Keil","F Keil"
"2","G Leinhardt","G Leinhardt"
"3","A Ram","A Ram"
"4","J Roschelle","J Roschelle"
"5","M Brent","M Brent"
"6","R Frank","R Frank"
"7","P Jusczyk","P Jusczyk"
"8","B MacWhinney","B MacWhinney"
"9","R Jacobs","R Jacobs"
"10","D Plaut","D Plaut"
"11","M Behrmann","M Behrmann"
"12","L Kaebling","L Kaebling"
"13","P Maes","P Maes"
"14","A Vera","A Vera"
"15","J Lehman","J Laird"
"16","P Rosenbloom","J Laird"
"17","P Rosenbloom","J Lehman"
"18","T Simon","J Laird"
"19","T Simon","J Lehman"
"20","T Simon","P Rosenbloom"
"21","P Rosenbloom","P Rosenbloom"
"22","M Wiesmeyer","M Wiesmeyer"
"23","R Lewis","R Lewis"
"24","S Huffman","S Huffman"
"25","S Chipman","S Chipman"
"26","B Fox","B Fox"
"27","A Graesser","A Graesser"
"28","J Moore","J Moore"
"29","M Evens","M Evens"
"30","E Prem","G Dorffner"
"31","M Gasser","G Dorffner"
"32","M Gasser","E Prem"
"33","S Harnad","G Dorffner"
"34","S Harnad","E Prem"
"35","S Harnad","M Gasser"
"36","G Dorffner","G Dorffner"
"37","M Gasser","M Gasser"
"38","R Brooks","R Brooks"
"39","M Christiansen","M Christiansen"
"40","G Lakoff","G Lakoff"
"41","D Touretzky","D Touretzky"
"42","S Harnad","S Harnad"
"43","V Patel","V Patel"
"44","E Hunt","E Hunt"
"46","R Horst","R Horst"
"47","J Whalen","J Whalen"
"48","G Fischer","M Eisenberg"
"50","J Anderson","J Anderson"
"51","W Clancey","W Clancey"
"52","W Feurzeig","W Feurzeig"
"53","J Greenbaum","J Greenbaum"
"54","J Thomas","J Thomas"
"55","H Brunner","H Brunner"
"56","W Croft","W Croft"
"57","K Hammond","C Seifert"
"58","N Chater","M Abu-Bakar"
"59","S Ali","S Ali"
"60","S Goldin-Meadow","M Alibali"
"61","T Harley","A Astell"
"62","O Tzeng","R Atchley"
"63","M Cass","R Atchley"
"64","M Cass","O Tzeng"
"65","J Batali","J Batali"
"66","P Johnson-Laird","M Bauer"
"67","M Behrmann","S Becker"
"68","M Moscovitzh","S Becker"
"69","M Moscovitzh","M Behrmann"
"70","A Goel","S Bhatta"
"71","E Bates","A Blackwell"
"72","D Fisher","A Blackwell"
"73","D Fisher","E Bates"
"74","B Ross","G Bradshaw"
"75","B Lambert","W Brewer"
"76","G Gabrys","M Britt"
"77","C Perfetti","M Britt"
"78","C Perfetti","G Gabrys"
"79","F Eisenhart","B Britton"
"80","R Fleck","L Buchanan"
"81","S Joordens","L Buchanan"
"82","S Joordens","R Fleck"
"83","P Thagard","L Buchanan"
"84","P Thagard","R Fleck"
"85","P Thagard","S Joordens"
"86","A Healy","C Buck-Gengler"
"87","N Chater","J Bullinaria"
"88","M Byrne","M Byrne"
"89","D Billman","A Cabrera"
"90","R Alterman","T Carpenter"
"91","J Tan","Y Chee"
"92","T Chan","Y Chee"
"93","T Chan","J Tan"
"94","M Chi","M Chi"
"95","W Brewer","C Chinn"
"96","C King","D Clawson"
"97","A Healy","D Clawson"
"98","A Healy","C King"
"99","K Ericsson","D Clawson"
"100","K Ericsson","C King"
"101","K Ericsson","A Healy"
"102","A Cleeremans","A Cleeremans"
"103","J Clement","J Clement"
"104","P Cobos","P Cobos"
"105","E Coleman","E Coleman"
"106","J Lehman","C Conati"
"107","J Corriveau","J Corriveau"
"108","M Nguyen","G Cottrell"
"109","F Tsung","G Cottrell"
"110","F Tsung","M Nguyen"
"111","M Crocker","M Crocker"
"112","F Cummins","F Cummins"
"113","M MacDonald","K Daugherty"
"114","A Petersen","K Daugherty"
"115","A Petersen","M MacDonald"
"116","M Seidenberg","K Daugherty"
"117","M Seidenberg","M MacDonald"
"118","M Seidenberg","A Petersen"
"119","N Leeuw","N Leeuw"
"120","J Wiles","S Dennis"
"121","V Nenov","M Dyer"
"122","F Pelletier","R Elio"
"123","M Fallshore","M Fallshore"
"124","T Fontaine","H Farid"
"125","G Provan","H Farid"
"126","G Provan","T Fontaine"
"127","R Nicolson","A Fawcett"
"128","L Shastri","T Fontaine"
"129","G Collins","M Freed"
"130","A Farley","K Freeman"
"131","W Marslen-Wilson","G Gaskell"
"132","G Durieux","S Gillis"
"133","W Daelemans","S Gillis"
"134","W Daelemans","G Durieux"
"135","A Bosch","S Gillis"
"136","A Bosch","G Durieux"
"137","A Bosch","W Daelemans"
"138","J Gobert","J Gobert"
"139","F Gobet","F Gobet"
"140","N Goddard","N Goddard"
"141","A Garza","A Goel"
"142","J Santamaria","A Goel"
"143","J Santamaria","A Garza"
"144","T Callantine","A Goel"
"145","T Callantine","A Garza"
"146","T Callantine","J Santamaria"
"147","M Donnellan","A Goel"
"148","M Donnellan","A Garza"
"149","M Donnellan","J Santamaria"
"150","M Donnellan","T Callantine"
"151","J Grafman","V Goel"
"152","S Golden","R Golden"
"153","J Strickland","R Golden"
"154","J Strickland","S Golden"
"155","I Choi","R Golden"
"156","I Choi","S Golden"
"157","I Choi","J Strickland"
