"","from","to"
"1","C Boyle","J Anderson"
"2","R Farrell","J Anderson"
"3","R Farrell","C Boyle"
"4","B Reiser","J Anderson"
"5","B Reiser","C Boyle"
"6","B Reiser","R Farrell"
"7","J Kleer","J Kleer"
"8","F Dretske","F Dretske"
"9","B Gleitman","B Gleitman"
"10","H Thompson","H Thompson"
"11","J Anderson","J Anderson"
"12","W Clancey","W Clancey"
"13","A Graesser","J Black"
"14","D Sleeman","D Sleeman"
"15","W Johnson","E Soloway"
"16","D Rumelhart","D Rumelhart"
"17","T Sejnowski","G Hinton"
"18","Z Pylyshyn","Z Pylyshyn"
"19","K VanLehn","K VanLehn"
"20","M Gernsbacher","M Gernsbacher"
"21","W Kellogg","T Givon"
"22","M Posner","T Givon"
"23","M Posner","W Kellogg"
"24","P Yee","T Givon"
"25","P Yee","W Kellogg"
"26","P Yee","M Posner"
"27","L Friedrich","L Friedrich"
"29","R Tomlin","R Tomlin"
"30","P Feltovich","P Feltovich"
"31","R Glaser","A Lesgold"
"32","H Rubinson","A Lesgold"
"33","H Rubinson","R Glaser"
"34","D Klopfer","A Lesgold"
"35","D Klopfer","R Glaser"
"36","D Klopfer","H Rubinson"
"38","G Groen","V Patel"
"39","J McClelland","J McClelland"
"40","N Cohen","N Cohen"
"41","P Rozin","P Rozin"
"42","T Sejnowski","T Sejnowski"
"43","J Feldman","J Feldman"
"44","D Soloway","B Adelson"
"45","B Colombetti","G Airenti"
"46","D Hayes","D Hayes"
"47","L Collins","L Collins"
"48","D Clement","D Clement"
"49","M Dijk","M Dijk"
"50","M Frijda","M Frijda"
"51","M Dorfman","M Dorfman"
"52","S Farnham-Diggory","S Farnham-Diggory"
"53","J Reiser","R Farrell"
"54","J Shastri","J Shastri"
"55","R McNulty","R McNulty"
"56","J Eiselt","R Granger"
"57","G Hirst","G Hirst"
"58","J Hutchins","J Hutchins"
"59","S Tanenhaus","S Tanenhaus"
"60","J Johnson","J Johnson"
"61","T Foss","T Foss"
"62","J Anderson","A"
"63","J Black","D"
"64","D Bovair","D Bovair"
"65","D Klahr","D Klahr"
"66","J NA","J Simpson"
"67","S Ohlsson","P Langley"
"68","R Walter","P Langley"
"69","R Walter","S Ohlsson"
"70","A Millward","A Millward"
"71","B Reiser","J McKendree"
"72","J Anderson","J McKendree"
"74","K Metz","K Metz"
"75","D Mitchell","D Mitchell"
"76","J Nutter","J Nutter"
"77","S Ohlsson","S Ohlsson"
"78","J Farrell","P Pirolli"
"79","A Rifkin","A Rifkin"
"80","M Smolensky","M Smolensky"
"81","E Rissland","E Rissland"
"82","F Schmalhofer","F Schmalhofer"
"83","R McKoon","C Seifert"
"84","N Bower","N Bower"
"85","P Smolensky","P Smolensky"
"86","G Taylor","G Taylor"
"87","P Thagard","P Thagard"
"88","K Konerding","K Konerding"
"89","B Frederiksen","B Frederiksen"
"90","R Wilensky","R Wilensky"
"91","R Williams","R Williams"
"92","P Yee","P Yee"
"93","A Zimmer","A Zimmer"
"94","D Zipser","D Zipser"
"95","P Simon","J Zytkow"
