"","from","to"
"1","G Hinton","G Hinton"
"2","R Golden","R Golden"
"3","I Abrams","N Cohen"
"4","W Harley","N Cohen"
"5","W Harley","I Abrams"
"6","L Tabor","N Cohen"
"7","L Tabor","I Abrams"
"8","L Tabor","W Harley"
"9","T Sejnowski","N Cohen"
"10","T Sejnowski","I Abrams"
"11","T Sejnowski","W Harley"
"12","T Sejnowski","L Tabor"
"13","S Grossberg","G Carpenter"
"14","M Uyl","M Uyl"
"15","T Sejnowski","C Rosenberg"
"16","G Carlson","M Tanenhaus"
"17","M Tanenhaus","S Hudson"
"18","G Dell","S Hudson"
"19","G Dell","M Tanenhaus"
"20","R Stevenson","R Stevenson"
"21","M Gernsbacher","M Gernsbacher"
"22","G Bower","M Gluck"
"23","R Granger","J Schilmmer"
"24","E Kehoe","E Kehoe"
"25","J Desmond","D Blazis"
"26","J Moore","D Blazis"
"27","J Moore","J Desmond"
"28","N Berthier","D Blazis"
"29","N Berthier","J Desmond"
"30","N Berthier","J Moore"
"31","A Maida","A Maida"
"32","D Gentner","K Forbus"
"33","D Chambers","D Reisberg"
"34","J Clement","J Clement"
"35","P Kube","P Kube"
"36","K Leibovic","K Leibovic"
"37","A Inhoff","R Rafal"
"38","E Halgren","M Smith"
"39","G Heit","M Smith"
"40","G Heit","E Halgren"
"41","R Cullingford","G Harman"
"42","M Bienkowski","G Harman"
"43","M Bienkowski","R Cullingford"
"44","K Salem","G Harman"
"45","K Salem","R Cullingford"
"46","K Salem","M Bienkowski"
"47","I Pratt","G Harman"
"48","I Pratt","R Cullingford"
"49","I Pratt","M Bienkowski"
"50","I Pratt","K Salem"
"51","M Smith","M Smith"
"52","E Dibble","J Miyamoto"
"53","M Henrion","M Henrion"
"54","V Patel","G Joseph"
"55","M Riel","J Levin"
"56","M Cohen","J Levin"
"57","M Cohen","M Riel"
"58","M Goeller","J Levin"
"59","M Goeller","M Riel"
"60","M Goeller","M Cohen"
"61","M Boruta","J Levin"
"62","M Boruta","M Riel"
"63","M Boruta","M Cohen"
"64","M Boruta","M Goeller"
"65","N Miyake","J Levin"
"66","N Miyake","M Riel"
"67","N Miyake","M Cohen"
"68","N Miyake","M Goeller"
"69","N Miyake","M Boruta"
"70","J Bonar","V Shute"
"71","R Rist","R Rist"
"72","C Martin","C Riesbeck"
"73","M Dyer","M Gasser"
"74","K Ericsson","W Oliver"
"75","J Hill","J Hill"
"76","B Lust","B Lust"
"77","B Grosz","B Grosz"
"78","K Hammond","K Hammond"
"79","K Ashley","K Ashley"
"80","R Cullingford","J Kolodner"
"81","M Leuzinger-Bohleber","R Pfeifer"
"82","M Dyer","C Dolan"
"83","R Collins","E Rissland"
"84","A Kawamoto","A Kawamoto"
"85","D Touretzky","D Touretzky"
"86","M Jordan","M Jordan"
"87","T Iberall","T Iberall"
"88","B Mel","B Mel"
"89","A Pollatsek","A Trehub"
"90","K Ammon","K Ammon"
"91","Y Arens","Y Arens"
"92","J Honeyman","B Bolster"
"93","V Gillis","B Bolster"
"94","V Gillis","J Honeyman"
"95","M Wilson","B Bolster"
"96","M Wilson","J Honeyman"
"97","M Wilson","V Gillis"
"98","R Browse","A Craddock"
"99","R Crawley","R Crawley"
"100","J Daniels","J Daniels"
"101","D Mazmanian","M Dawson"
"102","W Roberts","M Dawson"
"103","W Roberts","D Mazmanian"
"104","D Plaut","M Derthick"
"105","R Eckmiller","R Eckmiller"
"106","S Gallant","S Gallant"
"107","H Henry","H Henry"
"108","E Hovy","E Hovy"
"109","H Intraub","H Intraub"
"110","R Treiman","J Jakimik"
"111","A Kass","A Kass"
"112","C Sarrazin","D Lacombe"
"113","C Alain","D Lacombe"
"114","C Alain","C Sarrazin"
"115","C Owens","D Leake"
"116","D Levine","D Levine"
"117","J Martin","J Martin"
"118","C Mervis","C Mervis"
"119","W Gerace","J Mestre"
"120","A Meystel","A Meystel"
"121","P Munro","P Munro"
"122","P O'Seaghdha","P O'Seaghdha"
"123","J Arocha","V Patel"
"124","G Groen","V Patel"
"125","G Groen","J Arocha"
"126","J Moore","N Schmajuk"
"127","C Furstenberg","M Sebrechts"
"128","G DeJong","J Shavlik"
"129","R Sutton","R Sutton"
"130","E Tan","E Tan"
"131","A Trehub","A Trehub"
"132","M Wagener","K Wender"
"133","B Wittmann","K Wender"
"134","B Wittmann","M Wagener"
"135","R Williams","R Williams"
"136","T Yamamoto","T Yamamoto"
"137","M Zock","M Zock"
