"","from","to"
"1","P Kube","P Kube"
"2","J Fragala","M Sebrechts"
"3","M Farah","M Farah"
"4","R Golden","R Golden"
"5","R Thompson","M Gluck"
"6","A Anderson","A Anderson"
"7","B Pinette","R Sutton"
"8","J Schlimmer","R Granger"
"9","A Collins","A Collins"
"10","T Dean","Y Shoham"
"11","M Lebowitz","M Lebowitz"
"12","J Carbonell","J Fain"
"13","P Hayes","J Fain"
"14","P Hayes","J Carbonell"
"15","S Minton","J Fain"
"16","S Minton","J Carbonell"
"17","S Minton","P Hayes"
"18","M Dyer","E Mueller"
"19","J Hendler","J Hendler"
"20","J Black","D Kay"
"21","S Kedar-Cabelli","S Kedar-Cabelli"
"22","O Selfridge","R Lawler"
"23","M Dyer","U Zemik"
"24","L Caplan","R Barr"
"25","B Baars","B Baars"
"26","G Cottrell","G Cottrell"
"27","G Hirst","B Selman"
"28","R Alterman","R Alterman"
"29","M Dyer","S Alvarado"
"30","M Flowers","S Alvarado"
"31","M Flowers","M Dyer"
"32","M Dyer","S August"
"33","H Blanchard","H Blanchard"
"34","P Cohen","P Cohen"
"35","G Collins","G Collins"
"36","M Dorfman","M Dorfman"
"37","P Langley","J Easterlin"
"38","K Forbus","K Forbus"
"39","C Toupin","D Gentner"
"40","J Corter","M Gluck"
"41","G Vamos","A Graesser"
"42","D Koizumi","A Graesser"
"43","D Koizumi","G Vamos"
"44","C Elofson","A Graesser"
"45","C Elofson","G Vamos"
"46","C Elofson","D Koizumi"
"47","R Guindon","R Guindon"
"48","J Hill","J Hill"
"49","R Hall","D Kibler"
"50","J Black","S McGuigan"
"51","D McNulty","D McNulty"
"52","J Desmond","J Moore"
"53","N Berthier","J Moore"
"54","N Berthier","J Desmond"
"55","D Blazis","J Moore"
"56","D Blazis","J Desmond"
"57","D Blazis","N Berthier"
"58","R Sutton","J Moore"
"59","R Sutton","J Desmond"
"60","R Sutton","N Berthier"
"61","R Sutton","D Blazis"
"62","A Barto","J Moore"
"63","A Barto","J Desmond"
"64","A Barto","N Berthier"
"65","A Barto","D Blazis"
"66","A Barto","R Sutton"
"67","M Pazzani","M Pazzani"
"68","J Pearl","J Pearl"
"69","F Marchak","M Prietula"
"70","W Rapaport","W Rapaport"
"71","D Rose","D Rose"
"72","G DeJong","J Shavlik"
"73","K Sycara-Cyranski","K Sycara-Cyranski"
"74","L Stowe","M Tanenhaus"
"75","G Carlson","M Tanenhaus"
"76","G Carlson","L Stowe"
"77","Y Tenney","Y Tenney"
"78","M Dyer","S Turner"
"79","M Wagener","K Wender"
"80","D Geary","K Widaman"
"81","P Cormier","K Widaman"
"82","P Cormier","D Geary"
"83","T Little","K Widaman"
"84","T Little","D Geary"
"85","T Little","P Cormier"
