"","from","to"
"1","M Lucas","M Lucas"
"2","J Orasanu","J Orasanu"
"3","R Reilly","R Reilly"
"4","J Stemberger","J Stemberger"
"5","R Browse","R Browse"
"6","L Chen","L Chen"
"7","L Parsons","L Parsons"
"8","J Psotka","J Psotka"
"9","B Bara","G Airenti"
"10","M Colombetti","G Airenti"
"11","M Colombetti","B Bara"
"12","D Grudin","D Grudin"
"13","H Goldsmith","M Gernsbacher"
"14","J Greeno","D Smith"
"15","J Greeno","W Kintsch"
"16","R Pea","D Kurland"
"17","M Boruta","J Levine"
"18","A Petitto","J Levine"
"19","A Petitto","M Boruta"
"20","J","G Luger"
"21","T Bower","G Luger"
"22","T Bower","J"
"23","S Shapiro","M Almeida"
"24","R Alterman","R Alterman"
"25","J Holbrook","R Granger"
"26","V Zavarin","V Zavarin"
"27","D Centner","A Collins"
"28","C Freksa","G Dirlich"
"29","U Furbach","G Dirlich"
"30","U Furbach","C Freksa"
"31","J Nutter","J Nutter"
"32","W Salter","W Salter"
"33","P Langley","P Langley"
"34","J Barnden","J Barnden"
"35","G Stephens","G Graham"
"36","T Sejnowski","G Hinton"
"37","M Lansdale","M Lansdale"
"38","N Hamer","I Moar"
"39","B Woods","I Moar"
"40","B Woods","N Hamer"
"41","J Black","B Reiser"
"42","J Black","C Seifert"
"43","K Ehrlich","E Soloway"
"44","E Gold","E Soloway"
"45","E Gold","K Ehrlich"
"46","F Winfield","F Winfield"
