"","from","to"
"1","C Webster","C Webster"
"2","B Krulwich","M Freed"
"3","L Birnbaum","M Freed"
"4","L Birnbaum","B Krulwich"
"5","G Collins","M Freed"
"6","G Collins","B Krulwich"
"7","G Collins","L Birnbaum"
"8","K Hammond","T Converse"
"9","K Hammond","P Goldweic"
"10","C Seifert","K Hammond"
"11","V Ajjanagadde","V Ajjanagadde"
"12","R Stark","R Stark"
"13","E Melz","E Melz"
"14","G Oden","G Oden"
"15","J Murre","J Murre"
"16","J Shrager","J Pinto"
"17","B Bertenthal","J Pinto"
"18","B Bertenthal","J Shrager"
"19","D Klahr","T Simon"
"20","A Newell","T Simon"
"21","A Newell","D Klahr"
"22","T Shultz","W Schmidt"
"23","E Servan-Schreiber","E Servan-Schreiber"
"24","L Tyler","W Marslen-Wilson"
"25","R Waksler","W Marslen-Wilson"
"26","R Waksler","L Tyler"
"27","L Older","W Marslen-Wilson"
"28","L Older","L Tyler"
"29","L Older","R Waksler"
"30","S Rice","S Rice"
"31","E Bates","H Liu"
"32","P Li","H Liu"
"33","P Li","E Bates"
"34","C Harris","C Harris"
"35","K Hammond","T McDougal"
"36","D Conklin","J Glasgow"
"37","J Pollack","D Stucki"
"38","P Slezak","P Slezak"
"39","V Goel","V Goel"
"40","S Anderson","J McAuley"
"41","R Port","J McAuley"
"42","R Port","S Anderson"
"43","K Stenning","D Bairaktaris"
"44","H Ziemer","D Huber"
"45","R Shiffrin","D Huber"
"46","R Shiffrin","H Ziemer"
"47","K Marinelli","D Huber"
"48","K Marinelli","H Ziemer"
"49","K Marinelli","R Shiffrin"
"50","R Pohl","R Pohl"
"51","L Shastri","L Shastri"
"52","W Brewer","C Chinn"
"53","P Cheng","P Cheng"
"54","D Klahr","C Schunn"
"55","E Freedman","E Freedman"
"56","U Fischer","J Orasanu"
"57","K Eiselt","J Holbrook"
"58","K Mahesh","J Holbrook"
"59","K Mahesh","K Eiselt"
"60","I Zukerman","I Zukerman"
"61","J Reeves","J Reeves"
"62","E Jones","E Jones"
"63","D Thau","D Thau"
"64","P Maglio","D Kirsh"
"65","G Collins","L Pryor"
"66","J Pollack","P Angeline"
"70","X Wang","D Touretzky"
"71","B MacWhinney","P Gupta"
"72","M Seidenberg","K Daugherty"
"73","J Elman","M Hare"
"74","M John","M John"
"75","R Shiffrin","N Lightfoot"
"76","R Zemel","M Mozer"
"77","M Behrmann","M Mozer"
"78","M Behrmann","R Zemel"
"79","M Albert","M Albert"
"80","G Bingham","G Bingham"
"81","A Fawcett","R Nicolson"
"82","R Bareiss","E Shafto"
"83","L Birnbaum","E Shafto"
"84","L Birnbaum","R Bareiss"
"85","D Leake","D Leake"
"86","A Goel","E Stroulia"
"87","D Skalak","D Skalak"
"88","R Alterman","R Zito-Wolf"
"89","R Goldstone","R Goldstone"
"90","H Ohnishi","H Suzuki"
"91","K Shigemasu","H Suzuki"
"92","K Shigemasu","H Ohnishi"
"93","K McRae","K McRae"
"94","E Wisniewski","S Sloman"
"95","L Barsalou","E Heit"
"96","G Fromm","S Small"
"97","D Plaut","D Plaut"
"98","S MacAndrew","T Harley"
"99","M Kritchevsky","D Corina"
"100","U Bellugi","D Corina"
"101","U Bellugi","M Kritchevsky"
"102","C Myers","M Gluck"
"103","M Gasser","M Gasser"
"104","P Conkey","N Chater"
"105","G Lindsey","R Shillcock"
"106","J Levy","R Shillcock"
"107","J Levy","G Lindsey"
"108","N Chater","R Shillcock"
"109","N Chater","G Lindsey"
"110","N Chater","J Levy"
"111","J Elman","J Weckerly"
"112","A Noetzel","A Maskara"
"113","Y Kareev","J Avrahami"
"114","D Billman","A Kersten"
"115","S Hanson","C Hanson"
"116","C Ashworth","C Ashworth"
"117","N Cote","L Novick"
"118","P Johnson","K Smith"
"119","M Lepper","T Shultz"
"120","J Anderson","Q Wu"
"121","J Ullman","S Robertson"
"122","A Mehta","S Robertson"
"123","A Mehta","J Ullman"
"124","M Tanenhaus","G Mauner"
"125","G Carlson","G Mauner"
"126","G Carlson","M Tanenhaus"
"127","M Spivey-Knowlton","M Spivey-Knowlton"
"128","M Tanenhaus","J Trueswell"
"129","M MacDonald","N Pearlmutter"
"130","D Gentner","P Wolff"
"131","M Imai","D Gentner"
"132","K Holyoak","J Hummel"
"133","D Gochfeld","P Thagard"
"134","S Hardy","P Thagard"
"135","S Hardy","D Gochfeld"
"136","R French","D Hofstadter"
"137","R Goldstone","D Aha"
"138","P Glauthier","M Gluck"
"139","R Sutton","M Gluck"
"140","R Sutton","P Glauthier"
"141","E Alberdi","H Matute"
"142","D Meyer","P Price"
"143","K Koh","P Price"
"144","K Koh","D Meyer"
"145","R Dallaway","R Dallaway"
"146","L Rau","L Rau"
"147","S Epstein","S Epstein"
"148","C Wharton","T Lange"
"149","L Branting","L Branting"
"150","K Holyoak","C Wharton"
"151","P Downing","C Wharton"
"152","P Downing","K Holyoak"
"154","T Lange","K Holyoak"
"155","T Lange","P Downing"
"156","T Wickens","C Wharton"
"157","T Wickens","K Holyoak"
"158","T Wickens","P Downing"
"159","T Wickens","T Lange"
"160","A Ortony","P G'Rorke"
"161","M Ranney","P Schank"
"162","S Ohlsson","J Moore"
"163","T Chan","Y Chee"
"164","R Mooney","P Baffes"
"165","J Anderson","A Corbett"
"166","A Kass","R Burke"
"167","R Nicolson","R Nicolson"
"168","T Gelder","T Gelder"
"170","P Verschure","P Verschure"
"171","R Hadley","R Hadley"
"172","M Christiansen","M Christiansen"
"173","L Adams","L Adams"
"174","A Almor","A Almor"
"175","S Anderson","S Anderson"
"176","H Shimazu","S Arita"
"177","Y Takashima","S Arita"
"178","Y Takashima","H Shimazu"
"179","A Loyall","J Bates"
"180","W Reilly","J Bates"
"181","W Reilly","A Loyall"
"182","J Gevins","C Baudin"
"183","V Baya","C Baudin"
"184","V Baya","J Gevins"
"185","A Mabogunje","C Baudin"
"186","A Mabogunje","J Gevins"
"187","A Mabogunje","V Baya"
"188","J Best","J Best"
"189","C Boyle","C Boyle"
"190","L Birnbaum","M Brand"
"191","P Cooper","M Brand"
"192","P Cooper","L Birnbaum"
"194","M Tanenhaus","C Burgess"
"195","N Marks","C Burgess"
"196","N Marks","M Tanenhaus"
"197","M Schreiner","B Burns"
"198","C Cardie","C Cardie"
"199","R Wachman","R Catrambone"
"200","A Lesgold","V Cavalli-Sforza"
"201","A Weiner","V Cavalli-Sforza"
"202","A Weiner","A Lesgold"
"203","K Chan","K Chan"
"204","Y Chauvin","Y Chauvin"
"205","R Amant","P Cohen"
"206","D Hart","P Cohen"
"207","D Hart","R Amant"
"208","D Corina","D Corina"
"209","A Jonsson","N Dahlback"
"210","C Giles","S Das"
"211","G Sun","S Das"
"212","G Sun","C Giles"
"213","S Davies","S Davies"
"214","G Dorffner","G Dorffner"
"215","A Ortony","C Elliott"
"216","T Hinrichs","R Feifer"
"217","N Chater","S Finch"
"218","J Florian","J Florian"
"219","R Nicolson","E Furse"
"220","H Schendan","G Ganis"
"222","M Hadzikadic","M Hadzikadic"
"223","Y Kareev","N Halberstadt"
"224","J Hoeffner","J Hoeffner"
"225","C Seifert","H Johnson"
"226","K VanLehn","R Jones"
"227","C Kalish","C Kalish"
"228","V Patel","D Kaufman"
"229","S Magder","D Kaufman"
"230","S Magder","V Patel"
"231","H Kim","H Kim"
"232","M Farah","D Kimberg"
"233","B Kokinov","B Kokinov"
"234","B Kalman","S Kwasny"
"235","W Wu","S Kwasny"
"236","W Wu","B Kalman"
"237","A Engebretson","S Kwasny"
"238","A Engebretson","B Kalman"
"239","A Engebretson","W Wu"
"240","R Goldman","R Lang"
"241","A Graesser","M Langston"
"242","M Jacobson","J Levin"
"243","S Leven","D Levine"
"244","M Lewis","M Lewis"
"245","G Libben","G Libben"
"246","J Tsotsos","D Lomas"
"247","M Lovett","M Lovett"
"248","E Lumer","E Lumer"
"249","S Sitter","E Maier"
"250","L Shastri","D Mani"
"251","L Uhr","G Mani"
"252","L Marti","L Marti"
"254","C Paris","V Mittal"
"255","G Bingham","M Muchisky"
"256","R Stevenson","A Nelson"
"257","K Stenning","A Nelson"
"258","K Stenning","R Stevenson"
"259","R Shiffrin","P Nobel"
"260","E Rees","S Ohlsson"
"261","C Owens","C Owens"
"262","N Cercone","T Pattabhiraman"
"263","H Herik","E Postma"
"264","P Hudson","E Postma"
"265","P Hudson","H Herik"
"266","L Xu","I Pratt"
"267","I Leudar","I Pratt"
"268","I Leudar","L Xu"
"269","H Simon","Y Qin"
"270","I Zukerman","B Raskutti"
"272","K Kotovsky","P Reber"
"273","S Ritter","S Ritter"
"274","R Buss","J Romack"
"275","G Bingham","J Romack"
"276","G Bingham","R Buss"
"277","M Evens","G Sanders"
"278","G Hume","G Sanders"
"279","G Hume","M Evens"
"280","A Rovick","G Sanders"
"281","A Rovick","M Evens"
"282","A Rovick","G Hume"
"283","J Michael","G Sanders"
"284","J Michael","M Evens"
"285","J Michael","G Hume"
"286","J Michael","A Rovick"
"287","P Hanover","P Hanover"
"288","J Kolen","G Saunders"
"289","P Angeline","G Saunders"
"290","P Angeline","J Kolen"
"291","J Pollack","G Saunders"
"292","J Pollack","J Kolen"
"294","P Manolios","D Scarborough"
"295","J Jones","D Scarborough"
"296","J Jones","P Manolios"
"297","H Schendan","H Schendan"
"298","P Shrager","P Shrager"
"299","R Bareiss","B Slator"
"300","R Sumida","R Sumida"
"301","R Sun","R Sun"
"302","J Palacios","R Taraban"
"303","R Turner","R Turner"
"304","T Tyrrell","T Tyrrell"
"305","H McQuaid","W Wattenmaker"
"306","S Schwertz","W Wattenmaker"
"307","S Schwertz","H McQuaid"
"308","M Young","M Young"
"309","K Stenning","P Yule"
"310","J Zhang","J Zhang"
