"","from","to"
"1","Y Chee","Y Chee"
"2","B Adelson","B Adelson"
"3","C Quinn","C Quinn"
"4","D Gentner","M Rattermann"
"5","J DeLoache","M Rattermann"
"6","J DeLoache","D Gentner"
"7","K Gray","C Seifert"
"8","D Gentner","A Markman"
"9","B Burns","B Burns"
"10","J Larkin","A Hickman"
"11","D Oblinger","K Forbus"
"12","B Falkenhainer","B Falkenhainer"
"13","K Sycara","K Sycara"
"14","J Greeno","N Nersesslan"
"15","C Schunn","K Dunbar"
"16","R McCartney","R McCartney"
"17","D Skalak","D Skalak"
"18","H Kim","H Kim"
"19","J Avrahami","Y Kareey"
"20","D Foster","I Yaniv"
"21","R Goldstone","D Aha"
"22","W Ahn","W Ahn"
"23","W Rapaport","S Peters"
"24","J Martin","J Martin"
"25","D Hofstadter","M Mitchell"
"26","E Servan-Schreiber","E Servan-Schreiber"
"27","K Holyoak","M Waldmann"
"28","A Ram","A Ram"
"30","D Mitchell","D Mitchell"
"31","G Silverstein","M Pazzani"
"32","T Shultz","T Shultz"
"33","S Ohlsson","S Ohlsson"
"34","L Birnbaum","M Brand"
"36","L Hunter","L Hunter"
"37","E Jones","E Jones"
"38","C Owens","C Owens"
"39","V Ajjanagadde","V Ajjanagadde"
"40","P Legrenzi","V Girotto"
"41","B Reeves","T Mastaglio"
"42","K Murray","K Murray"
"43","B Reiser","M Bauer"
"44","D Leake","D Leake"
"45","D Klahr","A Fav"
"46","K Dunbar","A Fav"
"47","K Dunbar","D Klahr"
"48","D Chalmers","D Chalmers"
"49","G Elvgren","D Touretzky"
"50","D Wheeler","D Touretzky"
"51","D Wheeler","G Elvgren"
"52","M Mozer","M Mozer"
"53","M Hare","M Hare"
"54","E Gibson","E Gibson"
"55","N Badler","J Kalita"
"56","R Chaffin","C Fellbaum"
"57","M Brent","M Brent"
"58","N Braisby","B Franks"
"59","R Miikkulainen","R Miikkulainen"
"60","D Wilkins","S Nicholl"
"61","R Gonsalves","R Gonsalves"
"62","J Bateman","L Wanner"
"63","E Hovy","Y Arens"
"64","I Zukerman","I Zukerman"
"65","S Lytinen","H Wu"
"66","C Cardie","W Lehnert"
"67","E Riloff","W Lehnert"
"68","E Riloff","C Cardie"
"69","A Quilici","A Quilici"
"70","R Crawley","R Stevenson"
"71","G Wilson","R Stevenson"
"72","G Wilson","R Crawley"
"73","D Kleinman","R Stevenson"
"74","D Kleinman","R Crawley"
"75","D Kleinman","G Wilson"
"76","N Ward","N Ward"
"77","Y Miyata","G Legendre"
"78","P Smolensky","G Legendre"
"79","P Smolensky","Y Miyata"
"80","S Stevenson","S Stevenson"
"81","E Bates","C Harris"
"82","E Segal","E Segal"
"83","N Kanwisher","N Kanwisher"
"84","I Biederman","J Hummel"
"85","J Tanaka","J Tanaka"
"86","S Omohundro","S Ahmad"
"87","K Weber","S Robertson"
"88","J Hendler","J Hendler"
"89","B Hemforth","G Strube"
"90","H Wrobel","G Strube"
"91","H Wrobel","B Hemforth"
"92","W Schneider","J Shedden"
"93","B Yanikoglu","P Sandon"
"94","J Laird","M Wiesmeyer"
"95","S Morgan","J Theios"
"96","M Arbib","D Wang"
"97","B Britton","B Britton"
"98","H Simon","Y Qin"
"99","I Pratt","I Pratt"
