"","from","to"
"1","N Narayanan","C Hmelo"
"2","J Anderson","J Anderson"
"3","G Cottrell","C Burgess"
"4","W Schneider","W Schneider"
"5","W Marslen-Wilson","M Gaskell"
"6","M Tanenhaus","M Spivey-Knowlton"
"7","K Eberhard","M Spivey-Knowlton"
"8","K Eberhard","M Tanenhaus"
"9","J Sedivy","M Spivey-Knowlton"
"10","J Sedivy","M Tanenhaus"
"11","J Sedivy","K Eberhard"
"12","C Ohnesorge","R French"
"13","D Plaut","D Plaut"
"14","A Cabrera","T Simon"
"15","M Isaak","M Isaak"
"16","G Cottrell","K Yamada"
"17","M Matessa","J Anderson"
"18","S Douglass","J Anderson"
"19","S Douglass","M Matessa"
"20","R Oehlmann","R Oehlmann"
"21","K Ashley","B McLaren"
"22","J Kolodner","M Simina"
"23","D Leake","D Leake"
"25","A Brook","A Brook"
"26","T Okada","C Schunn"
"27","K Crowley","C Schunn"
"28","K Crowley","T Okada"
"29","D Klahr","C Schunn"
"30","K Gapp","K Gapp"
"31","D Bree","I Pratt"
"32","A Merin","A Merin"
"33","B Jones","B Jones"
"34","J Gelfand","V Gullapalli"
"35","D Rohde","V Gullapalli"
"36","D Rohde","J Gelfand"
"37","P Cairns","R Shillcock"
"38","M Behrmann","J Ho"
"39","D Plaut","J Ho"
"40","D Plaut","M Behrmann"
"41","J Sirosh","A Haessly"
"42","R Miikkulainen","A Haessly"
"43","R Miikkulainen","J Sirosh"
"44","P Schyns","A Oliva"
"45","W Warren","A Duchon"
"46","L Kaelbling","A Duchon"
"47","L Kaelbling","W Warren"
"48","K Plunkett","D Mareschal"
"49","P Harris","D Mareschal"
"50","P Harris","K Plunkett"
"51","E Heit","E Heit"
"52","A Cabrera","A Cabrera"
"53","D Davila","D Billman"
"54","J Thibaut","J Thibaut"
"55","R Rauh","M Knauff"
"56","C Schlieder","M Knauff"
"57","C Schlieder","R Rauh"
"58","M Suwa","N Narayanan"
"59","H Motoda","N Narayanan"
"60","H Motoda","M Suwa"
"61","D Kirsh","D Kirsh"
"62","H Tabachneck","A Leonardo"
"63","H Simon","A Leonardo"
"64","H Simon","H Tabachneck"
"65","D Callan","V Marchman"
"66","J Saffran","M Spivey-Knowlton"
"67","R Goebel","G Westermann"
"68","W Tabor","W Tabor"
"69","R Ploetzner","R Ploetzner"
"70","J Trafton","W Sandoval"
"71","B Reiser","W Sandoval"
"72","B Reiser","J Trafton"
"73","R Catrambone","R Catrambone"
"74","J Anderson","M Lovett"
"75","L Rips","S Brem"
"76","T Johnson","J Krems"
"77","J Wiley","J Wiley"
"78","V Patel","A Kushniruk"
"79","D Fleiszer","A Kushniruk"
"80","D Fleiszer","V Patel"
"81","M Heydemann","M Heydemann"
"82","A Cleeremans","A Cleeremans"
"83","T Shultz","S Tetewsky"
"84","Y Takane","S Tetewsky"
"85","Y Takane","T Shultz"
"86","L Barsalou","K Olseth"
"87","G Boella","L Ardissono"
"88","L Lesmo","L Ardissono"
"89","L Lesmo","G Boella"
"90","R McConachy","I Zukerman"
"91","A Urbanowicz","R Stevenson"
"92","A Graesser","W Baggett"
"93","H Simon","T Okada"
"94","C Chan","C Chan"
"95","C Gadd","C Gadd"
"96","M Hayward","R Hadley"
"97","W Marslen-Wilson","M Durrant-Peatfield"
"98","G Cottrell","D Noelle"
"105","G Carlson","J Sedivy"
"106","G Carlson","M Tanenhaus"
"107","G Carlson","K Eberhard"
"108","G Carlson","M Spivey-Knowlton"
"109","F Savary","P Johnson-Laird"
"110","R Culhane","R Byrne"
"111","A Tasso","R Byrne"
"112","A Tasso","R Culhane"
"113","S Syc","M Alibali"
"114","M Bassok","M Alibali"
"115","M Bassok","S Syc"
"116","S Goldin-Meadow","M Alibali"
"117","S Goldin-Meadow","S Syc"
"118","S Goldin-Meadow","M Bassok"
"119","K Olseth","M Alibali"
"120","K Olseth","S Syc"
"121","K Olseth","M Bassok"
"122","K Olseth","S Goldin-Meadow"
"123","K Koedinger","H Tabachneck"
"124","M Nathan","H Tabachneck"
"125","M Nathan","K Koedinger"
"126","C Hmelo","C Hmelo"
"127","S Derry","H Osana"
"128","J Levin","H Osana"
"129","J Levin","S Derry"
"130","J Anderson","S Ritter"
"131","K Ashley","V Aleven"
"132","Y Hagmayer","M Waldmann"
"133","P Cheng","A Yarlas"
"134","K Holyoak","A Yarlas"
"135","K Holyoak","P Cheng"
"136","R Mooney","W Ahn"
"137","M Bassok","V Chase"
"138","M Keane","M Keane"
"139","M Lewis","C Edlund"
"140","D Medin","M Bassok"
