"","from","to"
"1","R Abelson","R Abelson"
"2","R Wilensky","R Wilensky"
"3","R Fikes","R Fikes"
"4","B Hayes-Roth","B Hayes-Roth"
"5","J Levin","J Levin"
"6","N Quinn","N Quinn"
"7","S Palmer","S Palmer"
"8","I Rock","A Gilchrist"
"9","G Hinton","G Hinton"
"10","P Kay","P Kay"
"11","S Ullman","S Ullman"
"12","G Mandler","G Mandler"
"13","W Lehnert","W Lehnert"
"14","C Lutz","C Lutz"
"15","G Clore","A Ortony"
"16","E Johnson","A Tversky"
"17","D Centner","D Centner"
"18","A diSessa","A diSessa"
"19","P Johnson-Laird","P Johnson-Laird"
"20","H Simo","J Larkin"
"21","S Shwartz","J Black"
"22","W Lehnert","J Black"
"23","W Lehnert","S Shwartz"
"24","A Collins","E Smith"
"25","R Guindon","R Guindon"
"26","J Carroll","J Carroll"
"27","M Kac","M Kac"
"28","D Dahl","J Gundel"
"29","S Grain","H Hamburger"
"30","M ridge","M ridge"
"31","T Brower","G Luger"
"32","J Wishart","G Luger"
"33","J Wishart","T Brower"
"34","J Clement","J Clement"
"35","H Boecker","G Fischer"
"36","R Lachman","J Lachman"
"37","I Goldstein","I Goldstein"
"38","J Laubsch","M Eisenstadt"
"39","J Kahn","M Eisenstadt"
"40","J Kahn","J Laubsch"
"41","L Friedman","L Friedman"
"42","A Zimmer","A Zimmer"
"43","R Falmagne","R Falmagne"
"44","H Gladwin","H Gladwin"
"45","A Abratiamsen","A Abratiamsen"
"46","R Schank","R Schank"
"47","J McClelland","J McClelland"
"48","D Bree","D Bree"
"49","A Andreewsky","E Andreewsky"
"50","G Deloche","E Andreewsky"
"51","G Deloche","A Andreewsky"
"52","D Bourcier","E Andreewsky"
"53","D Bourcier","A Andreewsky"
"54","D Bourcier","G Deloche"
"55","M Zavalloni","M Zavalloni"
"56","S Shwartz","S Shwartz"
"57","M Wiser","M Wiser"
"58","R Browse","R Browse"
"59","M Agar","J Hobbs"
"60","J NA","R Granger"
"61","J Morris","J Morris"
"62","J Levin","E ins"
"63","D McCarty","A Farley"
"64","J Drosler","J Drosler"
"65","G Nowicki","A Isen"
"66","N Dehn","N Dehn"
"67","W Lehnert","B Reiser"
"68","J Black","B Reiser"
"70","A Stevens","K Forbus"
"71","M Eysenck","M Eysenck"
"72","M Dyer","M Dyer"
"73","J Hendler","B Phillips"
"74","E Charniak","E Charniak"
"75","B Shannon","B Shannon"
"76","B Baars","B Baars"
"77","R Hammersley","R Hammersley"
"78","A Newell","S Card"
"79","B Adelson","B Adelson"
"80","J NA","G Novak"
"81","S Richmond","S Richmond"
"82","M Lasher","M Lasher"
"83","I Boehler","M Masson"
"84","S Small","S Small"
"85","B Ross","L Reder"
"86","A Graesser","A Graesser"
"87","G Carmi","G Carmi"
"88","M Burstein","M Burstein"
"89","D Nicholas","P Langley"
"90","D Klahr","P Langley"
"91","D Klahr","D Nicholas"
"92","G Hood","P Langley"
"93","G Hood","D Nicholas"
"94","G Hood","D Klahr"
"95","J Black","J Galambos"
"96","D Norman","D Rumelhart"
"97","R Michalski","A Collins"
"98","A Sloman","A Sloman"
"99","M Coombs","M Coombs"
"100","V Eliashberg","V Eliashberg"
"101","J Carbonell","J Carbonell"
"102","J Slack","J Slack"
"103","H Dahl","O Schattin"
"104","P vanHeerden","P vanHeerden"
"105","E Loebner","E Loebner"
"106","D Ross","S Klein"
"107","M Manasse","S Klein"
"108","M Manasse","D Ross"
"109","J Danos","S Klein"
"110","J Danos","D Ross"
"111","J Danos","M Manasse"
"112","M Bickford","S Klein"
"113","M Bickford","D Ross"
"114","M Bickford","M Manasse"
"115","M Bickford","J Danos"
"116","W Burt","S Klein"
"117","W Burt","D Ross"
"118","W Burt","M Manasse"
"119","W Burt","J Danos"
"120","W Burt","M Bickford"
"121","K Jensen","S Klein"
"122","K Jensen","D Ross"
"123","K Jensen","M Manasse"
"124","K Jensen","J Danos"
"125","K Jensen","M Bickford"
"126","K Jensen","W Burt"
"127","J Greeno","J Greeno"
"128","L Resnick","L Resnick"
"129","O ridge","E Rissland"
"130","E way","E Rissland"
"131","E way","O ridge"
"132","J Johnson","J Pascual-Leone"
"133","D Goodman","J Pascual-Leone"
"134","D Goodman","J Johnson"
"135","D Hameluck","J Pascual-Leone"
"136","D Hameluck","J Johnson"
"137","D Hameluck","D Goodman"
"138","L Theodor","J Pascual-Leone"
"139","L Theodor","J Johnson"
"140","L Theodor","D Goodman"
"141","L Theodor","D Hameluck"
"142","J Beatty","F Richer"
"143","B Whitehead","G Strong"
