"","from","to"
"1","J Kihlstrom","J Kihlstrom"
"2","J Allen","J Allen"
"3","J Brown","J Kleer"
"4","K Forbus","K Forbus"
"5","M Johnson","M Johnson"
"6","J Carbonell","J Carbonell"
"7","N Quinn","N Quinn"
"8","D McNeill","D McNeill"
"9","G Lakoff","G Lakoff"
"10","P Greene","P Greene"
"11","C Boylls","C Boylls"
"12","D Kramer","B Baars"
"13","M Selfridge","M Selfridge"
"14","E Dietrich","R Cummins"
"15","P Scott","P Scott"
"16","P Robertson","P Robertson"
"17","J Morris","J Morris"
"18","K Sprague","D Dankel"
"19","J Black","J Galambos"
"20","D Osherson","E Smith"
"21","D Waltz","J Pollack"
"22","L Mazlack","L Silver"
"23","M Ringle","M Ringle"
"24","N Paz","L Mazlack"
"25","J Nutter","J Nutter"
"26","J Black","V Abbott"
"27","H Brunner","H Brunner"
"28","S Robertson","C Seifert"
"29","J Black","C Seifert"
"30","J Black","S Robertson"
"31","F Reif","J Heller"
"32","J Clement","J Clement"
"33","F Tou","M Williams"
"34","R Fikes","M Williams"
"35","R Fikes","F Tou"
"36","A Henderson","M Williams"
"37","A Henderson","F Tou"
"38","A Henderson","R Fikes"
"39","T Malone","M Williams"
"40","T Malone","F Tou"
"41","T Malone","R Fikes"
"42","T Malone","A Henderson"
"43","D Gentner","A Collins"
"44","J Martins","S Shapiro"
"45","D McKay","S Shapiro"
"46","D McKay","J Martins"
"47","R Mack","J Carroll"
"48","E Rissland","E Rissland"
"49","Y Uesato","Y Anzai"
"50","A Tesser","B Britton"
"51","M Tomita","M Tomita"
"52","J Black","B Reiser"
"53","R Abelson","B Reiser"
"54","R Abelson","J Black"
"55","W Brewer","W Brewer"
"56","L Rips","N Brown"
"57","S Shevell","N Brown"
"58","S Shevell","L Rips"
"59","L Barsalou","J Kolodner"
"60","M Fehling","M Fehling"
"61","E Soloway","K Ehrlich"
"62","V Abbott","K Ehrlich"
"63","V Abbott","E Soloway"
"64","J Lave","J Lave"
"65","T O'Shea","E Scanlon"
"66","W Levy","W Levy"
"67","B Ecanow","W Bechtel"
"68","J Barnden","J Barnden"
"69","M Eisenstadt","H Kahney"
"70","J Bonar","J Bonar"
"71","K Ehrlich","E Solowoy"
"72","A Jones","A Jones"
"73","P Thagard","P Thagard"
"74","S Grover","S Grover"
"75","P Pixton","E Hunt"
"76","R Young","R Young"
"77","M Luria","M Luria"
"78","S Small","S Small"
"79","V Areas","V Areas"
"80","R Granger","R Granger"
"81","D Gentner","D Gentner"
"82","E Hutchins","C Riesbeck"
"83","R Pfeifer","R Pfeifer"
"85","D Michel","H Brownell"
"86","J Powelson","H Brownell"
"87","J Powelson","D Michel"
"88","H Gardner","H Brownell"
"89","H Gardner","D Michel"
"90","H Gardner","J Powelson"
"91","D Stephens","D Stephens"
"92","P Bisiacchi","V Rosenthal"
"93","E Adreewsky","V Rosenthal"
"94","E Adreewsky","P Bisiacchi"
"95","M Leyton","M Leyton"
"96","Y Sayeki","Y Sayeki"
"97","B Bara","G Airenti"
"98","M Colombetti","G Airenti"
"99","M Colombetti","B Bara"
"100","M Bar-Hillel","M Bar-Hillel"
