"","from","to"
"1","A Glenberg","L Barsalou"
"2","B MacWhinney","L Barsalou"
"3","B MacWhinney","A Glenberg"
"4","N Newton","L Barsalou"
"5","N Newton","A Glenberg"
"6","N Newton","B MacWhinney"
"7","J Kolodner","A Brook"
"8","P Thagard","A Brook"
"9","P Thagard","J Kolodner"
"10","M Ranney","A Brook"
"11","M Ranney","J Kolodner"
"12","M Ranney","P Thagard"
"13","S Nuallain","A Brook"
"14","S Nuallain","J Kolodner"
"15","S Nuallain","P Thagard"
"16","S Nuallain","M Ranney"
"17","P Barker","X Chen"
"18","H Andersen","X Chen"
"19","H Andersen","P Barker"
"20","N Nersessian","X Chen"
"21","N Nersessian","P Barker"
"22","N Nersessian","H Andersen"
"23","T Nickles","X Chen"
"24","T Nickles","P Barker"
"25","T Nickles","H Andersen"
"26","T Nickles","N Nersessian"
"27","J Donin","C Frederiksen"
"28","S Lajoie","C Frederiksen"
"29","S Lajoie","J Donin"
"30","T Koschmann","C Frederiksen"
"31","T Koschmann","J Donin"
"32","T Koschmann","S Lajoie"
"33","J Elman","R Hadley"
"34","G Marcus","R Hadley"
"35","G Marcus","J Elman"
"36","C Goodwin","R Hall"
"37","R Stevens","R Hall"
"38","R Stevens","C Goodwin"
"39","S Star","R Hall"
"40","S Star","C Goodwin"
"41","S Star","R Stevens"
"42","B Keeley","G Hatfield"
"43","W Hirstein","G Hatfield"
"44","W Hirstein","B Keeley"
"45","W Ahn","C Kalish"
"46","M Pazzani","C Kalish"
"47","M Pazzani","W Ahn"
"48","D Cummins","C Kalish"
"49","D Cummins","W Ahn"
"50","D Cummins","M Pazzani"
"51","M Ranney","D Kaufman"
"52","S Ohlsson","D Kaufman"
"53","S Ohlsson","M Ranney"
"54","B Reiser","D Kaufman"
"55","B Reiser","M Ranney"
"56","B Reiser","S Ohlsson"
"57","L Shapiro","D Kaufman"
"58","L Shapiro","M Ranney"
"59","L Shapiro","S Ohlsson"
"60","L Shapiro","B Reiser"
"61","J Gee","J McKendree"
"62","K Stenning","J McKendree"
"63","K Stenning","J Gee"
"64","J Voss","J McKendree"
"65","J Voss","J Gee"
"66","J Voss","K Stenning"
"67","P Thagard","C Schunn"
"68","S Epstein","C Schunn"
"69","S Epstein","P Thagard"
"70","M Spivey","E Aaron"
"71","M Perez-Abolo","J Adrian"
"72","A Pineiro","J Adrian"
"73","A Pineiro","M Perez-Abolo"
"74","A Espinet","J Adrian"
"75","A Espinet","M Perez-Abolo"
"76","A Espinet","A Pineiro"
"77","B Nosek","W Ahn"
"78","R Logie","E Alberdi"
"79","N McNeil","M Alibali"
"80","M Perrott","M Alibali"
"81","M Perrott","N McNeil"
"82","W Gray","E Altmann"
"83","J Milostan","K Anderson"
"84","G Cottrell","K Anderson"
"85","G Cottrell","J Milostan"
"86","E Andonova","E Andonova"
"87","P Schyns","A Archambault"
"88","C Burgess","C Audet"
"89","R Azevedo","R Azevedo"
"90","S Lajoie","R Azevedo"
"91","N Chang","D Bailey"
"92","J Feldman","D Bailey"
"93","J Feldman","N Chang"
"94","S Narayanan","D Bailey"
"95","S Narayanan","N Chang"
"96","S Narayanan","J Feldman"
"97","U Hahn","T Bailey"
"98","E Pothos","T Bailey"
"99","R Bhatt","K Balakrishnan"
"100","V Honavar","K Balakrishnan"
"101","V Honavar","R Bhatt"
"102","R Lickley","E Bard"
"103","J Barnden","J Barnden"
"104","E Batchelder","E Batchelder"
"105","S Goldman","H Bateman"
"106","J Newbrough","H Bateman"
"107","J Newbrough","S Goldman"
"108","J Bransford","H Bateman"
"109","J Bransford","S Goldman"
"110","J Bransford","J Newbrough"
"111","M Becker","M Becker"
"112","H Spada","S Beller"
"113","C Schunn","B Best"
"114","L Reder","B Best"
"115","L Reder","C Schunn"
"116","M Bickhard","M Bickhard"
"117","M Krych","D Billman"
"118","M Tirassa","F Bosco"
"119","A Destrebecqz","M Boyer"
"120","A Cleeremans","M Boyer"
"121","A Cleeremans","A Destrebecqz"
"122","R Noel","S Bringsjord"
"123","E Bringsjord","S Bringsjord"
"124","E Bringsjord","R Noel"
"125","B Bouchon-Meunier","C Brouard"
"126","C Tijus","C Brouard"
"127","C Tijus","B Bouchon-Meunier"
"128","P Conley","C Burgess"
"129","R Vollmeyer","B Burns"
"130","A Cabrera","A Cabrera"
"131","G Denhiere","S Caillies"
"132","W Kintsch","S Caillies"
"133","W Kintsch","G Denhiere"
"134","R Campbell","R Campbell"
"135","R Catrambone","R Catrambone"
"136","M Tanenhaus","C Chambers"
"137","K Eberhard","C Chambers"
"138","K Eberhard","M Tanenhaus"
"139","G Carlson","C Chambers"
"140","G Carlson","M Tanenhaus"
"141","G Carlson","K Eberhard"
"142","H Filip","C Chambers"
"143","H Filip","M Tanenhaus"
"144","H Filip","K Eberhard"
"145","H Filip","G Carlson"
"146","D Gildea","N Chang"
"148","S Narayanan","D Gildea"
"149","P Cheng","P Cheng"
"150","G Cottrell","D Clouse"
"151","M Gasser","E Colunga"
