"","from","to"
"1","S Sloman","W Ahn"
"2","J Magnuson","P Allopenna"
"3","M Tanenhaus","P Allopenna"
"4","M Tanenhaus","J Magnuson"
"5","J Bailenson","J Bailenson"
"6","J Feldman","D Bailey"
"7","S Narayanan","D Bailey"
"8","S Narayanan","J Feldman"
"9","G Lakoff","D Bailey"
"10","G Lakoff","J Feldman"
"11","G Lakoff","S Narayanan"
"12","B Baird","B Baird"
"13","S Kelly","D Barr"
"14","R Miikkulainen","J Bednar"
"15","P Todd","P Berretty"
"16","P Blythe","P Berretty"
"17","P Blythe","P Todd"
"18","K Broihier","S Bertolo"
"19","E Gibson","S Bertolo"
"20","E Gibson","K Broihier"
"21","K Wexler","S Bertolo"
"22","K Wexler","K Broihier"
"23","K Wexler","E Gibson"
"24","P Cheng","M Buehner"
"25","K Lund","C Burgess"
"26","C Connolly","J Bums"
"27","R Grupen","J Bums"
"28","R Grupen","C Connolly"
"29","M Jog","J Bums"
"30","M Jog","C Connolly"
"31","M Jog","R Grupen"
"32","A McEleney","R Byrne"
"33","T Harvey","S Carberry"
"34","K Carley","K Carley"
"35","R Catrambone","R Catrambone"
"36","M Redington","N Chater"
"37","R Nakisa","N Chater"
"38","R Nakisa","M Redington"
"39","M Oaksford","N Chater"
"40","M Oaksford","M Redington"
"41","M Oaksford","R Nakisa"
"42","K Wong","H Chen"
"43","J Laird","R Chong"
"44","J Devlin","M Christiansen"
"45","A Destrebecqz","A Cleeremans"
"46","J Fox","R Cooper"
"47","T Shallice","R Cooper"
"48","M Keane","F Costello"
"49","C Stecker","A Cuthbert"
"50","I Aleksandrovsky","A Cuthbert"
"51","I Aleksandrovsky","C Stecker"
"52","S Ehrlich","A Cuthbert"
"53","S Ehrlich","C Stecker"
"54","S Ehrlich","I Aleksandrovsky"
"55","N Oza","A Cuthbert"
"56","N Oza","C Stecker"
"57","N Oza","I Aleksandrovsky"
"58","N Oza","S Ehrlich"
"59","P Rogers","A Cuthbert"
"60","P Rogers","C Stecker"
"61","P Rogers","I Aleksandrovsky"
"62","P Rogers","S Ehrlich"
"63","P Rogers","N Oza"
"64","V Patel","K Cytryn"
"65","P Jones","K Cytryn"
"66","P Jones","V Patel"
"67","C Safran","K Cytryn"
"68","C Safran","V Patel"
"69","C Safran","P Jones"
"70","G Cottrell","M Dailey"
"71","C Padgett","M Dailey"
"72","C Padgett","G Cottrell"
"73","L Darden","L Darden"
"74","W Marslen-Wilson","M Davis"
"75","M Gaskell","M Davis"
"76","M Gaskell","W Marslen-Wilson"
"77","K t","K t"
"78","M Inoue","Y Den"
"79","C Harris","G Dorffner"
"80","K Dunbar","K Dunbar"
"81","L Tyler","M Durrant-Peatfield"
"82","H Moss","M Durrant-Peatfield"
"83","H Moss","L Tyler"
"84","J Levy","M Durrant-Peatfield"
"85","J Levy","L Tyler"
"86","J Levy","H Moss"
"87","N Intrator","S Edelman"
"88","W Rapaport","K Ehrlich"
"89","R Elio","R Elio"
"90","J Evans","A Feeney"
"91","J Clibbens","A Feeney"
"92","J Clibbens","J Evans"
"93","R Jacobs","I Fine"
"94","J Everett","K Forbus"
"95","D Gentner","K Forbus"
"96","D Gentner","J Everett"
"97","M Wu","K Forbus"
"98","M Wu","J Everett"
"99","M Wu","D Gentner"
"100","E Kinber","R Freivalds"
"101","C Smith","R Freivalds"
"102","C Smith","E Kinber"
"103","C Ohnesorge","R French"
"105","V Gullapalli","J Gelfand"
"106","M Johnson","J Gelfand"
"107","M Johnson","V Gullapalli"
"108","C Raye","J Gelfand"
"109","C Raye","V Gullapalli"
"110","C Raye","M Johnson"
"111","J Henderson","J Gelfand"
"112","J Henderson","V Gullapalli"
"113","J Henderson","M Johnson"
"114","J Henderson","C Raye"
"115","S Gilbert","S Gilbert"
"116","J Pine","F Gobet"
"117","D Subramanian","D Gordon"
"118","P Schyns","F Gosselin"
"119","S Kirschenbaum","W Gray"
"120","B Ehret","W Gray"
"121","B Ehret","S Kirschenbaum"
"122","K Markert","U Hahn"
"123","Y Shirai","C Harris"
"124","P Healey","P Healey"
"125","K Koedinger","N Heffeman"
"126","D Holton","C Hmelo"
"127","J Allen","C Hmelo"
"128","J Allen","D Holton"
"129","J Kolodner","C Hmelo"
"130","J Kolodner","D Holton"
"131","J Kolodner","J Allen"
"132","N Levy","D Horn"
"133","E Ruppin","D Horn"
"134","E Ruppin","N Levy"
"135","G Cottrell","D Jackson"
"136","M Seidenberg","M Joanisse"
