"","from","to"
"1","R Turner","R Turner"
"2","M Burstein","M Burstein"
"3","D Gentner","M Ratterman"
"4","K Holyoak","R Catrambone"
"5","R Mooney","W Ahn"
"6","W Brewer","W Ahn"
"7","W Brewer","R Mooney"
"8","G DeJong","W Ahn"
"9","G DeJong","R Mooney"
"10","G DeJong","W Brewer"
"11","E Heit","D Billman"
"12","J Dorfman","D Billman"
"13","J Dorfman","E Heit"
"14","E Sanots","E Charniak"
"15","B Dorr","B Dorr"
"16","J Roach","D Sanford"
"17","A Manaster-Ramer","R Lindsay"
"18","J Kegl","S Hanson"
"19","W Lehnert","W Lehnert"
"20","M Derthick","M Derthick"
"21","L Shastri","L Shastri"
"22","S Geva","D Touretzky"
"23","P Munro","P Munro"
"24","D Plaut","G Hinton"
"25","P Smolensky","P Smolensky"
"26","J Arocha","V Patel"
"27","G Groen","V Patel"
"28","G Groen","J Arocha"
"29","M Bienkowski","G Harman"
"30","K Salem","G Harman"
"31","K Salem","M Bienkowski"
"32","I Pratt","G Harman"
"33","I Pratt","M Bienkowski"
"34","I Pratt","K Salem"
"35","S Pearson","D Shanks"
"36","D Evans","V Patel"
"37","A Chawla","V Patel"
"38","A Chawla","D Evans"
"39","M Lebowitz","M Lebowitz"
"40","V Patel","G Joseph"
"41","M Cohen","D Massaro"
"42","D Walters","D Walters"
"43","S Davis","S Davis"
"44","D Reisberg","D Reisberg"
"45","B Reiser","B Reiser"
"46","Y Jiang","Y Jiang"
"47","D Kay","D Kay"
"48","M Swartz","S Robertson"
"49","P Horwitz","B White"
"50","J Jerney","G Groen"
"51","A Barto","R Sutton"
"52","S Shapiro","S Peters"
"53","J Pollack","J Pollack"
"54","M Sereno","M Sereno"
"55","D Novick","S Douglas"
"56","R Tomlin","S Douglas"
"57","R Tomlin","D Novick"
"58","G Deffner","G Deffner"
"59","J Pustejovsky","A Maddox"
"61","P Munro","G Cottrell"
"62","D Zipser","G Cottrell"
"63","D Zipser","P Munro"
"64","R Ratcliff","R Ratcliff"
"65","G Berg","G Berg"
"66","Y Miyata","Y Miyata"
"67","J Bharucha","J Bharucha"
"68","L Shastri","R Watrous"
"69","C","T Landauer"
"70","S Singhal","T Landauer"
"71","S Singhal","C"
"72","C Rosenberg","C Rosenberg"
"73","L Shastri","J Kalita"
"74","M Tanenhaus","M Lucas"
"75","G Carlson","M Lucas"
"76","G Carlson","M Tanenhaus"
"77","D Fass","D Fass"
"78","C Burgess","M Tanenhaus"
"79","S D'Zmura","M Tanenhaus"
"80","S D'Zmura","C Burgess"
"81","H Gigley","H Gigley"
"82","P Pirolli","P Pirolli"
"83","R Alterman","R Alterman"
"84","K Holyoak","K Holyoak"
"85","N Schmajuk","N Schmajuk"
"86","D Day","D Day"
"87","B Laden","J Lundell"
"88","C Hoffner","R Tweney"
"89","R Hastie","N Pennington"
"90","M Sebrechts","M Sebrechts"
"91","R Granger","K Eiselt"
"92","J Kolodner","J Kolodner"
"93","J Kolodner","J Lancaster"
"94","K Ashley","K Ashley"
"95","P Langley","D Rose"
"96","Z Kunda","P Thagard"
"97","C Carrithers","T Bever"
"98","D Townsend","T Bever"
"99","D Townsend","C Carrithers"
"100","G Libben","G Libben"
"101","G Brown","G Brown"
"102","J Corriveau","J Corriveau"
"103","C Bloom","C Fletcher"
"104","W Cowart","W Cowart"
"105","M Chase","M Chase"
"106","M Zweben","M Zweben"
"107","G DeJong","J Shavlik"
"108","S Mannes","W Kintsch"
"109","L Rau","L Rau"
"110","A Mimo","H Chun"
"111","M Just","M Hegarty"
"112","E Saund","E Saund"
"113","T Bylander","T Bylander"
"114","C Clement","C Clement"
"115","J Dinsmore","J Dinsmore"
"116","M Weaver","R French"
"117","A Graesser","J Golding"
"118","C Hayes","C Hayes"
"119","E Hovy","E Hovy"
"120","J Scott","J Jakimik"
"121","M Labra","M Labra"
"122","R Mooney","R Mooney"
"123","K Prazdny","K Prazdny"
"124","M Rossen","M Rossen"
"125","C Seifert","C Seifert"
"126","K Sycara","K Sycara"
