V1,V2,authors
0.0034699382573181257,-0.010329706644947815,A
0.022921580008830458,-0.005950136989643624,A Abrahamsen
-0.001846886765560697,0.20647817581911537,A Adcock
-0.02198159612446379,-0.004318001229746804,A Almor
-0.023078190220275314,-0.008935198654239864,A Bender
-0.03120808064382776,-0.03371947136590932,A Bloomfield
-9.449528822451238e-4,-0.009304531355348427,A Chau
-0.02315956193800846,-0.00967861652579577,A Chaudhuri
0.012409851724081105,-0.0083325280464154,A Chavez
-0.01754390618349245,-0.006534330042875586,A Copeland
0.019540597588866792,0.12426741368356577,A Corrigan-Halpern
-0.024975991429364915,-0.012617278057151616,A Detiffe
-0.021167441154024882,-0.0047517581941080205,A diSessa
-0.028967709109723745,-0.026257211948144208,A Feeney
-0.02254994424660068,-0.01208472916739211,A Fisher
0.013700223390032497,-0.006378875204911872,A Friedrich
-0.023356830385031748,-0.003590861371691579,A Gill
0.24275539020732978,0.005441606060466686,A Goel
-0.023194817822998703,-0.012464264563554657,A Gopnik
-0.014986979092016618,-0.00852302460353458,A Gordon
-0.029641063513670338,0.3001453738495147,A Graesser
-0.026056483489796566,-0.013374100496406081,A Hoffman
-0.020104502704414502,-0.008828162499918905,A Hornof
0.012146228505920877,-0.007646064003767623,A Howes
0.001133993328031768,-0.005903419162266543,A Inhoff
0.007081509857855793,-0.005137045169852296,A Keselman
-0.0176051119812557,-0.008836426216837725,A Kittredge
0.012374843256418284,-0.00701121658708668,A Kjellin
0.24713674786085638,0.006076273718687357,A Kozbelt
0.005606189828242888,-0.009807439428937904,A Kurtz
-0.03123100600523206,-0.01706406664040726,A Markman
-0.014986979092016609,-0.008523024603534574,A Nair
-0.02231206060721187,-0.010476722715240566,A Napolitano
-0.03291106077003987,0.21638976573321372,A Olney
-0.02383722154810766,-0.010024175921650452,A Olsson
-0.02356816896962598,-0.009390608675265645,A Patalano
-0.023340442522873824,-0.007460428528436677,A Petrov
0.01573112538754357,-0.007435247291229338,A Preece
-0.024967097581503252,-0.01694657795422628,A Richards
-0.027008070484882563,-0.024013481475290324,A Robinson
-0.021227379064688384,-0.006319824558639112,A Samnonovich
0.00543622307378726,-0.0014330091590003707,A Shapiro
-0.036169046985848545,-0.007241042986905082,A Shimojima
0.2132126415646315,0.003947030589047738,A Stocco
-0.02148540787315049,-0.0033185709772534746,A Utsunomiya
0.008957574326114905,-0.004785069463437808,A Vera
-0.038073537477242146,-0.017823208479789215,A Wade
-0.03121305742534517,-0.025931351872142072,A Weidenfeld
-0.0261390741259628,-0.015359914985857249,A Welham
-0.0261390741259628,-0.015359914985857263,A Wills
0.21281803463509466,0.003733799486378856,A Wingfield
-0.02584118658328687,-0.005678889706771598,A Winman
-0.02196224220685748,-0.009820432467382928,B Ashpole
-0.010419913739484706,-0.007948023851131875,B Auernheimer
-0.02345833008743531,-0.006445127011819119,B Bara
-0.021790046310573682,-0.005230959125513143,B Bergen
-3.27386599366379e-4,-0.007093807840664991,B Bowdle
0.027168488576336018,1.6790965110500508e-4,B Buckley
-0.03323767488319902,-0.012722835090121206,B Burns
-9.781357004564246e-4,-0.009374125780973588,B Christensen
-6.25641583902889e-4,0.07805283997539149,B Clark
0.0011339933280317608,-0.005903419162266546,B Eiter
0.019540597588866795,0.12426741368356574,B Eugenio
-0.025344552405196535,-0.010123802750236586,B Guimberteau
-0.026968619416138262,-0.01199315712996951,B Hemforth
-0.024820045320361573,-0.012662258864619,B Klettke
-0.02046595086235943,-0.013337455494643774,B Kokinov
-0.022826147160694924,-0.012773171615914162,B Love
0.007939236547729439,-0.008748596113627022,B MacWhinney
-0.0239125904517577,-0.009695553041505076,B Martin
0.015573698351912172,-0.007415281495591113,B Morris
-0.026056483489796573,-0.013374100496406074,B Rehder
-0.03143021931415309,-0.014684591130432878,B Ross
-0.011797851345711631,-0.011465437517244015,B Sharpe
0.027168488576335983,1.679096511050152e-4,B Tinker
-0.031449969727305675,-0.013335063931078948,B Tversky
0.08160040509084387,-0.006050689674649977,B Webber
5.136633172500043e-4,-0.007572117291382195,B Williams
-0.021071206570833383,-0.008592905164057514,C Andersen
0.01762874648826897,-0.005321031235955675,C Ayala
0.004583460869217466,0.09137763094143295,C Beal
-0.02376444600054097,-0.01124457109544356,C Bearman
-0.022364597311240166,-0.006962498707325028,C Castelfranchi
0.014652548893336469,-0.011076543192945829,C Cohen
-0.022929392178744654,-0.0088100962924835,C Conway
-0.027530432285787533,-0.011495004200677613,C Coyne
0.022921580008830416,-0.005950136989643517,C Craver
0.027168488576335997,1.679096511050284e-4,C Dede
0.24793050108241554,0.006045747681576513,C Dodane
0.040140294251676485,-0.004990550201668631,C Espinel
0.0043657433270752844,-0.008997112465014117,C Harris
-0.026122213254750785,-0.014299667938947179,C Haught
-0.027008070484882574,-0.02401348147529033,C Hertzog
-0.02212780820988845,-0.0013535829159858589,C Jaynes
-0.02206766419036994,-0.0073396635551769675,C Jolly
-0.02118249110842897,-0.0018979940413765312,C Jonker
-0.02403500216721717,-0.009096172728869893,C Kemp
0.0012411311043313516,-0.009106910868100703,C Krachun
0.005996297412312479,-0.005091983305123707,C Laloyaux
-0.01963311556006412,-0.00800358624263395,C Lebiere
-0.029694117918276204,-0.016156008918987292,C Luhmann
0.022560236222026662,-0.012094901910435173,C Myers
-0.02368609381172296,-4.5262120725640047e-4,C Oshima
-0.02237456988018192,-0.00977588946361448,C Robinson
0.003469938257318181,-0.010329706644947872,C Ronald
0.21281803463509466,0.0037337994863788616,C Sauder
-0.025098028949606204,-0.010846698530093322,C Scheepers
